"country","variant","weight","data_per","model_date"
"Austria","Whole",327065,"2020-01","2020-01"
"Belgium","Whole",153226,"2020-01","2020-01"
"Brazil","Whole",2659983.6159,"2020-01","2020-01"
"Bulgaria","Whole",40079.666667,"2020-01","2020-01"
"Chile","Whole",368439,"2020-01","2020-01"
"China","Whole",20263854,"2020-01","2020-01"
"Czechia","Whole",249769,"2020-01","2020-01"
"Denmark","Industry",93377,"2020-01","2020-01"
"Denmark","Private",129632,"2020-01","2020-01"
"Denmark","Vans",33151,"2020-01","2020-01"
"Denmark","Whole",223009,"2020-01","2020-01"
"Estonia","Whole",9466,"2020-01","2020-01"
"Finland","Buses",580,"2020-01","2020-01"
"Finland","HDV",4026,"2020-01","2020-01"
"Finland","Industry",43312,"2020-01","2020-01"
"Finland","Private",69954,"2020-01","2020-01"
"Finland","Vans",14485,"2020-01","2020-01"
"Finland","Whole",113266,"2020-01","2020-01"
"France","Whole",2235680,"2020-01","2020-01"
"Germany","Whole",3587856,"2020-01","2020-01"
"Greece","Whole",28466,"2020-01","2020-01"
"Hungary","Whole",157241,"2020-01","2020-01"
"Iceland","Whole",12062,"2020-01","2020-01"
"Indonesia","Whole",786856,"2020-01","2020-01"
"Ireland","Buses",407,"2020-01","2020-01"
"Ireland","HDV",2254,"2020-01","2020-01"
"Ireland","Vans",25435,"2020-01","2020-01"
"Ireland","Whole",115389,"2020-01","2020-01"
"Israel","Vans",7658,"2020-01","2020-01"
"Israel","Whole",237699,"2020-01","2020-01"
"Italy","NonRental",1512616,"2020-01","2020-01"
"Italy","Rental",405671,"2020-01","2020-01"
"Italy","Whole",1918287,"2020-01","2020-01"
"Japan","Whole",758072,"2020-01","2020-01"
"Latvia","Whole",18151,"2020-01","2020-01"
"Lithuania","Whole",15237,"2020-01","2020-01"
"Luxembourg","HDV",1547,"2020-01","2020-01"
"Luxembourg","Vans",5116,"2020-01","2020-01"
"Luxembourg","Whole",55122,"2020-01","2020-01"
"Malaysia","Whole",609831,"2020-01","2020-01"
"Netherlands","HDV",14530,"2020-01","2020-01"
"Netherlands","Used",216474,"2020-01","2020-01"
"Netherlands","Whole",438391,"2020-01","2020-01"
"New Zealand","Whole",296957,"2020-01","2020-01"
"Norway","Whole",146142,"2020-01","2020-01"
"Poland","Whole",549142,"2020-01","2020-01"
"Portugal","Whole",223538,"2020-01","2020-01"
"Romania","Whole",50919.41667,"2020-01","2020-01"
"Singapore","Whole",26821.5,"2020-01","2020-01"
"Slovakia","Whole",31415,"2020-01","2020-01"
"Slovenia","Whole",72146,"2020-01","2020-01"
"South Korea","Whole",1707141,"2020-01","2020-01"
"Spain","2-Wheelers",196404,"2020-01","2020-01"
"Spain","Buses",3495,"2020-01","2020-01"
"Spain","HDV",23790,"2020-01","2020-01"
"Spain","Whole",1315869,"2020-01","2020-01"
"Spain","NonRental",893863,"2020-01","2020-01"
"Spain","Rental",422006,"2020-01","2020-01"
"Spain","Used",84649,"2020-01","2020-01"
"Spain","Vans",107545,"2020-01","2020-01"
"Sweden","Whole",363634,"2020-01","2020-01"
"Switzerland","Whole",310518,"2020-01","2020-01"
"Thailand","3-Wheelers",217,"2020-01","2020-01"
"Thailand","Buses",12122,"2020-01","2020-01"
"Thailand","HDV",67865,"2020-01","2020-01"
"Thailand","Whole",1000784,"2020-01","2020-01"
"Türkiye","Whole",408343,"2020-01","2020-01"
"UK","Whole",2299406,"2020-01","2020-01"
"USA","Whole",16956315,"2020-01","2020-01"
