group,year,bev_share,ice_share,phev_share
world,2015.0,0.1747,99.7819,0.0809
world,2015.1,0.1883,99.7659,0.0856
world,2015.2,0.2028,99.7488,0.0905
world,2015.3,0.2181,99.7307,0.0957
world,2015.4,0.2344,99.7114,0.1011
world,2015.5,0.2515,99.6909,0.1068
world,2015.6,0.2697,99.6692,0.1128
world,2015.7,0.2889,99.6462,0.1191
world,2015.8,0.3092,99.6217,0.1257
world,2015.9,0.3305,99.5959,0.1326
world,2016.0,0.3530,99.5686,0.1398
world,2016.1,0.3767,99.5397,0.1472
world,2016.2,0.4017,99.5092,0.1550
world,2016.3,0.4278,99.4771,0.1631
world,2016.4,0.4553,99.4432,0.1716
world,2016.5,0.4841,99.4076,0.1803
world,2016.6,0.5143,99.3701,0.1894
world,2016.7,0.5459,99.3307,0.1988
world,2016.8,0.5790,99.2893,0.2085
world,2016.9,0.6136,99.2459,0.2186
world,2017.0,0.6497,99.2003,0.2289
world,2017.1,0.6874,99.0872,0.3051
world,2017.2,0.7269,99.0387,0.3145
world,2017.3,0.7680,98.9871,0.3250
world,2017.4,0.8109,98.9327,0.3363
world,2017.5,0.8557,98.8756,0.3480
world,2017.6,0.9023,98.8156,0.3603
world,2017.7,0.9509,98.7529,0.3729
world,2017.8,1.0014,98.6874,0.3860
world,2017.9,1.0539,98.6189,0.3995
world,2018.0,1.1084,98.5473,0.4134
world,2018.1,1.1652,98.4720,0.4283
world,2018.2,1.2241,98.3933,0.4437
world,2018.3,1.2853,98.3112,0.4596
world,2018.4,1.3487,98.2256,0.4760
world,2018.5,1.4145,98.1365,0.4929
world,2018.6,1.4826,98.0437,0.5103
world,2018.7,1.5531,97.9472,0.5281
world,2018.8,1.6260,97.8468,0.5464
world,2018.9,1.7015,97.7425,0.5651
world,2019.0,1.7795,97.6342,0.5879
world,2019.1,1.8606,97.5218,0.6198
world,2019.2,1.9441,97.4051,0.6531
world,2019.3,2.0301,97.2842,0.6881
world,2019.4,2.1190,97.1588,0.7247
world,2019.5,2.2106,97.0290,0.7630
world,2019.6,2.3050,96.8945,0.8030
world,2019.7,2.4023,96.7554,0.8448
world,2019.8,2.5026,96.6114,0.8885
world,2019.9,2.6059,96.4626,0.9340
world,2020.0,2.7122,96.3087,0.9815
world,2020.1,2.8216,96.1498,1.0310
world,2020.2,2.9342,95.9856,1.0826
world,2020.3,3.0499,95.8160,1.1362
world,2020.4,3.1689,95.6411,1.1920
world,2020.5,3.2912,95.4606,1.2500
world,2020.6,3.4168,95.2745,1.3103
world,2020.7,3.5459,95.0826,1.3730
world,2020.8,3.6784,94.8849,1.4380
world,2020.9,3.8144,94.6813,1.5054
world,2021.0,3.9539,94.4716,1.5753
world,2021.1,4.0970,94.2557,1.6479
world,2021.2,4.2438,94.0336,1.7232
world,2021.3,4.3942,93.8051,1.8011
world,2021.4,4.5484,93.5702,1.8818
world,2021.5,4.7064,93.3287,1.9652
world,2021.6,4.8682,93.0806,2.0514
world,2021.7,5.0340,92.8258,2.1406
world,2021.8,5.2036,92.5641,2.2326
world,2021.9,5.3772,92.2956,2.3275
world,2022.0,5.5549,92.0201,2.4254
world,2022.1,5.7368,91.7356,2.5280
world,2022.2,5.9227,91.4456,2.6321
world,2022.3,6.1129,91.1485,2.7391
world,2022.4,6.3072,90.8441,2.8491
world,2022.5,6.5058,90.5325,2.9622
world,2022.6,6.7087,90.2134,3.0784
world,2022.7,6.9160,89.8870,3.1976
world,2022.8,7.1276,89.5530,3.3200
world,2022.9,7.3437,89.2115,3.4455
world,2023.0,7.5642,88.8624,3.5740
world,2023.1,7.7893,88.5057,3.7057
world,2023.2,8.0189,88.1414,3.8404
world,2023.3,8.2532,87.7695,3.9781
world,2023.4,8.4920,87.3898,4.1189
world,2023.5,8.7356,87.0025,4.2627
world,2023.6,8.9839,86.6076,4.4094
world,2023.7,9.2369,86.2050,4.5590
world,2023.8,9.4947,85.7947,4.7114
world,2023.9,9.7574,85.3769,4.8666
world,2024.0,10.0249,84.9514,5.0245
world,2024.1,10.2973,84.5184,5.1850
world,2024.2,10.5747,84.0780,5.3481
world,2024.3,10.8570,83.6301,5.5136
world,2024.4,11.1443,83.1749,5.6814
world,2024.5,11.4367,82.7123,5.8515
world,2024.6,11.7341,82.2426,6.0237
world,2024.7,12.0366,81.7658,6.1980
world,2024.8,12.3443,81.2820,6.3741
world,2024.9,12.6571,80.7913,6.5520
world,2025.0,12.9750,80.2939,6.7315
world,2025.1,13.2982,79.7898,6.9123
world,2025.2,13.6266,79.2792,7.0944
world,2025.3,13.9603,78.7623,7.2777
world,2025.4,14.2992,78.2392,7.4618
world,2025.5,14.6434,77.7100,7.6466
world,2025.6,14.9929,77.1751,7.8320
world,2025.7,15.3478,76.6344,8.0177
world,2025.8,15.7080,76.0883,8.2036
world,2025.9,16.0736,75.5369,8.3894
world,2026.0,16.4446,74.9805,8.5749
world,2026.1,16.8209,74.4192,8.7599
world,2026.2,17.2027,73.8533,8.9440
world,2026.3,17.5898,73.2830,9.1272
world,2026.4,17.9824,72.7085,9.3091
world,2026.5,18.3804,72.1301,9.4895
world,2026.6,18.7837,71.5480,9.6682
world,2026.7,19.1925,70.9626,9.8449
world,2026.8,19.6066,70.3740,10.0194
world,2026.9,20.0261,69.7826,10.1913
world,2027.0,20.4509,69.1886,10.3605
world,2027.1,20.8810,68.5923,10.5267
world,2027.2,21.3163,67.9941,10.6908
world,2027.3,21.7568,67.3942,10.8514
world,2027.4,22.2024,66.7930,11.0080
world,2027.5,22.6531,66.1908,11.1606
world,2027.6,23.1087,65.5879,11.3089
world,2027.7,23.5691,64.9847,11.4525
world,2027.8,24.0343,64.3816,11.5913
world,2027.9,24.5041,63.7789,11.7251
world,2028.0,24.9783,63.1771,11.8535
world,2028.1,25.4567,62.5764,11.9763
world,2028.2,25.9393,61.9774,12.0934
world,2028.3,26.4257,61.3804,12.2045
world,2028.4,26.9158,60.7859,12.3094
world,2028.5,27.4093,60.1943,12.4079
world,2028.6,27.9059,59.6060,12.4998
world,2028.7,28.4055,59.0214,12.5851
world,2028.8,28.9077,58.4410,12.6635
world,2028.9,29.4122,57.8652,12.7349
world,2029.0,29.9187,57.2944,12.7992
world,2029.1,30.4271,56.7290,12.8564
world,2029.2,30.9368,56.1693,12.9063
world,2029.3,31.4478,55.6156,12.9489
world,2029.4,31.9596,55.0684,12.9846
world,2029.5,32.4722,54.5277,13.0134
world,2029.6,32.9851,53.9938,13.0349
world,2029.7,33.4983,53.4670,13.0494
world,2029.8,34.0114,52.9473,13.0576
world,2029.9,34.5245,52.4347,13.0587
world,2030.0,35.0372,51.9295,13.0528
world,2030.1,35.5496,51.4314,13.0400
world,2030.2,36.0615,50.9406,13.0204
world,2030.3,36.5729,50.4569,12.9941
world,2030.4,37.0838,49.9802,12.9613
world,2030.5,37.5940,49.5106,12.9222
world,2030.6,38.1035,49.0477,12.8767
world,2030.7,38.6125,48.5917,12.8251
world,2030.8,39.1207,48.1422,12.7676
world,2030.9,39.6282,47.6993,12.7041
world,2031.0,40.1349,47.2628,12.6350
world,2031.1,40.6408,46.8326,12.5603
world,2031.2,41.1458,46.4087,12.4813
world,2031.3,41.6498,45.9910,12.3974
world,2031.4,42.1527,45.5794,12.3085
world,2031.5,42.6544,45.1738,12.2148
world,2031.6,43.1548,44.7742,12.1163
world,2031.7,43.6539,44.3805,12.0143
world,2031.8,44.1513,43.9927,11.9082
world,2031.9,44.6472,43.6107,11.7979
world,2032.0,45.1412,43.2343,11.6837
world,2032.1,45.6333,42.8636,11.5657
world,2032.2,46.1234,42.4985,11.4441
world,2032.3,46.6114,42.1388,11.3192
world,2032.4,47.0970,41.7845,11.1911
world,2032.5,47.5802,41.4355,11.0602
world,2032.6,48.0610,41.0918,10.9264
world,2032.7,48.5390,40.7531,10.7902
world,2032.8,49.0143,40.4196,10.6517
world,2032.9,49.4867,40.0910,10.5111
world,2033.0,49.9560,39.7673,10.3687
world,2033.1,50.4222,39.4484,10.2246
world,2033.2,50.8852,39.1342,10.0790
world,2033.3,51.3447,38.8245,9.9322
world,2033.4,51.8007,38.5195,9.7844
world,2033.5,52.2531,38.2188,9.6359
world,2033.6,52.7017,37.9225,9.4867
world,2033.7,53.1465,37.6304,9.3372
world,2033.8,53.5872,37.3425,9.1876
world,2033.9,54.0238,37.0586,9.0381
world,2034.0,54.4562,36.7787,8.8888
world,2034.1,54.8842,36.5026,8.7400
world,2034.2,55.3078,36.2302,8.5920
world,2034.3,55.7269,35.9615,8.4448
world,2034.4,56.1413,35.6963,8.2988
world,2034.5,56.5510,35.4345,8.1540
world,2034.6,56.9560,35.1761,8.0108
world,2034.7,57.3560,34.9208,7.8692
world,2034.8,57.7511,34.6686,7.7294
world,2034.9,58.1412,34.4194,7.5917
world,2035.0,58.5264,34.1730,7.4561
world,2035.1,58.9064,33.9294,7.3229
world,2035.2,59.2814,33.6885,7.1920
world,2035.3,59.6512,33.4501,7.0637
world,2035.4,60.0160,33.2141,6.9381
world,2035.5,60.3757,32.9804,6.8152
world,2035.6,60.7303,32.7490,6.6952
world,2035.7,61.0798,32.5197,6.5780
world,2035.8,61.4243,32.2924,6.4638
world,2035.9,61.7639,32.0671,6.3527
world,2036.0,62.0986,31.8436,6.2445
world,2036.1,62.4284,31.6219,6.1394
world,2036.2,62.7535,31.4020,6.0373
world,2036.3,63.0738,31.1836,5.9383
world,2036.4,63.3896,30.9668,5.8423
world,2036.5,63.7008,30.7515,5.7492
world,2036.6,64.0077,30.5376,5.6591
world,2036.7,64.3102,30.3252,5.5719
world,2036.8,64.6086,30.1140,5.4875
world,2036.9,64.9028,29.9042,5.4059
world,2037.0,65.1931,29.6956,5.3269
world,2037.1,65.4796,29.4882,5.2506
world,2037.2,65.7623,29.2821,5.1768
world,2037.3,66.0413,29.0770,5.1054
world,2037.4,66.3168,28.8732,5.0364
world,2037.5,66.5890,28.6704,4.9696
world,2037.6,66.8578,28.4687,4.9050
world,2037.7,67.1234,28.2682,4.8424
world,2037.8,67.3860,28.0687,4.7818
world,2037.9,67.6455,27.8703,4.7231
world,2038.0,67.9022,27.6730,4.6662
world,2038.1,68.1560,27.4767,4.6110
world,2038.2,68.4071,27.2815,4.5573
world,2038.3,68.6556,27.0874,4.5053
world,2038.4,68.9015,26.8943,4.4547
world,2038.5,69.1449,26.7023,4.4054
world,2038.6,69.3859,26.5114,4.3575
world,2038.7,69.6245,26.3216,4.3108
world,2038.8,69.8608,26.1329,4.2653
world,2038.9,70.0948,25.9454,4.2209
world,2039.0,70.3266,25.7589,4.1775
world,2039.1,70.5563,25.5735,4.1352
world,2039.2,70.7838,25.3893,4.0938
world,2039.3,71.0092,25.2063,4.0533
world,2039.4,71.2326,25.0244,4.0136
world,2039.5,71.4540,24.8437,3.9748
world,2039.6,71.6733,24.6642,3.9367
world,2039.7,71.8907,24.4859,3.8994
world,2039.8,72.1061,24.3088,3.8627
world,2039.9,72.3196,24.1329,3.8267
world,2040.0,72.5312,23.9583,3.7914
world,2040.1,72.7408,23.7850,3.7566
world,2040.2,72.9487,23.6129,3.7224
world,2040.3,73.1546,23.4421,3.6887
world,2040.4,73.3587,23.2726,3.6556
world,2040.5,73.5610,23.1044,3.6229
world,2040.6,73.7614,22.9375,3.5907
world,2040.7,73.9600,22.7720,3.5589
world,2040.8,74.1569,22.6078,3.5276
world,2040.9,74.3519,22.4450,3.4966
world,2041.0,74.5451,22.2836,3.4661
world,2041.1,74.7366,22.1235,3.4359
world,2041.2,74.9263,21.9648,3.4060
world,2041.3,75.1142,21.8075,3.3765
world,2041.4,75.3004,21.6516,3.3473
world,2041.5,75.4849,21.4971,3.3183
world,2041.6,75.6676,21.3441,3.2897
world,2041.7,75.8485,21.1924,3.2614
world,2041.8,76.0278,21.0422,3.2333
world,2041.9,76.2053,20.8935,3.2055
world,2042.0,76.3811,20.7461,3.1779
world,2042.1,76.5552,20.6002,3.1505
world,2042.2,76.7276,20.4558,3.1234
world,2042.3,76.8983,20.3128,3.0965
world,2042.4,77.0673,20.1712,3.0699
world,2042.5,77.2346,20.0311,3.0434
world,2042.6,77.4003,19.8924,3.0171
world,2042.7,77.5643,19.7551,2.9911
world,2042.8,77.7267,19.6193,2.9652
world,2042.9,77.8874,19.4849,2.9395
world,2043.0,78.0465,19.3519,2.9140
world,2043.1,78.2039,19.2203,2.8887
world,2043.2,78.3598,19.0901,2.8636
world,2043.3,78.5140,18.9613,2.8386
world,2043.4,78.6667,18.8339,2.8138
world,2043.5,78.8178,18.7079,2.7892
world,2043.6,78.9673,18.5833,2.7648
world,2043.7,79.1153,18.4600,2.7406
world,2043.8,79.2618,18.3380,2.7165
world,2043.9,79.4067,18.2174,2.6926
world,2044.0,79.5501,18.0981,2.6688
world,2044.1,79.6921,17.9801,2.6452
world,2044.2,79.8326,17.8634,2.6218
world,2044.3,79.9716,17.7479,2.5986
world,2044.4,80.1092,17.6337,2.5755
world,2044.5,80.2453,17.5207,2.5526
world,2044.6,80.3801,17.4089,2.5299
world,2044.7,80.5135,17.2983,2.5073
world,2044.8,80.6455,17.1889,2.4849
world,2044.9,80.7762,17.0807,2.4627
world,2045.0,80.9056,16.9736,2.4406
world,2045.1,81.0336,16.8676,2.4187
world,2045.2,81.1604,16.7627,2.3970
world,2045.3,81.2859,16.6589,2.3754
world,2045.4,81.4102,16.5561,2.3541
world,2045.5,81.5333,16.4544,2.3328
world,2045.6,81.6551,16.3537,2.3118
world,2045.7,81.7758,16.2540,2.2909
world,2045.8,81.8954,16.1552,2.2702
world,2045.9,82.0138,16.0574,2.2496
world,2046.0,82.1311,15.9606,2.2292
world,2046.1,82.2473,15.8646,2.2090
world,2046.2,82.3624,15.7695,2.1890
world,2046.3,82.4765,15.6753,2.1691
world,2046.4,82.5896,15.5820,2.1494
world,2046.5,82.7016,15.4895,2.1298
world,2046.6,82.8127,15.3978,2.1104
world,2046.7,82.9228,15.3068,2.0912
world,2046.8,83.0320,15.2167,2.0722
world,2046.9,83.1403,15.1273,2.0533
world,2047.0,83.2476,15.0386,2.0345
world,2047.1,83.3541,14.9506,2.0159
world,2047.2,83.4597,14.8634,1.9975
world,2047.3,83.5644,14.7768,1.9793
world,2047.4,83.6683,14.6909,1.9612
world,2047.5,83.7714,14.6056,1.9432
world,2047.6,83.8737,14.5209,1.9255
world,2047.7,83.9752,14.4369,1.9078
world,2047.8,84.0760,14.3535,1.8903
world,2047.9,84.1760,14.2706,1.8730
world,2048.0,84.2753,14.1883,1.8559
world,2048.1,84.3738,14.1066,1.8388
world,2048.2,84.4717,14.0254,1.8220
world,2048.3,84.5689,13.9448,1.8052
world,2048.4,84.6654,13.8647,1.7887
world,2048.5,84.7612,13.7851,1.7722
world,2048.6,84.8564,13.7060,1.7560
world,2048.7,84.9509,13.6273,1.7398
world,2048.8,85.0448,13.5492,1.7238
world,2048.9,85.1381,13.4715,1.7080
world,2049.0,85.2307,13.3943,1.6922
world,2049.1,85.3228,13.3176,1.6767
world,2049.2,85.4143,13.2413,1.6612
world,2049.3,85.5052,13.1654,1.6459
world,2049.4,85.5955,13.0899,1.6307
world,2049.5,85.6853,13.0149,1.6157
world,2049.6,85.7745,12.9403,1.6008
world,2049.7,85.8631,12.8661,1.5860
world,2049.8,85.9512,12.7923,1.5714
world,2049.9,86.0388,12.7190,1.5568
world,2050.0,86.1259,12.6460,1.5424
western_europe,2015.0,0.1589,99.6868,0.1543
western_europe,2015.1,0.1734,99.6590,0.1676
western_europe,2015.2,0.1891,99.6287,0.1822
western_europe,2015.3,0.2062,99.5957,0.1981
western_europe,2015.4,0.2248,99.5599,0.2153
western_europe,2015.5,0.2450,99.5210,0.2340
western_europe,2015.6,0.2670,99.4789,0.2541
western_europe,2015.7,0.2907,99.4336,0.2757
western_europe,2015.8,0.3163,99.3848,0.2988
western_europe,2015.9,0.3440,99.3326,0.3235
western_europe,2016.0,0.3736,99.2767,0.3497
western_europe,2016.1,0.4054,99.2172,0.3774
western_europe,2016.2,0.4394,99.1538,0.4068
western_europe,2016.3,0.4756,99.0867,0.4377
western_europe,2016.4,0.5142,99.0155,0.4703
western_europe,2016.5,0.5552,98.9404,0.5044
western_europe,2016.6,0.5986,98.8612,0.5403
western_europe,2016.7,0.6445,98.7778,0.5777
western_europe,2016.8,0.6930,98.6902,0.6169
western_europe,2016.9,0.7441,98.5983,0.6577
western_europe,2017.0,0.7978,98.5020,0.7002
western_europe,2017.1,0.8543,98.4013,0.7443
western_europe,2017.2,0.9136,98.2962,0.7902
western_europe,2017.3,0.9758,98.1865,0.8377
western_europe,2017.4,1.0408,98.0723,0.8870
western_europe,2017.5,1.1087,97.9534,0.9379
western_europe,2017.6,1.1796,97.8298,0.9906
western_europe,2017.7,1.2536,97.7015,1.0449
western_europe,2017.8,1.3306,97.5684,1.1010
western_europe,2017.9,1.4107,97.4305,1.1588
western_europe,2018.0,1.4940,97.2877,1.2183
western_europe,2018.1,1.5806,97.1385,1.2809
western_europe,2018.2,1.6704,96.9824,1.3472
western_europe,2018.3,1.7636,96.8198,1.4166
western_europe,2018.4,1.8604,96.6507,1.4889
western_europe,2018.5,1.9607,96.4754,1.5640
