brand,model,scope,class,rule,units_total,units_last_12m,first_seen,last_seen
ACURA,MDX 3.5L,Whole,ICE,default-ice,1,0,2022-09,2022-09
ACURA,MDX 3.7L,Whole,ICE,default-ice,1,0,2025-06,2025-06
ACURA,NSX,Whole,ICE,default-ice,8,7,2024-06,2026-07
AGRALE,MARRUA AM 200,Pickups,ICE,default-ice,12,0,2019-12,2020-01
AGRALE,MARRUA AM250 CS,Pickups,ICE,default-ice,2,2,2025-11,2025-11
ALFA ROMEO,159 TI,Whole,ICE,default-ice,1,0,2021-04,2021-04
ALFA ROMEO,2000 SPIDER,Whole,ICE,default-ice,2,0,2018-03,2018-06
ALFA ROMEO,2600 SPRINT,Whole,ICE,default-ice,2,0,2018-12,2020-12
ALFA ROMEO,4C,Whole,ICE,default-ice,3,1,2019-03,2026-02
ALFA ROMEO,ALFA SEI,Whole,ICE,default-ice,1,1,2025-12,2025-12
ALFA ROMEO,ALFA SUD,Whole,ICE,default-ice,1,0,2019-05,2019-05
ALFA ROMEO,BRERA,Whole,ICE,default-ice,1,0,2025-02,2025-02
ALFA ROMEO,DUETTO,Whole,ICE,default-ice,1,0,2021-03,2021-03
ALFA ROMEO,GIULIA,Whole,ICE,default-ice,1,1,2026-07,2026-07
ALFA ROMEO,GIULIA 1600 SPIDER,Whole,ICE,default-ice,2,1,2021-07,2026-06
ALFA ROMEO,GIULIA 200CV,Whole,ICE,default-ice,101,1,2018-11,2025-10
ALFA ROMEO,GIULIA 280CV,Whole,ICE,default-ice,14,0,2018-11,2020-11
ALFA ROMEO,GIULIA 280CV VELOCE,Whole,ICE,default-ice,66,7,2023-03,2026-08
ALFA ROMEO,GIULIA QUADRIFOGLIO,Whole,ICE,default-ice,10,2,2018-11,2026-08
ALFA ROMEO,GIULIA SPIDER,Whole,ICE,default-ice,1,0,2019-11,2019-11
ALFA ROMEO,GIULIA SPRINT GT,Whole,ICE,default-ice,1,1,2025-12,2025-12
ALFA ROMEO,GIULIA SPRINT GT VELOCE,Whole,ICE,default-ice,1,0,2019-04,2019-04
ALFA ROMEO,GIULIETTA 170CV DISTINCTIVE,Whole,ICE,default-ice,64,0,2018-01,2020-01
ALFA ROMEO,GIULIETTA DISTINCTIVE 120 CV,Whole,ICE,default-ice,1,0,2023-08,2023-08
ALFA ROMEO,GIULIETTA PROGRESSION 120CV,Whole,ICE,default-ice,28,0,2018-01,2023-08
ALFA ROMEO,GIULIETTA PROGRESSION 170 CV,Whole,ICE,default-ice,1,0,2023-08,2023-08
ALFA ROMEO,GIULIETTA QUADRIFOGLIO,Whole,ICE,default-ice,68,0,2018-02,2023-08
ALFA ROMEO,GIULIETTA SPIDER,Whole,ICE,default-ice,1,0,2018-09,2018-09
ALFA ROMEO,GIULIETTA SPRINT,Whole,ICE,default-ice,1,0,2021-03,2021-03
ALFA ROMEO,GT,Whole,ICE,default-ice,1,0,2024-08,2024-08
ALFA ROMEO,GTV,Whole,ICE,default-ice,1,1,2026-05,2026-05
ALFA ROMEO,GTV V6 TB,Whole,ICE,default-ice,1,0,2019-05,2019-05
ALFA ROMEO,MITO,Whole,ICE,default-ice,1,0,2018-06,2018-06
ALFA ROMEO,MITO JUNIOR,Whole,ICE,default-ice,1,0,2018-03,2018-03
ALFA ROMEO,MITO PROGRESSION,Whole,ICE,default-ice,62,0,2018-01,2022-02
ALFA ROMEO,MITO QV,Whole,ICE,default-ice,15,0,2018-01,2019-08
ALFA ROMEO,MITO SUPER 1.4,Whole,ICE,default-ice,1,0,2019-06,2019-06
ALFA ROMEO,MITO VELOCE,Whole,ICE,default-ice,36,0,2018-03,2022-08
ALFA ROMEO,MONTREAL,Whole,ICE,default-ice,2,1,2022-01,2026-06
ALFA ROMEO,SPIDER,Whole,ICE,default-ice,9,2,2020-05,2026-08
ALFA ROMEO,SPIDER 2.0,Whole,ICE,default-ice,3,1,2019-06,2025-09
ALFA ROMEO,SPIDER QUADRIFOGLIO,Whole,ICE,default-ice,1,1,2026-05,2026-05
ALFA ROMEO,SPIDER VELOCE,Whole,ICE,default-ice,3,2,2021-11,2026-06
ALFA ROMEO,STELVIO 2.0,Whole,ICE,default-ice,2,1,2025-07,2026-06
ALFA ROMEO,STELVIO 200CV,Whole,ICE,default-ice,96,0,2018-12,2023-07
ALFA ROMEO,STELVIO 280CV SUPER,Whole,ICE,default-ice,72,0,2018-11,2025-08
ALFA ROMEO,STELVIO QUADRIFOGLIO,Whole,ICE,default-ice,6,0,2021-06,2025-01
ALFA ROMEO,STELVIO VELOCE,Whole,ICE,default-ice,99,11,2023-01,2026-08
ALFA ROMEO,TONALE SPRINT,Whole,ICE,default-ice,7,3,2025-04,2025-11
ALFA ROMEO,TONALE VELOCE 160CV,Whole,ICE,default-ice,89,16,2023-09,2026-08
ALFA ROMEO,TONALE VELOCE 280CV,Whole,ICE,default-ice,4,0,2023-09,2025-07
ALFA ROMEO,VELOCE SPIDER,Whole,ICE,default-ice,1,0,2020-06,2020-06
AM GENERAL,HMMWV M998,Whole,ICE,default-ice,1,0,2022-03,2022-03
ARCFOX,KAOLA,Whole,BEV,bev-pure-ev-brands,10,10,2026-02,2026-08
ARCFOX,S5,Whole,BEV,bev-pure-ev-brands,53,53,2026-01,2026-08
ARCFOX,T1,Whole,BEV,bev-pure-ev-brands,79,79,2026-02,2026-08
ARCFOX,T5,Whole,BEV,bev-pure-ev-brands,54,54,2025-11,2026-08
ASTON MARTIN,DB7 VANTAGE,Whole,ICE,default-ice,2,1,2019-01,2025-09
ASTON MARTIN,DB9,Whole,ICE,default-ice,2,1,2023-01,2026-05
ASTON MARTIN,V8,Whole,ICE,default-ice,2,0,2021-03,2021-09
