period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2020-01,monthly,2-Wheelers,dpshtrr.al,0,,0,193,1,0,194,
2020-02,monthly,2-Wheelers,dpshtrr.al,0,,0,200,0,0,200,
2020-03,monthly,2-Wheelers,dpshtrr.al,0,,0,91,2,0,93,
2020-04,monthly,2-Wheelers,dpshtrr.al,4,,0,113,1,0,118,
2020-05,monthly,2-Wheelers,dpshtrr.al,1,,0,359,1,0,361,
2020-06,monthly,2-Wheelers,dpshtrr.al,27,,0,403,1,0,431,
2020-07,monthly,2-Wheelers,dpshtrr.al,6,,0,436,1,0,443,
2020-08,monthly,2-Wheelers,dpshtrr.al,2,,0,363,1,0,366,
2020-09,monthly,2-Wheelers,dpshtrr.al,1,,0,322,2,0,325,
2020-10,monthly,2-Wheelers,dpshtrr.al,2,,0,320,0,0,322,
2020-11,monthly,2-Wheelers,dpshtrr.al,4,,0,259,0,0,263,
2020-12,monthly,2-Wheelers,dpshtrr.al,1,,0,238,0,0,239,
2021-01,monthly,2-Wheelers,dpshtrr.al,2,,0,185,1,0,188,
2021-02,monthly,2-Wheelers,dpshtrr.al,0,,0,247,0,0,247,
2021-03,monthly,2-Wheelers,dpshtrr.al,20,,0,357,0,0,377,
2021-04,monthly,2-Wheelers,dpshtrr.al,9,,0,325,0,0,334,
2021-05,monthly,2-Wheelers,dpshtrr.al,2,,0,400,1,0,403,
2021-06,monthly,2-Wheelers,dpshtrr.al,20,,0,472,0,0,492,
2021-07,monthly,2-Wheelers,dpshtrr.al,2,,0,419,0,0,421,
2021-08,monthly,2-Wheelers,dpshtrr.al,1,,0,447,1,0,449,
2021-09,monthly,2-Wheelers,dpshtrr.al,17,,0,393,1,0,411,
2021-10,monthly,2-Wheelers,dpshtrr.al,4,,0,283,1,0,288,
2021-11,monthly,2-Wheelers,dpshtrr.al,1,,0,261,0,0,262,
2021-12,monthly,2-Wheelers,dpshtrr.al,4,,0,214,0,0,218,
2022-01,monthly,2-Wheelers,dpshtrr.al,5,,0,231,0,0,236,
2022-02,monthly,2-Wheelers,dpshtrr.al,0,,0,364,1,0,365,
2022-03,monthly,2-Wheelers,dpshtrr.al,3,,0,540,1,0,544,
2022-04,monthly,2-Wheelers,dpshtrr.al,6,,0,516,0,0,522,
2022-05,monthly,2-Wheelers,dpshtrr.al,2,,0,501,0,0,503,
2022-06,monthly,2-Wheelers,dpshtrr.al,7,,0,484,0,0,491,
2022-07,monthly,2-Wheelers,dpshtrr.al,3,,0,431,0,0,434,
2022-08,monthly,2-Wheelers,dpshtrr.al,3,,0,465,1,0,469,
2022-09,monthly,2-Wheelers,dpshtrr.al,4,,0,348,0,0,352,
2022-10,monthly,2-Wheelers,dpshtrr.al,2,,0,331,0,0,333,
2022-11,monthly,2-Wheelers,dpshtrr.al,2,,0,269,0,0,271,
2022-12,monthly,2-Wheelers,dpshtrr.al,1,,0,246,1,0,248,
2023-01,monthly,2-Wheelers,dpshtrr.al,2,,0,274,0,0,276,
2023-02,monthly,2-Wheelers,dpshtrr.al,0,,0,304,1,0,305,
2023-03,monthly,2-Wheelers,dpshtrr.al,34,,0,387,0,0,421,
2023-04,monthly,2-Wheelers,dpshtrr.al,1,,0,377,0,0,378,
2023-05,monthly,2-Wheelers,dpshtrr.al,4,,0,504,1,0,509,
2023-06,monthly,2-Wheelers,dpshtrr.al,4,,0,599,1,0,604,
2023-07,monthly,2-Wheelers,dpshtrr.al,24,,0,525,0,0,549,
2023-08,monthly,2-Wheelers,dpshtrr.al,2,,0,592,0,0,594,
2023-09,monthly,2-Wheelers,dpshtrr.al,6,,0,547,1,0,554,
2023-10,monthly,2-Wheelers,dpshtrr.al,7,,0,539,0,0,546,
2023-11,monthly,2-Wheelers,dpshtrr.al,1,,0,333,1,0,335,
2023-12,monthly,2-Wheelers,dpshtrr.al,2,,0,329,1,0,332,
2024-01,monthly,2-Wheelers,dpshtrr.al,1,,0,410,0,0,411,
2024-02,monthly,2-Wheelers,dpshtrr.al,8,,0,477,1,0,486,
2024-03,monthly,2-Wheelers,dpshtrr.al,7,,0,473,0,0,480,
2024-04,monthly,2-Wheelers,dpshtrr.al,9,,0,726,0,0,735,
2024-05,monthly,2-Wheelers,dpshtrr.al,10,,0,923,0,0,933,
2024-06,monthly,2-Wheelers,dpshtrr.al,5,,0,873,0,0,878,
2024-07,monthly,2-Wheelers,dpshtrr.al,7,,0,946,1,0,954,
2024-08,monthly,2-Wheelers,dpshtrr.al,9,,0,614,1,0,624,
2024-09,monthly,2-Wheelers,dpshtrr.al,2,,0,513,0,0,515,
2024-10,monthly,2-Wheelers,dpshtrr.al,11,,0,578,0,0,589,
2024-11,monthly,2-Wheelers,dpshtrr.al,5,,0,386,2,0,393,
2024-12,monthly,2-Wheelers,dpshtrr.al,4,,0,389,0,0,393,
2026-01,monthly,2-Wheelers,dpshtrr.al,33,,0,481,2,4,520,
2026-02,monthly,2-Wheelers,dpshtrr.al,27,,1,621,1,0,650,
2026-03,monthly,2-Wheelers,dpshtrr.al,38,,0,970,1,1,1010,
2026-04,monthly,2-Wheelers,dpshtrr.al,33,,0,1059,3,2,1097,
2026-05,monthly,2-Wheelers,dpshtrr.al,30,,0,952,1,3,986,
