period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2020-01,monthly,Buses,dpshtrr.al,0,,0,0,20,0,20,
2020-02,monthly,Buses,dpshtrr.al,0,,0,0,17,0,17,
2020-03,monthly,Buses,dpshtrr.al,0,,0,1,26,0,27,
2020-04,monthly,Buses,dpshtrr.al,0,,0,0,5,0,5,
2020-05,monthly,Buses,dpshtrr.al,0,,0,0,3,0,3,
2020-06,monthly,Buses,dpshtrr.al,0,,0,0,6,0,6,
2020-07,monthly,Buses,dpshtrr.al,0,,0,0,16,0,16,
2020-08,monthly,Buses,dpshtrr.al,0,,0,0,23,0,23,
2020-09,monthly,Buses,dpshtrr.al,0,,0,0,16,0,16,
2020-10,monthly,Buses,dpshtrr.al,0,,0,0,18,0,18,
2020-11,monthly,Buses,dpshtrr.al,0,,0,0,10,0,10,
2020-12,monthly,Buses,dpshtrr.al,0,,0,0,11,0,11,
2021-01,monthly,Buses,dpshtrr.al,0,,0,0,19,1,20,
2021-02,monthly,Buses,dpshtrr.al,0,,0,0,17,1,18,
2021-03,monthly,Buses,dpshtrr.al,0,,0,0,16,0,16,
2021-04,monthly,Buses,dpshtrr.al,0,,0,0,17,0,17,
2021-05,monthly,Buses,dpshtrr.al,0,,0,0,27,0,27,
2021-06,monthly,Buses,dpshtrr.al,0,,0,0,39,2,41,
2021-07,monthly,Buses,dpshtrr.al,0,,0,0,35,18,53,
2021-08,monthly,Buses,dpshtrr.al,0,,0,0,40,0,40,
2021-09,monthly,Buses,dpshtrr.al,0,,0,0,37,0,37,
2021-10,monthly,Buses,dpshtrr.al,0,,0,0,36,1,37,
2021-11,monthly,Buses,dpshtrr.al,0,,0,0,31,1,32,
2021-12,monthly,Buses,dpshtrr.al,0,,0,0,40,0,40,
2022-01,monthly,Buses,dpshtrr.al,0,,0,0,19,0,19,
2022-02,monthly,Buses,dpshtrr.al,0,,0,0,35,1,36,
2022-03,monthly,Buses,dpshtrr.al,0,,0,0,28,0,28,
2022-04,monthly,Buses,dpshtrr.al,0,,0,0,22,1,23,
2022-05,monthly,Buses,dpshtrr.al,0,,0,0,23,0,23,
2022-06,monthly,Buses,dpshtrr.al,0,,0,0,24,1,25,
2022-07,monthly,Buses,dpshtrr.al,0,,0,0,33,3,36,
2022-08,monthly,Buses,dpshtrr.al,0,,0,0,24,2,26,
2022-09,monthly,Buses,dpshtrr.al,0,,0,0,40,1,41,
2022-10,monthly,Buses,dpshtrr.al,0,,0,0,35,1,36,
2022-11,monthly,Buses,dpshtrr.al,0,,0,0,28,0,28,
2022-12,monthly,Buses,dpshtrr.al,0,,0,0,52,0,52,
2023-01,monthly,Buses,dpshtrr.al,0,,0,0,30,1,31,
2023-02,monthly,Buses,dpshtrr.al,0,,0,0,27,6,33,
2023-03,monthly,Buses,dpshtrr.al,0,,0,0,29,0,29,
2023-04,monthly,Buses,dpshtrr.al,0,,0,0,40,4,44,
2023-05,monthly,Buses,dpshtrr.al,0,,0,0,24,0,24,
2023-06,monthly,Buses,dpshtrr.al,0,,0,0,33,0,33,
2023-07,monthly,Buses,dpshtrr.al,0,,0,0,41,0,41,
2023-08,monthly,Buses,dpshtrr.al,0,,0,0,27,0,27,
2023-09,monthly,Buses,dpshtrr.al,0,,0,0,26,0,26,
2023-10,monthly,Buses,dpshtrr.al,0,,0,0,31,1,32,
2023-11,monthly,Buses,dpshtrr.al,0,,0,0,44,0,44,
2023-12,monthly,Buses,dpshtrr.al,0,,0,0,52,0,52,
2024-01,monthly,Buses,dpshtrr.al,0,,5,0,25,0,30,
2024-02,monthly,Buses,dpshtrr.al,0,,1,0,42,0,43,
2024-03,monthly,Buses,dpshtrr.al,3,,0,0,28,0,31,
2024-04,monthly,Buses,dpshtrr.al,0,,0,0,53,0,53,
2024-05,monthly,Buses,dpshtrr.al,0,,0,0,46,0,46,
2024-06,monthly,Buses,dpshtrr.al,0,,2,0,31,2,35,
2024-07,monthly,Buses,dpshtrr.al,0,,0,0,43,0,43,
2024-08,monthly,Buses,dpshtrr.al,0,,2,0,19,2,23,
2024-09,monthly,Buses,dpshtrr.al,0,,0,0,29,0,29,
2024-10,monthly,Buses,dpshtrr.al,0,,0,0,20,0,20,
2024-11,monthly,Buses,dpshtrr.al,0,,0,0,26,1,27,
2024-12,monthly,Buses,dpshtrr.al,0,,0,0,32,0,32,
2026-01,monthly,Buses,dpshtrr.al,0,,0,0,23,1,24,
2026-02,monthly,Buses,dpshtrr.al,1,,0,0,26,1,28,
2026-03,monthly,Buses,dpshtrr.al,0,,0,0,29,0,29,
2026-04,monthly,Buses,dpshtrr.al,0,,0,0,32,0,32,
2026-05,monthly,Buses,dpshtrr.al,0,,0,0,33,0,33,
