period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2020-01,monthly,HDV,dpshtrr.al,0,,,0,20,0,20,
2020-02,monthly,HDV,dpshtrr.al,0,,,0,45,0,45,
2020-03,monthly,HDV,dpshtrr.al,0,,,0,24,0,24,
2020-04,monthly,HDV,dpshtrr.al,0,,,0,32,0,32,
2020-05,monthly,HDV,dpshtrr.al,0,,,0,19,0,19,
2020-06,monthly,HDV,dpshtrr.al,0,,,0,35,0,35,
2020-07,monthly,HDV,dpshtrr.al,0,,,0,44,0,44,
2020-08,monthly,HDV,dpshtrr.al,0,,,0,40,0,40,
2020-09,monthly,HDV,dpshtrr.al,0,,,0,46,0,46,
2020-10,monthly,HDV,dpshtrr.al,0,,,0,69,0,69,
2020-11,monthly,HDV,dpshtrr.al,0,,,0,57,0,57,
2020-12,monthly,HDV,dpshtrr.al,0,,,0,40,0,40,
2021-01,monthly,HDV,dpshtrr.al,0,,,0,37,0,37,
2021-02,monthly,HDV,dpshtrr.al,0,,,0,57,0,57,
2021-03,monthly,HDV,dpshtrr.al,0,,,0,43,0,43,
2021-04,monthly,HDV,dpshtrr.al,0,,,1,69,0,70,
2021-05,monthly,HDV,dpshtrr.al,0,,,0,49,0,49,
2021-06,monthly,HDV,dpshtrr.al,0,,,0,56,1,57,
2021-07,monthly,HDV,dpshtrr.al,0,,,0,45,0,45,
2021-08,monthly,HDV,dpshtrr.al,0,,,0,34,0,34,
2021-09,monthly,HDV,dpshtrr.al,0,,,0,43,0,43,
2021-10,monthly,HDV,dpshtrr.al,0,,,0,53,0,53,
2021-11,monthly,HDV,dpshtrr.al,0,,,1,59,0,60,
2021-12,monthly,HDV,dpshtrr.al,0,,,0,66,1,67,
2022-01,monthly,HDV,dpshtrr.al,0,,,0,40,0,40,
2022-02,monthly,HDV,dpshtrr.al,0,,,0,45,0,45,
2022-03,monthly,HDV,dpshtrr.al,0,,,0,63,0,63,
2022-04,monthly,HDV,dpshtrr.al,0,,,0,44,0,44,
2022-05,monthly,HDV,dpshtrr.al,0,,,0,34,0,34,
2022-06,monthly,HDV,dpshtrr.al,0,,,0,48,0,48,
2022-07,monthly,HDV,dpshtrr.al,0,,,0,44,0,44,
2022-08,monthly,HDV,dpshtrr.al,0,,,0,37,0,37,
2022-09,monthly,HDV,dpshtrr.al,0,,,0,53,0,53,
2022-10,monthly,HDV,dpshtrr.al,0,,,0,54,0,54,
2022-11,monthly,HDV,dpshtrr.al,0,,,0,39,0,39,
2022-12,monthly,HDV,dpshtrr.al,0,,,0,66,0,66,
2023-01,monthly,HDV,dpshtrr.al,0,,,0,51,1,52,
2023-02,monthly,HDV,dpshtrr.al,0,,,0,50,0,50,
2023-03,monthly,HDV,dpshtrr.al,0,,,0,62,1,63,
2023-04,monthly,HDV,dpshtrr.al,0,,,0,47,0,47,
2023-05,monthly,HDV,dpshtrr.al,0,,,1,66,0,67,
2023-06,monthly,HDV,dpshtrr.al,0,,,0,60,0,60,
2023-07,monthly,HDV,dpshtrr.al,0,,,0,53,0,53,
2023-08,monthly,HDV,dpshtrr.al,0,,,0,52,1,53,
2023-09,monthly,HDV,dpshtrr.al,0,,,0,71,2,73,
2023-10,monthly,HDV,dpshtrr.al,0,,,0,67,0,67,
2023-11,monthly,HDV,dpshtrr.al,0,,,0,63,0,63,
2023-12,monthly,HDV,dpshtrr.al,0,,,0,100,1,101,
2024-01,monthly,HDV,dpshtrr.al,0,,,0,59,1,60,
2024-02,monthly,HDV,dpshtrr.al,0,,,1,80,0,81,
2024-03,monthly,HDV,dpshtrr.al,0,,,0,89,0,89,
2024-04,monthly,HDV,dpshtrr.al,0,,,0,96,1,97,
2024-05,monthly,HDV,dpshtrr.al,0,,,0,114,0,114,
2024-06,monthly,HDV,dpshtrr.al,0,,,0,63,2,65,
2024-07,monthly,HDV,dpshtrr.al,0,,,1,59,0,60,
2024-08,monthly,HDV,dpshtrr.al,0,,,0,54,0,54,
2024-09,monthly,HDV,dpshtrr.al,0,,,1,63,0,64,
2024-10,monthly,HDV,dpshtrr.al,0,,,1,103,0,104,
2024-11,monthly,HDV,dpshtrr.al,2,,,0,58,0,60,
2024-12,monthly,HDV,dpshtrr.al,0,,,0,118,0,118,
