period,time_interval,variant,source,BEV,PHEV,EREV,HEV,MHEV,ICE,TOTAL,notes
2018-01,monthly,Whole,DNRPA,0.0,0.0,0.0,64.0,0.0,90648.0,90712.0,
2018-02,monthly,Whole,DNRPA,0.0,0.0,0.0,33.0,0.0,54128.0,54161.0,
2018-03,monthly,Whole,DNRPA,0.0,0.0,0.0,52.0,0.0,66632.0,66684.0,
2018-04,monthly,Whole,DNRPA,0.0,0.0,0.0,28.0,0.0,59541.0,59569.0,
2018-05,monthly,Whole,DNRPA,0.0,1.0,0.0,39.0,0.0,63407.0,63447.0,
2018-06,monthly,Whole,DNRPA,0.0,0.0,0.0,26.0,0.0,48778.0,48804.0,
2018-07,monthly,Whole,DNRPA,0.0,0.0,0.0,39.0,0.0,51084.0,51123.0,
2018-08,monthly,Whole,DNRPA,0.0,1.0,0.0,53.0,0.0,49481.0,49535.0,
2018-09,monthly,Whole,DNRPA,0.0,3.0,0.0,43.0,0.0,39911.0,39957.0,
2018-10,monthly,Whole,DNRPA,0.0,1.0,0.0,46.0,0.0,36696.0,36743.0,
2018-11,monthly,Whole,DNRPA,0.0,2.0,0.0,27.0,0.0,29252.0,29281.0,
2018-12,monthly,Whole,DNRPA,0.0,1.0,0.0,30.0,0.0,21068.0,21099.0,
2019-01,monthly,Whole,DNRPA,0.0,1.0,0.0,42.0,0.0,45122.0,45165.0,
2019-02,monthly,Whole,DNRPA,0.0,4.0,0.0,27.0,0.0,29601.0,29632.0,
2019-03,monthly,Whole,DNRPA,0.0,4.0,0.0,17.0,0.0,29171.0,29192.0,
2019-04,monthly,Whole,DNRPA,0.0,1.0,0.0,13.0,0.0,26417.0,26431.0,
2019-05,monthly,Whole,DNRPA,0.0,2.0,0.0,103.0,0.0,25250.0,25355.0,
2019-06,monthly,Whole,DNRPA,0.0,3.0,0.0,188.0,0.0,26863.0,27054.0,
2019-07,monthly,Whole,DNRPA,0.0,1.0,0.0,230.0,0.0,38003.0,38234.0,
2019-08,monthly,Whole,DNRPA,6.0,3.0,0.0,213.0,0.0,31656.0,31878.0,
2019-09,monthly,Whole,DNRPA,3.0,1.0,0.0,171.0,0.0,24825.0,25000.0,
2019-10,monthly,Whole,DNRPA,0.0,5.0,0.0,208.0,0.0,22157.0,22370.0,
2019-11,monthly,Whole,DNRPA,0.0,2.0,0.0,125.0,0.0,17603.0,17730.0,
2019-12,monthly,Whole,DNRPA,0.0,0.0,0.0,118.0,0.0,15181.0,15299.0,
