period,time_interval,variant,source,BEV,PHEV,EREV,HEV,MHEV,ICE,TOTAL,notes
2018-01,monthly,Industry,DNRPA,0.0,0.0,0.0,13.0,0.0,4658.0,4671.0,
2018-02,monthly,Industry,DNRPA,0.0,0.0,0.0,10.0,0.0,3167.0,3177.0,
2018-03,monthly,Industry,DNRPA,0.0,0.0,0.0,16.0,0.0,4212.0,4228.0,
2018-04,monthly,Industry,DNRPA,0.0,0.0,0.0,4.0,0.0,3977.0,3981.0,
2018-05,monthly,Industry,DNRPA,0.0,1.0,0.0,8.0,0.0,3410.0,3419.0,
2018-06,monthly,Industry,DNRPA,0.0,0.0,0.0,4.0,0.0,3014.0,3018.0,
2018-07,monthly,Industry,DNRPA,0.0,0.0,0.0,11.0,0.0,3886.0,3897.0,
2018-08,monthly,Industry,DNRPA,0.0,1.0,0.0,23.0,0.0,3858.0,3882.0,
2018-09,monthly,Industry,DNRPA,0.0,3.0,0.0,8.0,0.0,3396.0,3407.0,
2018-10,monthly,Industry,DNRPA,0.0,1.0,0.0,8.0,0.0,3888.0,3897.0,
2018-11,monthly,Industry,DNRPA,0.0,0.0,0.0,3.0,0.0,2922.0,2925.0,
2018-12,monthly,Industry,DNRPA,0.0,1.0,0.0,20.0,0.0,2815.0,2836.0,
2019-01,monthly,Industry,DNRPA,0.0,0.0,0.0,22.0,0.0,3461.0,3483.0,
2019-02,monthly,Industry,DNRPA,0.0,2.0,0.0,11.0,0.0,2252.0,2265.0,
2019-03,monthly,Industry,DNRPA,0.0,3.0,0.0,7.0,0.0,2548.0,2558.0,
2019-04,monthly,Industry,DNRPA,0.0,1.0,0.0,2.0,0.0,2349.0,2352.0,
2019-05,monthly,Industry,DNRPA,0.0,1.0,0.0,71.0,0.0,2606.0,2678.0,
2019-06,monthly,Industry,DNRPA,0.0,2.0,0.0,66.0,0.0,2382.0,2450.0,
2019-07,monthly,Industry,DNRPA,0.0,1.0,0.0,34.0,0.0,3051.0,3086.0,
2019-08,monthly,Industry,DNRPA,3.0,1.0,0.0,55.0,0.0,3046.0,3105.0,
2019-09,monthly,Industry,DNRPA,2.0,0.0,0.0,53.0,0.0,2578.0,2633.0,
2019-10,monthly,Industry,DNRPA,0.0,3.0,0.0,35.0,0.0,2402.0,2440.0,
2019-11,monthly,Industry,DNRPA,0.0,2.0,0.0,36.0,0.0,2650.0,2688.0,
