period,time_interval,variant,source,BEV,PHEV,EREV,HEV,MHEV,ICE,TOTAL,notes
2018-01,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,18147.0,18147.0,
2018-02,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,9403.0,9403.0,
2018-03,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,11455.0,11455.0,
2018-04,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,11339.0,11339.0,
2018-05,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,12039.0,12039.0,
2018-06,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,9186.0,9186.0,
2018-07,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,9288.0,9288.0,
2018-08,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,9448.0,9448.0,
2018-09,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,7958.0,7958.0,
2018-10,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,7447.0,7447.0,
2018-11,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,6164.0,6164.0,
2018-12,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,4053.0,4053.0,
2019-01,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,9966.0,9966.0,
2019-02,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,6305.0,6305.0,
2019-03,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,6177.0,6177.0,
2019-04,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,7033.0,7033.0,
2019-05,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,7276.0,7276.0,
2019-06,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,5969.0,5969.0,
2019-07,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,7689.0,7689.0,
2019-08,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,8370.0,8370.0,
2019-09,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,7339.0,7339.0,
2019-10,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,6674.0,6674.0,
2019-11,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,5181.0,5181.0,
2019-12,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,3790.0,3790.0,
2020-01,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,9223.0,9223.0,
2020-02,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,5140.0,5140.0,
2020-03,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,3173.0,3173.0,
2020-04,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,892.0,892.0,
2020-05,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,4354.0,4354.0,
2020-06,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,7086.0,7086.0,
2020-07,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,6733.0,6733.0,
2020-08,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,7088.0,7088.0,
2020-09,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,8056.0,8056.0,
2020-10,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,8221.0,8221.0,
2020-11,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,7361.0,7361.0,
2020-12,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,4794.0,4794.0,
2021-01,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,11023.0,11023.0,
2021-02,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,6879.0,6879.0,
2021-03,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,8079.0,8079.0,
2021-04,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,7691.0,7691.0,
2021-05,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,5186.0,5186.0,
2021-06,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,8863.0,8863.0,
2021-07,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,7509.0,7509.0,
2021-08,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,6781.0,6781.0,
2021-09,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,7563.0,7563.0,
2021-10,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,7304.0,7304.0,
2021-11,monthly,Pickups,DNRPA,0.0,0.0,0.0,0.0,0.0,7583.0,7583.0,
2021-12,monthly,Pickups,DNRPA,0.0,0.0,0.0,1.0,0.0,4653.0,4654.0,
2022-01,monthly,Pickups,DNRPA,0.0,0.0,0.0,4.0,0.0,8542.0,8546.0,
2022-02,monthly,Pickups,DNRPA,0.0,0.0,0.0,54.0,0.0,6109.0,6163.0,
2022-03,monthly,Pickups,DNRPA,0.0,0.0,0.0,32.0,0.0,7647.0,7679.0,
2022-04,monthly,Pickups,DNRPA,0.0,0.0,0.0,14.0,0.0,6730.0,6744.0,
2022-05,monthly,Pickups,DNRPA,0.0,0.0,0.0,4.0,0.0,7568.0,7572.0,
2022-06,monthly,Pickups,DNRPA,0.0,0.0,0.0,3.0,0.0,7605.0,7608.0,
2022-07,monthly,Pickups,DNRPA,0.0,0.0,0.0,1.0,0.0,8506.0,8507.0,
2022-08,monthly,Pickups,DNRPA,0.0,0.0,0.0,2.0,0.0,7880.0,7882.0,
2022-09,monthly,Pickups,DNRPA,0.0,0.0,0.0,1.0,0.0,7662.0,7663.0,
