period,time_interval,variant,source,BEV,PHEV,EREV,HEV,MHEV,ICE,TOTAL,notes
2018-01,monthly,Private,DNRPA,0.0,0.0,0.0,51.0,0.0,85990.0,86041.0,
2018-02,monthly,Private,DNRPA,0.0,0.0,0.0,23.0,0.0,50961.0,50984.0,
2018-03,monthly,Private,DNRPA,0.0,0.0,0.0,36.0,0.0,62420.0,62456.0,
2018-04,monthly,Private,DNRPA,0.0,0.0,0.0,24.0,0.0,55564.0,55588.0,
2018-05,monthly,Private,DNRPA,0.0,0.0,0.0,31.0,0.0,59997.0,60028.0,
2018-06,monthly,Private,DNRPA,0.0,0.0,0.0,22.0,0.0,45764.0,45786.0,
2018-07,monthly,Private,DNRPA,0.0,0.0,0.0,28.0,0.0,47198.0,47226.0,
2018-08,monthly,Private,DNRPA,0.0,0.0,0.0,30.0,0.0,45623.0,45653.0,
2018-09,monthly,Private,DNRPA,0.0,0.0,0.0,35.0,0.0,36515.0,36550.0,
2018-10,monthly,Private,DNRPA,0.0,0.0,0.0,38.0,0.0,32808.0,32846.0,
2018-11,monthly,Private,DNRPA,0.0,2.0,0.0,24.0,0.0,26330.0,26356.0,
2018-12,monthly,Private,DNRPA,0.0,0.0,0.0,10.0,0.0,18253.0,18263.0,
2019-01,monthly,Private,DNRPA,0.0,1.0,0.0,20.0,0.0,41661.0,41682.0,
2019-02,monthly,Private,DNRPA,0.0,2.0,0.0,16.0,0.0,27349.0,27367.0,
2019-03,monthly,Private,DNRPA,0.0,1.0,0.0,10.0,0.0,26623.0,26634.0,
2019-04,monthly,Private,DNRPA,0.0,0.0,0.0,11.0,0.0,24068.0,24079.0,
2019-05,monthly,Private,DNRPA,0.0,1.0,0.0,32.0,0.0,22644.0,22677.0,
2019-06,monthly,Private,DNRPA,0.0,1.0,0.0,122.0,0.0,24481.0,24604.0,
2019-07,monthly,Private,DNRPA,0.0,0.0,0.0,196.0,0.0,34952.0,35148.0,
2019-08,monthly,Private,DNRPA,3.0,2.0,0.0,158.0,0.0,28610.0,28773.0,
2019-09,monthly,Private,DNRPA,1.0,1.0,0.0,118.0,0.0,22247.0,22367.0,
2019-10,monthly,Private,DNRPA,0.0,2.0,0.0,173.0,0.0,19755.0,19930.0,
2019-11,monthly,Private,DNRPA,0.0,0.0,0.0,89.0,0.0,14953.0,15042.0,
2019-12,monthly,Private,DNRPA,0.0,0.0,0.0,76.0,0.0,12560.0,12636.0,
2020-01,monthly,Private,DNRPA,0.0,0.0,0.0,189.0,0.0,27934.0,28123.0,
2020-02,monthly,Private,DNRPA,0.0,0.0,0.0,90.0,0.0,17828.0,17918.0,
2020-03,monthly,Private,DNRPA,0.0,0.0,0.0,73.0,0.0,11686.0,11759.0,
2020-04,monthly,Private,DNRPA,0.0,0.0,0.0,10.0,0.0,2474.0,2484.0,
2020-05,monthly,Private,DNRPA,0.0,0.0,0.0,58.0,0.0,12776.0,12834.0,
2020-06,monthly,Private,DNRPA,0.0,0.0,0.0,288.0,0.0,23473.0,23761.0,
2020-07,monthly,Private,DNRPA,0.0,0.0,0.0,234.0,0.0,17951.0,18185.0,
2020-08,monthly,Private,DNRPA,2.0,0.0,0.0,170.0,0.0,17940.0,18112.0,
2020-09,monthly,Private,DNRPA,1.0,0.0,0.0,92.0,1.0,21215.0,21309.0,
2020-10,monthly,Private,DNRPA,1.0,0.0,0.0,140.0,0.0,22989.0,23130.0,
2020-11,monthly,Private,DNRPA,1.0,0.0,0.0,217.0,1.0,21534.0,21753.0,
2020-12,monthly,Private,DNRPA,0.0,0.0,0.0,113.0,0.0,11951.0,12064.0,
2021-01,monthly,Private,DNRPA,0.0,0.0,0.0,441.0,0.0,30538.0,30979.0,
2021-02,monthly,Private,DNRPA,1.0,0.0,0.0,408.0,1.0,17699.0,18109.0,
2021-03,monthly,Private,DNRPA,0.0,0.0,0.0,426.0,1.0,21225.0,21652.0,
2021-04,monthly,Private,DNRPA,2.0,0.0,0.0,356.0,0.0,17857.0,18215.0,
2021-05,monthly,Private,DNRPA,0.0,0.0,0.0,289.0,4.0,12894.0,13187.0,
2021-06,monthly,Private,DNRPA,1.0,0.0,0.0,387.0,10.0,20300.0,20698.0,
2021-07,monthly,Private,DNRPA,1.0,0.0,0.0,345.0,4.0,18157.0,18507.0,
2021-08,monthly,Private,DNRPA,1.0,0.0,0.0,492.0,4.0,17908.0,18405.0,
2021-09,monthly,Private,DNRPA,0.0,0.0,0.0,637.0,3.0,16221.0,16861.0,
2021-10,monthly,Private,DNRPA,0.0,0.0,0.0,473.0,0.0,13446.0,13919.0,
2021-11,monthly,Private,DNRPA,0.0,0.0,0.0,332.0,1.0,14050.0,14383.0,
2021-12,monthly,Private,DNRPA,1.0,3.0,0.0,194.0,1.0,8223.0,8422.0,
2022-01,monthly,Private,DNRPA,1.0,15.0,0.0,525.0,0.0,25673.0,26214.0,
2022-02,monthly,Private,DNRPA,0.0,5.0,0.0,311.0,0.0,15931.0,16247.0,
2022-03,monthly,Private,DNRPA,2.0,2.0,0.0,303.0,1.0,18641.0,18949.0,
2022-04,monthly,Private,DNRPA,2.0,11.0,0.0,264.0,1.0,17137.0,17415.0,
2022-05,monthly,Private,DNRPA,1.0,5.0,0.0,443.0,3.0,18571.0,19023.0,
2022-06,monthly,Private,DNRPA,1.0,14.0,0.0,519.0,5.0,18490.0,19029.0,
2022-07,monthly,Private,DNRPA,1.0,21.0,0.0,605.0,20.0,20589.0,21236.0,
2022-08,monthly,Private,DNRPA,2.0,10.0,0.0,655.0,5.0,19729.0,20401.0,
2022-09,monthly,Private,DNRPA,2.0,6.0,0.0,437.0,2.0,17951.0,18398.0,
2022-10,monthly,Private,DNRPA,2.0,4.0,0.0,475.0,0.0,17110.0,17591.0,
2022-11,monthly,Private,DNRPA,3.0,3.0,0.0,530.0,3.0,17860.0,18399.0,
2022-12,monthly,Private,DNRPA,1.0,7.0,0.0,333.0,1.0,9330.0,9672.0,
2023-01,monthly,Private,DNRPA,1.0,15.0,0.0,716.0,36.0,27868.0,28636.0,
2023-02,monthly,Private,DNRPA,0.0,12.0,0.0,276.0,26.0,16458.0,16772.0,
2023-03,monthly,Private,DNRPA,1.0,10.0,0.0,468.0,12.0,20994.0,21485.0,
2023-04,monthly,Private,DNRPA,4.0,6.0,0.0,514.0,6.0,17536.0,18066.0,
2023-05,monthly,Private,DNRPA,0.0,14.0,0.0,562.0,16.0,19203.0,19795.0,
2023-06,monthly,Private,DNRPA,1.0,7.0,0.0,623.0,33.0,19409.0,20073.0,
2023-07,monthly,Private,DNRPA,2.0,8.0,0.0,675.0,25.0,22572.0,23282.0,
2023-08,monthly,Private,DNRPA,1.0,3.0,0.0,565.0,24.0,18733.0,19326.0,
2023-09,monthly,Private,DNRPA,1.0,4.0,0.0,275.0,17.0,15359.0,15656.0,
2023-10,monthly,Private,DNRPA,2.0,8.0,0.0,630.0,29.0,21026.0,21695.0,
2023-11,monthly,Private,DNRPA,4.0,5.0,0.0,623.0,13.0,16846.0,17491.0,
2023-12,monthly,Private,DNRPA,2.0,16.0,0.0,211.0,8.0,7211.0,7448.0,
2024-01,monthly,Private,DNRPA,4.0,4.0,0.0,322.0,18.0,18051.0,18399.0,
2024-02,monthly,Private,DNRPA,1.0,9.0,0.0,561.0,30.0,13782.0,14383.0,
2024-03,monthly,Private,DNRPA,8.0,4.0,0.0,741.0,33.0,14036.0,14822.0,
2024-04,monthly,Private,DNRPA,4.0,7.0,0.0,954.0,32.0,17388.0,18385.0,
2024-05,monthly,Private,DNRPA,9.0,6.0,0.0,940.0,37.0,17480.0,18472.0,
2024-06,monthly,Private,DNRPA,10.0,16.0,0.0,692.0,50.0,15807.0,16575.0,
2024-07,monthly,Private,DNRPA,3.0,12.0,0.0,964.0,60.0,21597.0,22636.0,
2024-08,monthly,Private,DNRPA,7.0,8.0,0.0,1009.0,69.0,20358.0,21451.0,
2024-09,monthly,Private,DNRPA,3.0,8.0,0.0,879.0,89.0,22026.0,23005.0,
2024-10,monthly,Private,DNRPA,4.0,4.0,0.0,1215.0,106.0,22654.0,23983.0,
2024-11,monthly,Private,DNRPA,6.0,8.0,0.0,823.0,56.0,18564.0,19457.0,
2024-12,monthly,Private,DNRPA,5.0,10.0,0.0,480.0,29.0,9980.0,10504.0,
2025-01,monthly,Private,DNRPA,20.0,9.0,0.0,1561.0,128.0,39915.0,41633.0,
2025-02,monthly,Private,DNRPA,13.0,11.0,0.0,687.0,60.0,25422.0,26193.0,
2025-03,monthly,Private,DNRPA,23.0,10.0,0.0,873.0,92.0,28537.0,29535.0,
2025-04,monthly,Private,DNRPA,58.0,18.0,0.0,992.0,76.0,31282.0,32426.0,
2025-05,monthly,Private,DNRPA,43.0,19.0,0.0,863.0,135.0,32159.0,33219.0,
2025-06,monthly,Private,DNRPA,25.0,8.0,0.0,1033.0,169.0,31351.0,32586.0,
2025-07,monthly,Private,DNRPA,41.0,14.0,0.0,1435.0,174.0,36535.0,38199.0,
2025-08,monthly,Private,DNRPA,38.0,13.0,0.0,1679.0,371.0,30608.0,32709.0,
2025-09,monthly,Private,DNRPA,102.0,7.0,0.0,2144.0,364.0,31181.0,33798.0,
2025-10,monthly,Private,DNRPA,147.0,43.0,0.0,2272.0,376.0,27555.0,30393.0,
2025-11,monthly,Private,DNRPA,161.0,130.0,0.0,1475.0,370.0,18229.0,20365.0,
2025-12,monthly,Private,DNRPA,93.0,148.0,0.0,1128.0,251.0,10917.0,12537.0,
2026-01,monthly,Private,DNRPA,403.0,796.0,1.0,4389.0,920.0,34126.0,40635.0,
2026-02,monthly,Private,DNRPA,431.0,838.0,0.0,2468.0,612.0,20587.0,24936.0,
2026-03,monthly,Private,DNRPA,428.0,1466.0,2.0,3630.0,710.0,23647.0,29883.0,
2026-04,monthly,Private,DNRPA,595.0,1662.0,5.0,3616.0,728.0,21872.0,28478.0,
2026-05,monthly,Private,DNRPA,544.0,1647.0,0.0,3140.0,948.0,18646.0,24925.0,
2026-06,monthly,Private,DNRPA,683.0,1498.0,5.0,3165.0,989.0,20111.0,26451.0,
2026-07,monthly,Private,DNRPA,520.0,1300.0,7.0,3275.0,770.0,19938.0,25810.0,
2026-08,monthly,Private,DNRPA,542.0,1633.0,114.0,3470.0,867.0,20093.0,26719.0,
