period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2015-06,yearly,Whole,VFACTS & Prof. Ray Willis,760.0,1000.0,12622.0,,,0.0,1155408.0,
2016-06,yearly,Whole,VFACTS & Prof. Ray Willis,1262.0,700.0,8835.0,,,0.0,1178133.0,
2017-06,yearly,Whole,VFACTS & Prof. Ray Willis,1605.0,1100.0,13884.0,,,,1189116.0,
2018-06,yearly,Whole,VFACTS & Prof. Ray Willis,5932.0,1800.0,22719.0,,,,915658.0,
2019-06,yearly,Whole,VFACTS & Prof. Ray Willis,10111.0,2900.0,36604.0,,,,1062867.0,
2020-07,monthly,Whole,VFACTS & Prof. Ray Willis,423.0,132.0,6665.0,42728.0,19944.0,,69892.0,
2020-08,monthly,Whole,VFACTS & Prof. Ray Willis,440.0,103.0,6436.0,35068.0,16608.0,,58655.0,
2020-09,monthly,Whole,VFACTS & Prof. Ray Willis,446.0,124.0,4389.0,39926.0,21539.0,,66424.0,
2020-10,monthly,Whole,VFACTS & Prof. Ray Willis,471.0,200.0,5801.0,44735.0,27244.0,,78451.0,
2020-11,monthly,Whole,VFACTS & Prof. Ray Willis,463.0,135.0,6887.0,53380.0,31399.0,,92264.0,
2020-12,monthly,Whole,VFACTS & Prof. Ray Willis,465.0,236.0,6124.0,52893.0,32693.0,,92411.0,
2021-01,monthly,Whole,VFACTS & Prof. Ray Willis,1296.0,158.0,5247.0,47356.0,24662.0,,78719.0,
2021-02,monthly,Whole,VFACTS & Prof. Ray Willis,1262.0,185.0,5016.0,49129.0,26559.0,,82151.0,
2021-03,monthly,Whole,VFACTS & Prof. Ray Willis,1411.0,286.0,6548.0,56847.0,32228.0,,97320.0,
2021-04,monthly,Whole,VFACTS & Prof. Ray Willis,1286.0,248.0,7583.0,49828.0,31003.0,,89948.0,
2021-05,monthly,Whole,VFACTS & Prof. Ray Willis,1436.0,245.0,7105.0,45985.0,34164.0,,88935.0,
2021-06,monthly,Whole,VFACTS & Prof. Ray Willis,1526.0,318.0,5842.0,60701.0,38285.0,,106672.0,
2021-07,monthly,Whole,VFACTS & Prof. Ray Willis,1515.0,325.0,5512.0,45985.0,28649.0,,81986.0,
2021-08,monthly,Whole,VFACTS & Prof. Ray Willis,1370.0,293.0,6488.0,43176.0,27288.0,,78615.0,
2021-09,monthly,Whole,VFACTS & Prof. Ray Willis,1466.0,301.0,6959.0,44872.0,26800.0,,80398.0,
2021-10,monthly,Whole,VFACTS & Prof. Ray Willis,1461.0,276.0,4378.0,40717.0,24807.0,,71639.0,
2021-11,monthly,Whole,VFACTS & Prof. Ray Willis,1568.0,415.0,4983.0,45161.0,25658.0,,77785.0,
2021-12,monthly,Whole,VFACTS & Prof. Ray Willis,1551.0,318.0,5852.0,45161.0,25658.0,,78540.0,
2022-01,monthly,Whole,VFACTS & Prof. Ray Willis,1620.0,307.0,4972.0,41592.0,26009.0,,74500.0,
2022-02,monthly,Whole,VFACTS & Prof. Ray Willis,1605.0,305.0,8143.0,43644.0,29939.0,,83636.0,
2022-03,monthly,Whole,VFACTS & Prof. Ray Willis,5532.0,427.0,7474.0,50272.0,33379.0,,97084.0,
2022-04,monthly,Whole,VFACTS & Prof. Ray Willis,866.0,628.0,6277.0,41796.0,27882.0,,77449.0,
2022-05,monthly,Whole,VFACTS & Prof. Ray Willis,925.0,695.0,7887.0,47294.0,33437.0,,90238.0,
2022-06,monthly,Whole,VFACTS & Prof. Ray Willis,1137.0,570.0,6407.0,51388.0,35306.0,,94808.0,
2022-07,monthly,Whole,VFACTS & Prof. Ray Willis,609.0,578.0,6779.0,44039.0,28735.0,,80740.0,
2022-08,monthly,Whole,VFACTS & Prof. Ray Willis,4235.0,540.0,6864.0,48594.0,30807.0,,91040.0,
2022-09,monthly,Whole,VFACTS & Prof. Ray Willis,7247.0,525.0,4616.0,47620.0,29377.0,,89385.0,
2022-10,monthly,Whole,VFACTS & Prof. Ray Willis,2098.0,464.0,6860.0,45099.0,28707.0,,83228.0,
2022-11,monthly,Whole,VFACTS & Prof. Ray Willis,4457.0,429.0,8529.0,46717.0,30404.0,,90536.0,
2022-12,monthly,Whole,VFACTS & Prof. Ray Willis,5084.0,460.0,7082.0,36569.0,26099.0,,75294.0,
2023-01,monthly,Whole,VFACTS & Prof. Ray Willis,4852.0,438.0,5136.0,44831.0,26589.0,,81846.0,
2023-02,monthly,Whole,VFACTS & Prof. Ray Willis,5932.0,454.0,5716.0,44528.0,26443.0,,83073.0,
2023-03,monthly,Whole,VFACTS & Prof. Ray Willis,6612.0,569.0,5247.0,50229.0,30063.0,,92720.0,
2023-04,monthly,Whole,VFACTS & Prof. Ray Willis,6530.0,545.0,5592.0,42369.0,23246.0,,78282.0,
2023-05,monthly,Whole,VFACTS & Prof. Ray Willis,8124.0,791.0,7600.0,52327.0,32113.0,,100955.0,
2023-06,monthly,Whole,VFACTS & Prof. Ray Willis,11042.0,735.0,9020.0,59995.0,37497.0,,118289.0,
2023-07,monthly,Whole,VFACTS & Prof. Ray Willis,6846.0,834.0,9696.0,48236.0,27791.0,,93403.0,
2023-08,monthly,Whole,VFACTS & Prof. Ray Willis,6984.0,1113.0,11584.0,52407.0,33590.0,,105678.0,
2023-09,monthly,Whole,VFACTS & Prof. Ray Willis,8821.0,1264.0,10138.0,52619.0,33614.0,,106456.0,
2023-10,monthly,Whole,VFACTS & Prof. Ray Willis,6414.0,2407.0,9187.0,43506.0,28941.0,,90455.0,
2023-11,monthly,Whole,VFACTS & Prof. Ray Willis,8646.0,1429.0,9646.0,50474.0,41946.0,,112141.0,
