period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2012-01,monthly,Whole,Statistik Austria,36.0,0.0,0.0,,,0.0,28001.0,
2012-02,monthly,Whole,Statistik Austria,36.0,0.0,0.0,,,0.0,28001.0,
2012-03,monthly,Whole,Statistik Austria,36.0,0.0,0.0,,,0.0,28001.0,
2012-04,monthly,Whole,Statistik Austria,36.0,0.0,0.0,,,0.0,28001.0,
2012-05,monthly,Whole,Statistik Austria,36.0,0.0,0.0,,,0.0,28001.0,
2012-06,monthly,Whole,Statistik Austria,36.0,0.0,0.0,,,0.0,28001.0,
2012-07,monthly,Whole,Statistik Austria,36.0,0.0,0.0,,,0.0,28001.0,
2012-08,monthly,Whole,Statistik Austria,36.0,0.0,0.0,,,0.0,28001.0,
2012-09,monthly,Whole,Statistik Austria,36.0,0.0,0.0,,,0.0,28001.0,
2012-10,monthly,Whole,Statistik Austria,36.0,0.0,0.0,,,0.0,28001.0,
2012-11,monthly,Whole,Statistik Austria,36.0,0.0,0.0,,,0.0,28001.0,
2012-12,monthly,Whole,Statistik Austria,36.0,0.0,0.0,,,0.0,28001.0,
2013-01,monthly,Whole,Statistik Austria,55.0,0.0,0.0,,,0.0,26586.0,
2013-02,monthly,Whole,Statistik Austria,55.0,0.0,0.0,,,0.0,26586.0,
2013-03,monthly,Whole,Statistik Austria,55.0,0.0,0.0,,,0.0,26586.0,
2013-04,monthly,Whole,Statistik Austria,55.0,0.0,0.0,,,0.0,26586.0,
2013-05,monthly,Whole,Statistik Austria,55.0,0.0,0.0,,,0.0,26586.0,
2013-06,monthly,Whole,Statistik Austria,55.0,0.0,0.0,,,0.0,26586.0,
2013-07,monthly,Whole,Statistik Austria,55.0,0.0,0.0,,,0.0,26586.0,
2013-08,monthly,Whole,Statistik Austria,55.0,0.0,0.0,,,0.0,26586.0,
2013-09,monthly,Whole,Statistik Austria,55.0,0.0,0.0,,,0.0,26586.0,
2013-10,monthly,Whole,Statistik Austria,55.0,0.0,0.0,,,0.0,26586.0,
2013-11,monthly,Whole,Statistik Austria,55.0,0.0,0.0,,,0.0,26586.0,
2013-12,monthly,Whole,Statistik Austria,55.0,0.0,0.0,,,0.0,26586.0,
2014-01,monthly,Whole,Statistik Austria,107.0,0.0,0.0,,,0.0,25277.0,
2014-02,monthly,Whole,Statistik Austria,107.0,0.0,0.0,,,0.0,25277.0,
2014-03,monthly,Whole,Statistik Austria,107.0,0.0,0.0,,,0.0,25277.0,
2014-04,monthly,Whole,Statistik Austria,107.0,0.0,0.0,,,0.0,25277.0,
2014-05,monthly,Whole,Statistik Austria,107.0,0.0,0.0,,,0.0,25277.0,
2014-06,monthly,Whole,Statistik Austria,107.0,0.0,0.0,,,0.0,25277.0,
2014-07,monthly,Whole,Statistik Austria,107.0,0.0,0.0,,,0.0,25277.0,
2014-08,monthly,Whole,Statistik Austria,107.0,0.0,0.0,,,0.0,25277.0,
2014-09,monthly,Whole,Statistik Austria,107.0,0.0,0.0,,,0.0,25277.0,
2014-10,monthly,Whole,Statistik Austria,107.0,0.0,0.0,,,0.0,25277.0,
2014-11,monthly,Whole,Statistik Austria,107.0,0.0,0.0,,,0.0,25277.0,
2014-12,monthly,Whole,Statistik Austria,107.0,0.0,0.0,,,0.0,25277.0,
2015-01,monthly,Whole,Statistik Austria,140.0,0.0,0.0,,,0.0,25277.0,
2015-02,monthly,Whole,Statistik Austria,140.0,0.0,0.0,,,0.0,25277.0,
2015-03,monthly,Whole,Statistik Austria,140.0,0.0,0.0,,,0.0,25277.0,
2015-04,monthly,Whole,Statistik Austria,140.0,0.0,0.0,,,0.0,25277.0,
2015-05,monthly,Whole,Statistik Austria,140.0,0.0,0.0,,,0.0,25277.0,
2015-06,monthly,Whole,Statistik Austria,140.0,0.0,0.0,,,0.0,25277.0,
2015-07,monthly,Whole,Statistik Austria,140.0,0.0,0.0,,,0.0,25277.0,
2015-08,monthly,Whole,Statistik Austria,140.0,0.0,0.0,,,0.0,25277.0,
2015-09,monthly,Whole,Statistik Austria,140.0,0.0,0.0,,,0.0,25277.0,
2015-10,monthly,Whole,Statistik Austria,140.0,0.0,0.0,,,0.0,25277.0,
2015-11,monthly,Whole,Statistik Austria,140.0,0.0,0.0,,,0.0,25277.0,
2015-12,monthly,Whole,Statistik Austria,140.0,0.0,0.0,,,0.0,25277.0,
2016-01,monthly,Whole,Statistik Austria,319.0,0.0,0.0,,,0.0,27467.0,
2016-02,monthly,Whole,Statistik Austria,319.0,0.0,0.0,,,0.0,27467.0,
2016-03,monthly,Whole,Statistik Austria,319.0,0.0,0.0,,,0.0,27467.0,
2016-04,monthly,Whole,Statistik Austria,319.0,0.0,0.0,,,0.0,27467.0,
2016-05,monthly,Whole,Statistik Austria,319.0,0.0,0.0,,,0.0,27467.0,
2016-06,monthly,Whole,Statistik Austria,319.0,0.0,0.0,,,0.0,27467.0,
2016-07,monthly,Whole,Statistik Austria,319.0,0.0,0.0,,,0.0,27467.0,
2016-08,monthly,Whole,Statistik Austria,319.0,0.0,0.0,,,0.0,27467.0,
