period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2024,annual,HDV,Statistik Austria,167.0,,0.0,0.0,7769.0,34.0,7970.0,
2025-01,monthly,HDV,Statistik Austria,21.0,,0.0,0.0,586.0,2.0,609.0,
2025-02,monthly,HDV,Statistik Austria,11.0,,0.0,0.0,513.0,0.0,524.0,
2025-03,monthly,HDV,Statistik Austria,18.0,,0.0,0.0,651.0,0.0,669.0,
2025-04,monthly,HDV,Statistik Austria,27.0,,0.0,0.0,520.0,1.0,548.0,
2025-05,monthly,HDV,Statistik Austria,16.0,,0.0,0.0,561.0,0.0,577.0,
2025-06,monthly,HDV,Statistik Austria,24.0,,0.0,0.0,685.0,0.0,709.0,
2025-07,monthly,HDV,Statistik Austria,34.0,,0.0,0.0,552.0,0.0,586.0,
2025-08,monthly,HDV,Statistik Austria,35.0,,0.0,0.0,403.0,0.0,438.0,
2025-09,monthly,HDV,Statistik Austria,28.0,,0.0,0.0,589.0,5.0,622.0,
2025-10,monthly,HDV,Statistik Austria,48.0,,0.0,1.0,540.0,5.0,594.0,
2025-11,monthly,HDV,Statistik Austria,81.0,,0.0,0.0,467.0,0.0,548.0,
2025-12,monthly,HDV,Statistik Austria,62.0,,0.0,0.0,368.0,0.0,430.0,
2026-01,monthly,HDV,Statistik Austria,40.0,,0.0,0.0,380.0,0.0,420.0,
2026-02,monthly,HDV,Statistik Austria,52.0,,0.0,0.0,536.0,0.0,588.0,
2026-03,monthly,HDV,Statistik Austria,72.0,,0.0,0.0,744.0,0.0,816.0,
2026-04,monthly,HDV,Statistik Austria,47.0,,0.0,0.0,576.0,0.0,623.0,
2026-05,monthly,HDV,Statistik Austria,50.0,,0.0,0.0,491.0,0.0,541.0,
