period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2019-01,monthly,Used,Statistik Austria,369.0,104.0,370.0,23843.0,41528.0,78.0,66292.0,
2019-02,monthly,Used,Statistik Austria,228.0,108.0,401.0,23867.0,40048.0,71.0,64723.0,
2019-03,monthly,Used,Statistik Austria,290.0,122.0,517.0,28669.0,45997.0,65.0,75660.0,
2019-04,monthly,Used,Statistik Austria,335.0,123.0,580.0,31900.0,47809.0,48.0,80795.0,
2019-05,monthly,Used,Statistik Austria,328.0,121.0,559.0,30650.0,47698.0,66.0,79422.0,
2019-06,monthly,Used,Statistik Austria,284.0,100.0,462.0,26745.0,41272.0,63.0,68926.0,
2019-07,monthly,Used,Statistik Austria,376.0,142.0,694.0,32581.0,51548.0,69.0,85410.0,
2019-08,monthly,Used,Statistik Austria,328.0,121.0,623.0,28721.0,42233.0,65.0,72091.0,
2019-09,monthly,Used,Statistik Austria,361.0,105.0,677.0,28125.0,42833.0,69.0,72170.0,
2019-10,monthly,Used,Statistik Austria,491.0,150.0,728.0,30517.0,47158.0,74.0,79118.0,
2019-11,monthly,Used,Statistik Austria,379.0,114.0,667.0,24847.0,40013.0,64.0,66084.0,
2019-12,monthly,Used,Statistik Austria,338.0,124.0,647.0,21791.0,38393.0,59.0,61352.0,
2020-01,monthly,Used,Statistik Austria,375.0,139.0,726.0,24997.0,42421.0,60.0,68718.0,
2020-02,monthly,Used,Statistik Austria,336.0,157.0,721.0,23778.0,39761.0,51.0,64804.0,
2020-03,monthly,Used,Statistik Austria,232.0,100.0,491.0,14387.0,23569.0,48.0,38827.0,
2020-04,monthly,Used,Statistik Austria,290.0,119.0,567.0,19467.0,28702.0,38.0,49183.0,
2020-05,monthly,Used,Statistik Austria,436.0,221.0,958.0,31339.0,43826.0,76.0,76856.0,
2020-06,monthly,Used,Statistik Austria,484.0,241.0,1213.0,34508.0,50872.0,74.0,87392.0,
2020-07,monthly,Used,Statistik Austria,598.0,286.0,1287.0,36084.0,54623.0,67.0,92945.0,
2020-08,monthly,Used,Statistik Austria,499.0,246.0,1051.0,29721.0,44992.0,69.0,76578.0,
2020-09,monthly,Used,Statistik Austria,641.0,285.0,1280.0,31772.0,49192.0,78.0,83248.0,
2020-10,monthly,Used,Statistik Austria,677.0,302.0,1258.0,28992.0,46207.0,59.0,77495.0,
2020-11,monthly,Used,Statistik Austria,621.0,270.0,1013.0,22533.0,37184.0,59.0,61680.0,
2020-12,monthly,Used,Statistik Austria,747.0,309.0,1078.0,22045.0,39230.0,61.0,63470.0,
2021-01,monthly,Used,Statistik Austria,539.0,293.0,893.0,18952.0,34614.0,59.0,55350.0,
2021-02,monthly,Used,Statistik Austria,770.0,405.0,1334.0,24639.0,41600.0,56.0,68804.0,
2021-03,monthly,Used,Statistik Austria,1011.0,578.0,2076.0,33958.0,52296.0,60.0,89979.0,
2021-04,monthly,Used,Statistik Austria,809.0,510.0,1818.0,30081.0,44617.0,44.0,77879.0,
2021-05,monthly,Used,Statistik Austria,842.0,575.0,1942.0,30227.0,44828.0,53.0,78467.0,
2021-06,monthly,Used,Statistik Austria,1007.0,629.0,2113.0,30648.0,46762.0,76.0,81235.0,
2021-07,monthly,Used,Statistik Austria,943.0,644.0,2285.0,30101.0,47315.0,69.0,81357.0,
2021-08,monthly,Used,Statistik Austria,1024.0,617.0,2134.0,27290.0,40214.0,86.0,71365.0,
2021-09,monthly,Used,Statistik Austria,1296.0,755.0,2444.0,27804.0,42483.0,65.0,74847.0,
2021-10,monthly,Used,Statistik Austria,1403.0,744.0,2276.0,25206.0,39462.0,63.0,69154.0,
2021-11,monthly,Used,Statistik Austria,1367.0,671.0,2085.0,22789.0,36662.0,52.0,63626.0,
2021-12,monthly,Used,Statistik Austria,1294.0,572.0,1939.0,20337.0,34815.0,45.0,59002.0,
2022-01,monthly,Used,Statistik Austria,1156.0,608.0,2097.0,22511.0,35999.0,40.0,62411.0,
2022-02,monthly,Used,Statistik Austria,1301.0,649.0,2350.0,24258.0,37364.0,55.0,65977.0,
2022-03,monthly,Used,Statistik Austria,2111.0,782.0,2494.0,26603.0,39145.0,55.0,71190.0,
2022-04,monthly,Used,Statistik Austria,1792.0,749.0,2328.0,25313.0,34947.0,56.0,65185.0,
2022-05,monthly,Used,Statistik Austria,1334.0,749.0,2271.0,25883.0,35457.0,53.0,65747.0,
2022-06,monthly,Used,Statistik Austria,1422.0,675.0,2213.0,24108.0,34287.0,44.0,62749.0,
2022-07,monthly,Used,Statistik Austria,1436.0,705.0,2137.0,23775.0,34180.0,42.0,62275.0,
2022-08,monthly,Used,Statistik Austria,1311.0,643.0,2143.0,24167.0,31792.0,38.0,60094.0,
2022-09,monthly,Used,Statistik Austria,1341.0,693.0,2329.0,25221.0,34374.0,60.0,64018.0,
2022-10,monthly,Used,Statistik Austria,1142.0,583.0,2097.0,22820.0,31573.0,50.0,58265.0,
2022-11,monthly,Used,Statistik Austria,1202.0,645.0,2201.0,22436.0,32055.0,41.0,58580.0,
2022-12,monthly,Used,Statistik Austria,1238.0,679.0,2105.0,19490.0,30962.0,46.0,54520.0,
2023-01,monthly,Used,Statistik Austria,1182.0,668.0,2168.0,20985.0,32096.0,53.0,57152.0,
2023-02,monthly,Used,Statistik Austria,1186.0,694.0,2317.0,19852.0,31002.0,44.0,55095.0,
2023-03,monthly,Used,Statistik Austria,1576.0,864.0,3147.0,27100.0,39523.0,66.0,72276.0,
2023-04,monthly,Used,Statistik Austria,1235.0,774.0,2751.0,23408.0,32790.0,50.0,61008.0,
2023-05,monthly,Used,Statistik Austria,1469.0,845.0,2915.0,25438.0,35598.0,47.0,66312.0,
2023-06,monthly,Used,Statistik Austria,1545.0,946.0,3167.0,25801.0,37197.0,68.0,68724.0,
2023-07,monthly,Used,Statistik Austria,1617.0,929.0,3005.0,25043.0,36071.0,51.0,66716.0,
2023-08,monthly,Used,Statistik Austria,1681.0,959.0,2951.0,24601.0,33148.0,64.0,63404.0,
2023-09,monthly,Used,Statistik Austria,1890.0,1022.0,3033.0,24569.0,33651.0,61.0,64226.0,
2023-10,monthly,Used,Statistik Austria,2134.0,1138.0,3209.0,25006.0,34721.0,56.0,66264.0,
2023-11,monthly,Used,Statistik Austria,1976.0,1143.0,3235.0,22910.0,32936.0,44.0,62244.0,
2023-12,monthly,Used,Statistik Austria,1845.0,1019.0,2831.0,18840.0,29985.0,40.0,54560.0,
2024-01,monthly,Used,Statistik Austria,1962.0,1212.0,3440.0,22557.0,33981.0,56.0,63208.0,
2024-02,monthly,Used,Statistik Austria,2138.0,1294.0,3929.0,23679.0,34653.0,69.0,65762.0,
2024-03,monthly,Used,Statistik Austria,2276.0,1431.0,4746.0,26759.0,37048.0,53.0,72313.0,
2024-04,monthly,Used,Statistik Austria,2403.0,1505.0,4752.0,27729.0,37133.0,48.0,73570.0,
2024-05,monthly,Used,Statistik Austria,2232.0,1410.0,4269.0,26139.0,35456.0,43.0,69549.0,
2024-06,monthly,Used,Statistik Austria,2285.0,1480.0,4304.0,24561.0,33891.0,50.0,66571.0,
2024-07,monthly,Used,Statistik Austria,2670.0,1632.0,4863.0,28641.0,38923.0,55.0,76784.0,
2024-08,monthly,Used,Statistik Austria,2389.0,1520.0,4306.0,25077.0,31830.0,36.0,65158.0,
2024-09,monthly,Used,Statistik Austria,2509.0,1542.0,4290.0,25577.0,33833.0,48.0,67799.0,
