period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2024,annual,Vans,Statistik Austria,2928.0,,203.0,2038.0,27912.0,7.0,33088.0,
2025-01,monthly,Vans,Statistik Austria,482.0,,24.0,75.0,1723.0,2.0,2306.0,
2025-02,monthly,Vans,Statistik Austria,223.0,,53.0,83.0,1991.0,1.0,2351.0,
2025-03,monthly,Vans,Statistik Austria,484.0,,72.0,55.0,1960.0,3.0,2574.0,
2025-04,monthly,Vans,Statistik Austria,224.0,,41.0,64.0,1410.0,0.0,1739.0,
2025-05,monthly,Vans,Statistik Austria,400.0,,26.0,58.0,1269.0,4.0,1757.0,
2025-06,monthly,Vans,Statistik Austria,534.0,,43.0,70.0,1402.0,0.0,2049.0,
2025-07,monthly,Vans,Statistik Austria,303.0,,110.0,65.0,4360.0,5.0,4843.0,
2025-08,monthly,Vans,Statistik Austria,247.0,,117.0,62.0,2463.0,0.0,2889.0,
2025-09,monthly,Vans,Statistik Austria,426.0,,91.0,80.0,3003.0,0.0,3600.0,
2025-10,monthly,Vans,Statistik Austria,456.0,,82.0,94.0,2746.0,0.0,3378.0,
2025-11,monthly,Vans,Statistik Austria,387.0,,73.0,65.0,2287.0,0.0,2812.0,
2025-12,monthly,Vans,Statistik Austria,518.0,,121.0,101.0,2410.0,2.0,3152.0,
2026-01,monthly,Vans,Statistik Austria,315.0,,84.0,52.0,2009.0,2.0,2462.0,
2026-02,monthly,Vans,Statistik Austria,383.0,,96.0,58.0,2610.0,0.0,3147.0,
2026-03,monthly,Vans,Statistik Austria,413.0,,132.0,70.0,2715.0,1.0,3331.0,
2026-04,monthly,Vans,Statistik Austria,376.0,,103.0,87.0,2448.0,1.0,3015.0,
