period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2018-01,quarterly,Whole,ACEA,304.0,1022.0,1497.0,31235.0,20749.0,377.0,55185.0,
2018-02,quarterly,Whole,ACEA,304.0,1022.0,1497.0,31235.0,20749.0,377.0,55185.0,
2018-03,quarterly,Whole,ACEA,304.0,1022.0,1497.0,31235.0,20749.0,377.0,55185.0,
2018-04,quarterly,Whole,ACEA,263.0,966.0,1373.0,32882.0,19166.0,618.0,55270.0,
2018-05,quarterly,Whole,ACEA,263.0,966.0,1373.0,32882.0,19166.0,618.0,55270.0,
2018-06,quarterly,Whole,ACEA,263.0,966.0,1373.0,32882.0,19166.0,618.0,55270.0,
2018-07,quarterly,Whole,ACEA,236.0,709.0,1058.0,24161.0,15001.0,284.0,41451.0,
2018-08,quarterly,Whole,ACEA,236.0,709.0,1058.0,24161.0,15001.0,284.0,41451.0,
2018-09,quarterly,Whole,ACEA,236.0,709.0,1058.0,24161.0,15001.0,284.0,41451.0,
2018-10,quarterly,Whole,ACEA,411.0,537.0,1125.0,18995.0,10107.0,127.0,31303.0,
2018-11,quarterly,Whole,ACEA,411.0,537.0,1125.0,18995.0,10107.0,127.0,31303.0,
2018-12,quarterly,Whole,ACEA,411.0,537.0,1125.0,18995.0,10107.0,127.0,31303.0,
2019-01,quarterly,Whole,ACEA,732.0,707.0,1764.0,33160.0,15382.0,209.0,51955.0,
2019-02,quarterly,Whole,ACEA,732.0,707.0,1764.0,33160.0,15382.0,209.0,51955.0,
2019-03,quarterly,Whole,ACEA,732.0,707.0,1764.0,33160.0,15382.0,209.0,51955.0,
2019-04,quarterly,Whole,ACEA,801.0,684.0,1336.0,31678.0,16548.0,492.0,51541.0,
2019-05,quarterly,Whole,ACEA,801.0,684.0,1336.0,31678.0,16548.0,492.0,51541.0,
2019-06,quarterly,Whole,ACEA,801.0,684.0,1336.0,31678.0,16548.0,492.0,51541.0,
2019-07,quarterly,Whole,ACEA,712.0,580.0,1424.0,26200.0,13699.0,303.0,42920.0,
2019-08,quarterly,Whole,ACEA,712.0,580.0,1424.0,26200.0,13699.0,303.0,42920.0,
2019-09,quarterly,Whole,ACEA,712.0,580.0,1424.0,26200.0,13699.0,303.0,42920.0,
2019-10,quarterly,Whole,ACEA,699.0,1083.0,1206.0,21810.0,11891.0,226.0,36918.0,
2019-11,quarterly,Whole,ACEA,699.0,1083.0,1206.0,21810.0,11891.0,226.0,36918.0,
2019-12,quarterly,Whole,ACEA,699.0,1083.0,1206.0,21810.0,11891.0,226.0,36918.0,
2020-01,quarterly,Whole,ACEA,961.0,1602.0,1998.0,24129.0,13507.0,273.0,42472.0,
2020-02,quarterly,Whole,ACEA,961.0,1602.0,1998.0,24129.0,13507.0,273.0,42472.0,
2020-03,quarterly,Whole,ACEA,961.0,1602.0,1998.0,24129.0,13507.0,273.0,42472.0,
2020-04,quarterly,Whole,ACEA,680.0,1437.0,975.0,16692.0,9659.0,284.0,29729.0,
2020-05,quarterly,Whole,ACEA,680.0,1437.0,975.0,16692.0,9659.0,284.0,29729.0,
2020-06,quarterly,Whole,ACEA,680.0,1437.0,975.0,16692.0,9659.0,284.0,29729.0,
2020-07,quarterly,Whole,ACEA,1461.0,2683.0,1292.0,20023.0,13117.0,422.0,39000.0,
2020-08,quarterly,Whole,ACEA,1461.0,2683.0,1292.0,20023.0,13117.0,422.0,39000.0,
2020-09,quarterly,Whole,ACEA,1461.0,2683.0,1292.0,20023.0,13117.0,422.0,39000.0,
2020-10,quarterly,Whole,ACEA,1894.0,4724.0,1010.0,13654.0,11036.0,307.0,32628.0,
2020-11,quarterly,Whole,ACEA,1894.0,4724.0,1010.0,13654.0,11036.0,307.0,32628.0,
