period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2021-07,yearly,Vans,ACEA,,,,,,,71564.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2022-07,yearly,Vans,ACEA,,,,,,,56102.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2023-02,quarterly,Vans,ACEA,604.0,,8.0,1238.0,16015.0,31.0,17896.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2024.pdf
2022-02,quarterly,Vans,ACEA,294.0,,18.0,972.0,13822.0,12.0,15118.0,https://www.acea.auto/files/20230407_PRCV_Q1-2023_FINAL.pdf
2023-05,quarterly,Vans,ACEA,780.0,,18.0,1245.0,16387.0,27.0,18457.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_H1-2024.pdf
2022-05,quarterly,Vans,ACEA,298.0,,14.0,855.0,13251.0,26.0,14444.0,https://www.acea.auto/files/20230727_PRCV_Q1-Q2_2023.pdf
2024-02,quarterly,Vans,ACEA,597.0,,13.0,1449.0,16115.0,37.0,18211.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2024.pdf
2024-05,quarterly,Vans,ACEA,559.0,,14.0,1594.0,15562.0,36.0,17765.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q2_2025.pdf
2024-08,quarterly,Vans,ACEA,483.0,,11.0,1134.0,12240.0,11.0,13879.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q3-2025.pdf
2023-08,quarterly,Vans,ACEA,601.0,,19.0,933.0,14373.0,17.0,15943.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q3_2024.pdf
2022-08,quarterly,Vans,ACEA,673.0,,7.0,700.0,11547.0,41.0,12968.0,https://www.acea.auto/files/Press_release_commercial_vehicles_Q1-Q3_2023.pdf
2023-11,quarterly,Vans,ACEA,1085.0,,12.0,938.0,13191.0,27.0,15253.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2023.pdf
2022-11,quarterly,Vans,ACEA,613.0,,16.0,785.0,12132.0,26.0,13572.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2023.pdf
2025-02,quarterly,Vans,ACEA,1136.0,,59.0,1252.0,17794.0,6.0,20247.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2026.pdf
2025-05,quarterly,Vans,ACEA,1236.0,,154.0,1209.0,16535.0,12.0,19146.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q2_2025.pdf
2025-08,quarterly,Vans,ACEA,1325.0,,352.0,850.0,14228.0,5.0,16760.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q3-2025.pdf
2025-11,quarterly,Vans,ACEA,1155.0,,327.0,525.0,12622.0,16.0,14645.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_fulll_year_2025.pdf
2024-11,quarterly,Vans,ACEA,1006.0,,44.0,1157.0,13708.0,10.0,15925.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_fulll_year_2025.pdf
2026-02,quarterly,Vans,ACEA,1755.0,,40.0,984.0,16090.0,1.0,18870.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2026.pdf
