period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,FLEXFUEL,OTHERS,TOTAL,notes
2012-01,monthly,Whole,ANFAVEA,0.6370529281764102,0.0,9.0,24554.0,16687.0,211422.0,0.0,252672.6371,
2012-02,monthly,Whole,https://anfavea.com.br/en/site/edicoes-em-excel/,1.1325385592904238,0.0,16.0,21040.0,11819.0,202970.0,0.0,235846.1325,
2012-03,monthly,Whole,ANFAVEA,0.495485633043855,0.0,7.0,26766.0,13138.0,243878.0,0.0,283789.4955,
2012-04,monthly,Whole,ANFAVEA,0.21235098459537144,0.0,3.0,23948.0,11035.0,209603.0,0.0,244589.2124,
2012-05,monthly,Whole,ANFAVEA,0.9201875868614914,0.0,13.0,25007.0,15660.0,233619.0,0.0,274299.9202,
2012-06,monthly,Whole,ANFAVEA,1.6280241151972312,0.0,23.0,23218.0,16177.0,301201.0,0.0,340620.628,
2012-07,monthly,Whole,ANFAVEA,0.35391824612089684,0.0,5.0,23876.0,17932.0,309415.0,0.0,351228.3539,
2012-08,monthly,Whole,ANFAVEA,0.21235093563019322,0.0,3.0,27034.0,20134.0,358307.0,0.0,405478.2124,
2012-09,monthly,Whole,ANFAVEA,0.1415672887214694,0.0,2.0,20789.0,16550.0,240344.0,0.0,277685.1416,
2012-10,monthly,Whole,ANFAVEA,0.14156728957444195,0.0,2.0,20689.0,19455.0,286885.0,0.0,327031.1416,
2012-11,monthly,Whole,ANFAVEA,1.274105688161851,0.0,18.0,18277.0,17404.0,261382.0,0.0,297082.2741,
2012-12,monthly,Whole,ANFAVEA,1.1325384997424575,0.0,16.0,18717.0,21286.0,303848.0,0.0,343868.1325,
2013-01,monthly,Whole,ANFAVEA,3.1852649520592884,0.0,45.0,16470.0,18174.0,262500.0,0.0,297192.1853,
2013-02,monthly,Whole,ANFAVEA,1.5572407132400403,0.0,22.0,12085.0,13841.0,196783.0,0.0,222732.5572,
2013-03,monthly,Whole,ANFAVEA,3.7515343820938774,0.0,53.0,12900.0,16838.0,238798.0,0.0,268592.7515,
2013-04,monthly,Whole,ANFAVEA,3.5391830086079628,0.0,50.0,16832.0,19084.0,281017.0,0.0,316986.5392,
2013-05,monthly,Whole,ANFAVEA,0.8494036733298519,0.0,12.0,15520.0,18490.0,266921.0,0.0,300943.8494,
2013-06,monthly,Whole,ANFAVEA,2.052725218617171,0.0,29.0,14782.0,18830.0,269444.0,0.0,303087.0527,
2013-07,monthly,Whole,ANFAVEA,4.600935154286253,0.0,65.0,16426.0,19968.0,287838.0,0.0,324301.6009,
2013-08,monthly,Whole,ANFAVEA,3.1852627619784557,0.0,45.0,16033.0,18758.0,278169.0,0.0,313008.1853,
2013-09,monthly,Whole,ANFAVEA,1.6280235153875346,0.0,23.0,15145.0,18750.0,260499.0,0.0,294418.628,
2013-10,monthly,Whole,ANFAVEA,2.7605623087664064,0.0,39.0,17795.0,20172.0,275871.0,0.0,313879.7606,
2013-11,monthly,Whole,ANFAVEA,3.680751665279305,0.0,52.0,16755.0,17799.0,253941.0,0.0,288550.6808,
2013-12,monthly,Whole,ANFAVEA,3.9638878572005067,0.0,56.0,18366.0,20478.0,297333.0,0.0,336236.9639,
2014-01,monthly,Whole,ANFAVEA,6.582885500322785,0.0,93.0,17064.0,17378.0,265570.0,0.0,300111.5829,
2014-02,monthly,Whole,ANFAVEA,4.31780551107276,0.0,61.0,14891.0,15042.0,216144.0,0.0,246142.3178,
2014-03,monthly,Whole,ANFAVEA,4.600937701290393,0.0,65.0,13144.0,14774.0,201145.0,0.0,229132.6009,
2014-04,monthly,Whole,ANFAVEA,3.7515296145590136,0.0,53.0,16010.0,18105.0,245955.0,0.0,280126.7515,
2014-05,monthly,Whole,ANFAVEA,6.65364981604358,0.0,94.0,15875.0,18542.0,243898.0,0.0,278415.6536,
2014-06,monthly,Whole,ANFAVEA,3.6807410970814685,0.0,52.0,13864.0,15612.0,221487.0,0.0,251018.6807,
