period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2018-01,monthly,Whole,ACEA,16.0,2.0,112.0,1515.0,1603.0,0.0,3249.0,
2018-02,monthly,Whole,ACEA,16.0,2.0,112.0,1515.0,1603.0,0.0,3249.0,
2018-03,monthly,Whole,ACEA,16.0,2.0,112.0,1515.0,1603.0,0.0,3249.0,
2018-04,monthly,Whole,ACEA,5.0,2.0,124.0,1848.0,1797.0,0.0,3778.0,
2018-05,monthly,Whole,ACEA,5.0,2.0,124.0,1848.0,1797.0,0.0,3778.0,
2018-06,monthly,Whole,ACEA,5.0,2.0,124.0,1848.0,1797.0,0.0,3778.0,
2018-07,monthly,Whole,ACEA,15.0,2.0,131.0,1677.0,1775.0,80.0,3683.0,
2018-08,monthly,Whole,ACEA,15.0,2.0,131.0,1677.0,1775.0,80.0,3683.0,
2018-09,monthly,Whole,ACEA,15.0,2.0,131.0,1677.0,1775.0,80.0,3683.0,
2018-10,monthly,Whole,ACEA,28.0,1.0,165.0,1224.0,1392.0,16.0,2828.0,
2018-11,monthly,Whole,ACEA,28.0,1.0,165.0,1224.0,1392.0,16.0,2828.0,
2018-12,monthly,Whole,ACEA,28.0,1.0,165.0,1224.0,1392.0,16.0,2828.0,
2019-01,monthly,Whole,ACEA,31.0,6.0,124.0,1744.0,1312.0,58.0,3275.0,
2019-02,monthly,Whole,ACEA,31.0,6.0,124.0,1744.0,1312.0,58.0,3275.0,
2019-03,monthly,Whole,ACEA,31.0,6.0,124.0,1744.0,1312.0,58.0,3275.0,
2019-04,monthly,Whole,ACEA,15.0,2.0,173.0,2006.0,1330.0,267.0,3796.0,
2019-05,monthly,Whole,ACEA,15.0,2.0,173.0,2006.0,1330.0,267.0,3796.0,
2019-06,monthly,Whole,ACEA,15.0,2.0,173.0,2006.0,1330.0,267.0,3796.0,
2019-07,monthly,Whole,ACEA,13.0,4.0,159.0,1575.0,1342.0,274.0,3369.0,
2019-08,monthly,Whole,ACEA,13.0,4.0,159.0,1575.0,1342.0,274.0,3369.0,
2019-09,monthly,Whole,ACEA,13.0,4.0,159.0,1575.0,1342.0,274.0,3369.0,
2019-10,monthly,Whole,ACEA,0.0,5.0,201.0,1748.0,1249.0,139.0,3345.0,
2019-11,monthly,Whole,ACEA,0.0,5.0,201.0,1748.0,1249.0,139.0,3345.0,
2019-12,monthly,Whole,ACEA,0.0,5.0,201.0,1748.0,1249.0,139.0,3345.0,
2020-01,monthly,Whole,ACEA,49.0,21.0,167.0,954.3333333,779.6666667,28.66666667,1999.666667,
2020-02,monthly,Whole,ACEA,49.0,21.0,167.0,954.3333333,779.6666667,28.66666667,1999.666667,
2020-03,monthly,Whole,ACEA,49.0,21.0,167.0,954.3333333,779.6666667,28.66666667,1999.666667,
