period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2017-02,quarterly,Non-Passenger,150.statcan.gc.ca,531.0,268.0,1944.0,277531.0,14017.0,0.0,294291.0,
2017-05,quarterly,Non-Passenger,150.statcan.gc.ca,544.0,563.0,3008.0,388362.0,17226.0,0.0,409703.0,
2017-08,quarterly,Non-Passenger,150.statcan.gc.ca,645.0,432.0,3095.0,356278.0,17576.0,1.0,378027.0,
2017-11,quarterly,Non-Passenger,150.statcan.gc.ca,706.0,627.0,2554.0,306407.0,15367.0,4.0,325665.0,
2018-02,quarterly,Non-Passenger,150.statcan.gc.ca,551.0,1394.0,2336.0,273916.0,14355.0,70.0,292622.0,
2018-05,quarterly,Non-Passenger,150.statcan.gc.ca,793.0,2508.0,3745.0,390937.0,21285.0,79.0,419347.0,
2018-08,quarterly,Non-Passenger,150.statcan.gc.ca,792.0,2502.0,3571.0,357632.0,19165.0,69.0,383731.0,
2018-11,quarterly,Non-Passenger,150.statcan.gc.ca,532.0,1493.0,3424.0,286002.0,14236.0,35.0,305722.0,
2019-02,quarterly,Non-Passenger,150.statcan.gc.ca,1752.0,1047.0,2128.0,279828.0,13070.0,45.0,297870.0,
2019-05,quarterly,Non-Passenger,150.statcan.gc.ca,1971.0,2479.0,7078.0,384765.0,15951.0,46.0,412290.0,
2019-08,quarterly,Non-Passenger,150.statcan.gc.ca,1864.0,1882.0,5320.0,370785.0,16743.0,23.0,396617.0,
2019-11,quarterly,Non-Passenger,150.statcan.gc.ca,1930.0,1497.0,4949.0,305239.0,12961.0,21.0,326597.0,
2020-02,quarterly,Non-Passenger,150.statcan.gc.ca,1676.0,1340.0,4548.0,243126.0,13370.0,10.0,264070.0,
2020-05,quarterly,Non-Passenger,150.statcan.gc.ca,1539.0,1214.0,3908.0,218769.0,13095.0,11.0,238536.0,
2020-08,quarterly,Non-Passenger,150.statcan.gc.ca,5415.0,2189.0,11015.0,362856.0,19399.0,7.0,400881.0,
2020-11,quarterly,Non-Passenger,150.statcan.gc.ca,4922.0,2060.0,10356.0,285786.0,18828.0,11.0,321963.0,
2021-02,quarterly,Non-Passenger,150.statcan.gc.ca,6852.0,3242.0,11149.0,273048.0,18092.0,4.0,312387.0,
2021-05,quarterly,Non-Passenger,150.statcan.gc.ca,8412.0,5455.0,20585.0,329992.0,20042.0,0.0,384486.0,
2021-08,quarterly,Non-Passenger,150.statcan.gc.ca,7846.0,5184.0,18091.0,304460.0,14412.0,0.0,349993.0,
2021-11,quarterly,Non-Passenger,150.statcan.gc.ca,7793.0,5252.0,12141.0,237346.0,13296.0,0.0,275828.0,
2022-02,quarterly,Non-Passenger,150.statcan.gc.ca,10309.0,5391.0,10806.0,239758.0,15985.0,0.0,282249.0,
2022-05,quarterly,Non-Passenger,150.statcan.gc.ca,13333.0,6839.0,22300.0,288205.0,23045.0,1.0,353723.0,
2022-08,quarterly,Non-Passenger,150.statcan.gc.ca,15579.0,3931.0,17867.0,260628.0,19681.0,0.0,317686.0,
2022-11,quarterly,Non-Passenger,150.statcan.gc.ca,18847.0,4922.0,14444.0,235892.0,16536.0,0.0,290641.0,
2023-02,quarterly,Non-Passenger,150.statcan.gc.ca,15911.0,6538.0,18973.0,244838.0,16567.0,0.0,302827.0,
2023-05,quarterly,Non-Passenger,150.statcan.gc.ca,27498.0,11332.0,32367.0,307107.0,19766.0,0.0,398070.0,
2023-08,quarterly,Non-Passenger,150.statcan.gc.ca,33519.0,12227.0,32042.0,290475.0,18106.0,0.0,386369.0,
2023-11,quarterly,Non-Passenger,150.statcan.gc.ca,31860.0,11687.0,29553.0,276369.0,19589.0,0.0,369058.0,
2024-02,quarterly,Non-Passenger,150.statcan.gc.ca,30070.0,10957.0,29883.0,269373.0,17980.0,0.0,358263.0,
2024-05,quarterly,Non-Passenger,150.statcan.gc.ca,39706.0,16396.0,35781.0,324565.0,20922.0,0.0,437370.0,
2024-08,quarterly,Non-Passenger,150.statcan.gc.ca,46923.0,17723.0,37604.0,294026.0,21866.0,0.0,418142.0,
2024-11,quarterly,Non-Passenger,150.statcan.gc.ca,54167.0,17647.0,37127.0,259243.0,18980.0,0.0,387164.0,
2025-02,quarterly,Non-Passenger,150.statcan.gc.ca,23243.0,9673.0,43665.0,276008.0,23637.0,0.0,376226.0,
2025-05,quarterly,Non-Passenger,150.statcan.gc.ca,25855.0,14366.0,52296.0,350362.0,24234.0,0.0,467113.0,
2025-08,quarterly,Non-Passenger,150.statcan.gc.ca,25019.0,15042.0,46436.0,314134.0,21455.0,0.0,422086.0,
2025-11,quarterly,Non-Passenger,150.statcan.gc.ca,27326.0,13274.0,41020.0,266817.0,17918.0,0.0,366355.0,
