period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2017-02,quarterly,Pickups,150.statcan.gc.ca,0.0,0.0,0.0,78413.0,11381.0,0.0,89794.0,
2017-05,quarterly,Pickups,150.statcan.gc.ca,0.0,0.0,0.0,111957.0,14509.0,0.0,126466.0,
2017-08,quarterly,Pickups,150.statcan.gc.ca,0.0,0.0,0.0,98923.0,14972.0,1.0,113896.0,
2017-11,quarterly,Pickups,150.statcan.gc.ca,0.0,0.0,0.0,76770.0,12776.0,0.0,89546.0,
2018-02,quarterly,Pickups,150.statcan.gc.ca,0.0,0.0,0.0,68706.0,11830.0,0.0,80536.0,
2018-05,quarterly,Pickups,150.statcan.gc.ca,0.0,0.0,0.0,101523.0,17504.0,0.0,119027.0,
2018-08,quarterly,Pickups,150.statcan.gc.ca,0.0,0.0,0.0,92908.0,15613.0,0.0,108521.0,
2018-11,quarterly,Pickups,150.statcan.gc.ca,0.0,0.0,0.0,69184.0,11741.0,0.0,80925.0,
2019-02,quarterly,Pickups,150.statcan.gc.ca,0.0,0.0,0.0,69674.0,11075.0,0.0,80749.0,
2019-05,quarterly,Pickups,150.statcan.gc.ca,0.0,0.0,0.0,102655.0,13489.0,0.0,116144.0,
2019-08,quarterly,Pickups,150.statcan.gc.ca,0.0,0.0,0.0,99886.0,14592.0,0.0,114478.0,
2019-11,quarterly,Pickups,150.statcan.gc.ca,0.0,0.0,0.0,75264.0,11301.0,0.0,86565.0,
2020-02,quarterly,Pickups,150.statcan.gc.ca,0.0,0.0,0.0,68484.0,12037.0,0.0,80521.0,
2020-05,quarterly,Pickups,150.statcan.gc.ca,0.0,0.0,0.0,67726.0,11911.0,0.0,79637.0,
2020-08,quarterly,Pickups,150.statcan.gc.ca,0.0,0.0,0.0,98973.0,17480.0,0.0,116453.0,
2020-11,quarterly,Pickups,150.statcan.gc.ca,0.0,0.0,12.0,68857.0,17082.0,0.0,85951.0,
2021-02,quarterly,Pickups,150.statcan.gc.ca,0.0,0.0,1100.0,73221.0,16157.0,0.0,90478.0,
2021-05,quarterly,Pickups,150.statcan.gc.ca,0.0,1.0,1474.0,73024.0,18217.0,0.0,92716.0,
2021-08,quarterly,Pickups,150.statcan.gc.ca,0.0,0.0,1898.0,64484.0,11984.0,0.0,78366.0,
2021-11,quarterly,Pickups,150.statcan.gc.ca,0.0,0.0,1985.0,64048.0,11544.0,0.0,77577.0,
2022-02,quarterly,Pickups,150.statcan.gc.ca,1.0,0.0,1492.0,60771.0,13489.0,0.0,75753.0,
2022-05,quarterly,Pickups,150.statcan.gc.ca,155.0,0.0,4140.0,72767.0,21018.0,0.0,98080.0,
2022-08,quarterly,Pickups,150.statcan.gc.ca,1260.0,0.0,3529.0,68265.0,17962.0,0.0,91016.0,
2022-11,quarterly,Pickups,150.statcan.gc.ca,1030.0,0.0,2920.0,64323.0,15070.0,0.0,83343.0,
2023-02,quarterly,Pickups,150.statcan.gc.ca,1400.0,0.0,3017.0,68178.0,14486.0,0.0,87081.0,
2023-05,quarterly,Pickups,150.statcan.gc.ca,1273.0,1.0,3562.0,77296.0,17068.0,0.0,99200.0,
2023-08,quarterly,Pickups,150.statcan.gc.ca,2025.0,1.0,2990.0,75474.0,15507.0,0.0,95997.0,
2023-11,quarterly,Pickups,150.statcan.gc.ca,2051.0,0.0,2490.0,67217.0,16787.0,0.0,88545.0,
2024-02,quarterly,Pickups,150.statcan.gc.ca,1628.0,0.0,3025.0,59610.0,15699.0,0.0,79962.0,
2024-05,quarterly,Pickups,150.statcan.gc.ca,2716.0,0.0,5216.0,76500.0,18472.0,0.0,102904.0,
2024-08,quarterly,Pickups,150.statcan.gc.ca,4328.0,0.0,5741.0,68399.0,19065.0,0.0,97533.0,
2024-11,quarterly,Pickups,150.statcan.gc.ca,5516.0,0.0,4128.0,58970.0,16854.0,0.0,85468.0,
2025-02,quarterly,Pickups,150.statcan.gc.ca,3052.0,1.0,5305.0,57638.0,21829.0,0.0,87825.0,
2025-05,quarterly,Pickups,150.statcan.gc.ca,3526.0,0.0,7608.0,72244.0,22174.0,0.0,105552.0,
2025-08,quarterly,Pickups,150.statcan.gc.ca,3569.0,0.0,7624.0,67279.0,19136.0,0.0,97608.0,
2025-11,quarterly,Pickups,150.statcan.gc.ca,2630.0,0.0,6091.0,53810.0,15623.0,0.0,78154.0,
2026-02,quarterly,Pickups,150.statcan.gc.ca,1635.0,0.0,6741.0,53574.0,15793.0,0.0,77743.0,
