period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2017-02,quarterly,Vans,150.statcan.gc.ca,0.0,22.0,0.0,25880.0,1663.0,0.0,27565.0,
2017-05,quarterly,Vans,150.statcan.gc.ca,0.0,234.0,0.0,39362.0,1696.0,0.0,41292.0,
2017-08,quarterly,Vans,150.statcan.gc.ca,0.0,192.0,0.0,31503.0,1484.0,0.0,33179.0,
2017-11,quarterly,Vans,150.statcan.gc.ca,0.0,392.0,0.0,26004.0,1356.0,4.0,27756.0,
2018-02,quarterly,Vans,150.statcan.gc.ca,0.0,327.0,0.0,25991.0,1256.0,70.0,27644.0,
2018-05,quarterly,Vans,150.statcan.gc.ca,0.0,567.0,0.0,34650.0,2032.0,79.0,37328.0,
2018-08,quarterly,Vans,150.statcan.gc.ca,0.0,341.0,0.0,28501.0,1807.0,69.0,30718.0,
2018-11,quarterly,Vans,150.statcan.gc.ca,0.0,179.0,0.0,20319.0,1206.0,34.0,21738.0,
2019-02,quarterly,Vans,150.statcan.gc.ca,0.0,153.0,0.0,23272.0,1152.0,41.0,24618.0,
2019-05,quarterly,Vans,150.statcan.gc.ca,0.0,312.0,0.0,30656.0,1727.0,44.0,32739.0,
2019-08,quarterly,Vans,150.statcan.gc.ca,0.0,98.0,0.0,26385.0,1515.0,21.0,28019.0,
2019-11,quarterly,Vans,150.statcan.gc.ca,0.0,26.0,0.0,19785.0,1256.0,20.0,21087.0,
2020-02,quarterly,Vans,150.statcan.gc.ca,0.0,154.0,0.0,16447.0,1042.0,10.0,17653.0,
2020-05,quarterly,Vans,150.statcan.gc.ca,0.0,158.0,0.0,14484.0,960.0,7.0,15609.0,
2020-08,quarterly,Vans,150.statcan.gc.ca,0.0,228.0,0.0,24948.0,1435.0,7.0,26618.0,
2020-11,quarterly,Vans,150.statcan.gc.ca,0.0,233.0,768.0,17560.0,1308.0,9.0,19878.0,
2021-02,quarterly,Vans,150.statcan.gc.ca,0.0,288.0,1677.0,14757.0,1412.0,4.0,18138.0,
2021-05,quarterly,Vans,150.statcan.gc.ca,0.0,345.0,3122.0,15937.0,862.0,0.0,20266.0,
2021-08,quarterly,Vans,150.statcan.gc.ca,0.0,452.0,3302.0,13177.0,1437.0,0.0,18368.0,
2021-11,quarterly,Vans,150.statcan.gc.ca,0.0,121.0,2402.0,8210.0,1126.0,0.0,11859.0,
2022-02,quarterly,Vans,150.statcan.gc.ca,69.0,937.0,1931.0,8291.0,1610.0,0.0,12838.0,
2022-05,quarterly,Vans,150.statcan.gc.ca,302.0,597.0,1824.0,10444.0,1098.0,0.0,14265.0,
2022-08,quarterly,Vans,150.statcan.gc.ca,230.0,471.0,968.0,8038.0,1050.0,0.0,10757.0,
2022-11,quarterly,Vans,150.statcan.gc.ca,311.0,205.0,1017.0,8108.0,782.0,0.0,10423.0,
2023-02,quarterly,Vans,150.statcan.gc.ca,418.0,376.0,540.0,10052.0,1203.0,0.0,12589.0,
2023-05,quarterly,Vans,150.statcan.gc.ca,638.0,771.0,1153.0,14733.0,1199.0,0.0,18494.0,
2023-08,quarterly,Vans,150.statcan.gc.ca,513.0,347.0,1192.0,14080.0,1312.0,0.0,17444.0,
2023-11,quarterly,Vans,150.statcan.gc.ca,345.0,327.0,1571.0,9846.0,1324.0,0.0,13413.0,
2024-02,quarterly,Vans,150.statcan.gc.ca,272.0,191.0,2349.0,10123.0,1025.0,0.0,13960.0,
2024-05,quarterly,Vans,150.statcan.gc.ca,306.0,355.0,2929.0,13720.0,1148.0,0.0,18458.0,
2024-08,quarterly,Vans,150.statcan.gc.ca,314.0,352.0,3396.0,13363.0,1294.0,0.0,18719.0,
2024-11,quarterly,Vans,150.statcan.gc.ca,439.0,199.0,3009.0,12608.0,1205.0,0.0,17460.0,
2025-02,quarterly,Vans,150.statcan.gc.ca,670.0,159.0,2910.0,11901.0,1576.0,0.0,17216.0,
2025-05,quarterly,Vans,150.statcan.gc.ca,650.0,150.0,4860.0,16909.0,1246.0,0.0,23815.0,
2025-08,quarterly,Vans,150.statcan.gc.ca,989.0,158.0,4720.0,16224.0,1158.0,0.0,23249.0,
2025-11,quarterly,Vans,150.statcan.gc.ca,1058.0,183.0,4732.0,11253.0,1098.0,0.0,18324.0,
