period,time_interval,variant,source,BEV,PHEV,EREV,OTHERS,ICE,TOTAL,notes
2024-09,monthly,Wholesale,CPCA wholesale (PHEV excludes EREV),723000.0,394000.0,114000.0,0.0,1273000.0,2504000.0,https://www.cpcaauto.com/newslist.php?types=csjd&id=3619
2024-10,monthly,Wholesale,CPCA wholesale (PHEV excludes EREV),776000.0,472000.0,121000.0,0.0,1363000.0,2732000.0,https://www.cpcaauto.com/newslist.php?types=csjd&id=3652
2024-11,monthly,Wholesale,CPCA wholesale (PHEV excludes EREV),832000.0,475000.0,130000.0,0.0,1502000.0,2940000.0,https://www.cpcaauto.com/newslist.php?types=csjd&id=3686
2024-12,monthly,Wholesale,CPCA wholesale (PHEV excludes EREV),887000.0,499000.0,126000.0,0.0,1563000.0,3075000.0,https://www.cpcaauto.com/newslist.php?types=csjd&id=3720
2025-01,monthly,Wholesale,CPCA wholesale (PHEV excludes EREV),518000.0,298000.0,73000.0,0.0,1212000.0,2101000.0,https://www.cpcaauto.com/newslist.php?types=csjd&id=3748
2025-02,monthly,Wholesale,CPCA wholesale (PHEV excludes EREV),478000.0,288000.0,63000.0,0.0,937000.0,1767000.0,https://www.cpcaauto.com/newslist.php?types=csjd&id=3779
2025-03,monthly,Wholesale,CPCA wholesale (PHEV excludes EREV),708000.0,334000.0,86000.0,0.0,1284000.0,2412000.0,https://www.cpcaauto.com/newslist.php?types=csjd&id=3812
2025-04,monthly,Wholesale,CPCA wholesale (PHEV excludes EREV),719000.0,322000.0,92000.0,0.0,1057000.0,2190000.0,https://www.cpcaauto.com/newslist.php?types=csjd&id=3846
2025-05,monthly,Wholesale,CPCA wholesale (PHEV excludes EREV),754000.0,341000.0,122000.0,0.0,1094000.0,2310000.0,https://www.cpcaauto.com/newslist.php?types=csjd&id=3876
2025-06,monthly,Wholesale,CPCA wholesale (PHEV excludes EREV),771000.0,348000.0,122000.0,0.0,1249000.0,2490000.0,https://www.cpcaauto.com/newslist.php?types=csjd&id=3912
2025-07,monthly,Wholesale,CPCA wholesale (PHEV excludes EREV),736000.0,336000.0,109000.0,0.0,1040000.0,2221000.0,https://www.cpcaauto.com/newslist.php?types=csjd&id=3945
2025-08,monthly,Wholesale,CPCA wholesale (PHEV excludes EREV),815000.0,368000.0,99000.0,0.0,1176000.0,2458000.0,https://www.cpcaauto.com/newslist.php?types=csjd&id=3976
2025-09,monthly,Wholesale,CPCA wholesale (PHEV excludes EREV),947000.0,424000.0,129000.0,0.0,1303000.0,2803000.0,https://www.cpcaauto.com/newslist.php?types=csjd&id=4009
2025-10,monthly,Wholesale,CPCA wholesale (PHEV excludes EREV),1020000.0,480000.0,121000.0,0.0,1310000.0,2932000.0,https://www.cpcaauto.com/newslist.php?types=csjd&id=4041
2025-11,monthly,Wholesale,CPCA wholesale (PHEV excludes EREV),1038000.0,532000.0,137000.0,0.0,1290000.0,2998000.0,https://www.cpcaauto.com/newslist.php?types=csjd&id=4071
2025-12,monthly,Wholesale,CPCA wholesale (PHEV excludes EREV),940000.0,476000.0,147000.0,0.0,1230000.0,2789000.0,https://www.cpcaauto.com/newslist.php?types=csjd&id=4102
2026-01,monthly,Wholesale,CPCA wholesale (PHEV excludes EREV),507000.0,278000.0,79000.0,0.0,1109000.0,1973000.0,https://www.cpcaauto.com/newslist.php?types=csjd&id=4132
2026-02,monthly,Wholesale,CPCA wholesale (PHEV excludes EREV),421000.0,246000.0,55000.0,0.0,800000.0,1518000.0,https://www.cpcaauto.com/newslist.php?types=csjd&id=4151
2026-03,monthly,Wholesale,CPCA wholesale (PHEV excludes EREV),695000.0,352000.0,96000.0,0.0,1230000.0,2378000.0,https://www.cpcaauto.com/newslist.php?types=csjd&id=4179
2026-04,monthly,Wholesale,CPCA wholesale (PHEV excludes EREV),776000.0,362000.0,87000.0,0.0,890000.0,2110000.0,https://www.cpcaauto.com/newslist.php?types=csjd&id=4207
2026-05,monthly,Wholesale,CPCA wholesale (PHEV excludes EREV),886000.0,372000.0,95000.0,0.0,860000.0,2212000.0,https://www.cpcaauto.com/newslist.php?types=csjd&id=4235
