period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,FLEXFUEL,OTHERS,ICE,TOTAL,notes
2019-01,monthly,Whole,andi.com.co + fenalco (datos RUNT),30,,46,,,,,15865,15941,
2019-02,monthly,Whole,andi.com.co + fenalco (datos RUNT),52,,117,,,,,18271,18440,
2019-03,monthly,Whole,andi.com.co + fenalco (datos RUNT),40,,117,,,,,20013,20170,
2019-04,monthly,Whole,andi.com.co + fenalco (datos RUNT),73,,120,,,,,19570,19763,
2019-05,monthly,Whole,andi.com.co + fenalco (datos RUNT),78,,160,,,,,22031,22269,
2019-06,monthly,Whole,andi.com.co + fenalco (datos RUNT),47,,90,,,,,19318,19455,
2019-07,monthly,Whole,andi.com.co + fenalco (datos RUNT),86,,117,,,,,22671,22874,
2019-08,monthly,Whole,andi.com.co + fenalco (datos RUNT),99,,123,,,,,23062,23284,
2019-09,monthly,Whole,andi.com.co + fenalco (datos RUNT),139,,139,,,,,22381,22659,
2019-10,monthly,Whole,andi.com.co + fenalco (datos RUNT),66,,183,,,,,23609,23858,
2019-11,monthly,Whole,andi.com.co + fenalco (datos RUNT),72,,492,,,,,23382,23946,
2019-12,monthly,Whole,andi.com.co + fenalco (datos RUNT),144,,505,,,,,30012,30661,
2020-01,monthly,Whole,andi.com.co + fenalco (datos RUNT),51,,316,,,,,18040,18407,
2020-02,monthly,Whole,andi.com.co + fenalco (datos RUNT),77,,272,,,,,20174,20523,
2020-03,monthly,Whole,andi.com.co + fenalco (datos RUNT),110,,213,,,,,11946,12269,
2020-04,monthly,Whole,andi.com.co + fenalco (datos RUNT),0,,5,,,,,212,217,
2020-05,monthly,Whole,andi.com.co + fenalco (datos RUNT),51,,300,,,,,8569,8920,
2020-06,monthly,Whole,andi.com.co + fenalco (datos RUNT),69,,310,,,,,11582,11961,
2020-07,monthly,Whole,andi.com.co + fenalco (datos RUNT),157,,264,,,,,14014,14435,
2020-08,monthly,Whole,andi.com.co + fenalco (datos RUNT),25,,298,,,,,12886,13209,
2020-09,monthly,Whole,andi.com.co + fenalco (datos RUNT),82,,408,,,,,17918,18408,
2020-10,monthly,Whole,andi.com.co + fenalco (datos RUNT),67,,590,,,,,20201,20858,
2020-11,monthly,Whole,andi.com.co + fenalco (datos RUNT),311,,719,,,,,21300,22330,
2020-12,monthly,Whole,andi.com.co + fenalco (datos RUNT),307,,1002,,,,,25545,26854,
2021-01,monthly,Whole,andi.com.co + fenalco (datos RUNT),45,,607,,,,,13675,14327,
2021-02,monthly,Whole,andi.com.co + fenalco (datos RUNT),198,,891,,,,,18559,19648,
2021-03,monthly,Whole,andi.com.co + fenalco (datos RUNT),90,,908,,,,,21916,22914,
2021-04,monthly,Whole,andi.com.co + fenalco (datos RUNT),37,,872,,,,,18112,19021,
2021-05,monthly,Whole,andi.com.co + fenalco (datos RUNT),92,,991,,,,,13601,14684,
2021-06,monthly,Whole,andi.com.co + fenalco (datos RUNT),50,,2106,,,,,18261,20417,
2021-07,monthly,Whole,andi.com.co + fenalco (datos RUNT),79,,1836,,,,,21202,23117,
2021-08,monthly,Whole,andi.com.co + fenalco (datos RUNT),61,,1200,,,,,19791,21052,
2021-09,monthly,Whole,andi.com.co + fenalco (datos RUNT),87,,1036,,,,,21701,22824,
2021-10,monthly,Whole,andi.com.co + fenalco (datos RUNT),148,,2203,,,,,20989,23340,
2021-11,monthly,Whole,andi.com.co + fenalco (datos RUNT),227,,2033,,,,,21356,23616,
2021-12,monthly,Whole,andi.com.co + fenalco (datos RUNT),215,,1683,,,,,23414,25312,
2022-01,monthly,Whole,andi.com.co + fenalco (datos RUNT),397,,1242,,,,,15752,17391,
2022-02,monthly,Whole,andi.com.co + fenalco (datos RUNT),323,,1449,,,,,17427,19199,
