period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2019-10,monthly,Whole,ACEA,18.66666667,9.333333333,117.0,2347.333333,1396.333333,16.0,3904.666667,
2019-11,monthly,Whole,ACEA,18.66666667,9.333333333,117.0,2347.333333,1396.333333,16.0,3904.666667,
2019-12,monthly,Whole,ACEA,18.66666667,9.333333333,117.0,2347.333333,1396.333333,16.0,3904.666667,
2020-01,monthly,Whole,ACEA,19.0,9.333333333,162.0,1947.333333,1154.0,21.66666667,3313.333333,
2020-02,monthly,Whole,ACEA,19.0,9.333333333,162.0,1947.333333,1154.0,21.66666667,3313.333333,
2020-03,monthly,Whole,ACEA,19.0,9.333333333,162.0,1947.333333,1154.0,21.66666667,3313.333333,
2020-04,monthly,Whole,ACEA,13.66666667,6.0,140.6666667,1421.666667,876.3333333,33.66666667,2492.0,
2020-05,monthly,Whole,ACEA,13.66666667,6.0,140.6666667,1421.666667,876.3333333,33.66666667,2492.0,
2020-06,monthly,Whole,ACEA,13.66666667,6.0,140.6666667,1421.666667,876.3333333,33.66666667,2492.0,
2020-07,monthly,Whole,ACEA,54.33333333,13.0,183.6666667,1968.666667,1342.333333,75.0,3637.0,
2020-08,monthly,Whole,ACEA,54.33333333,13.0,183.6666667,1968.666667,1342.333333,75.0,3637.0,
2020-09,monthly,Whole,ACEA,54.33333333,13.0,183.6666667,1968.666667,1342.333333,75.0,3637.0,
2020-10,monthly,Whole,ACEA,90.0,19.0,240.0,1263.0,922.0,108.0,2644.0,
2020-11,monthly,Whole,ACEA,90.0,19.0,240.0,1263.0,922.0,108.0,2644.0,
2020-12,monthly,Whole,ACEA,90.0,19.0,240.0,1263.0,922.0,108.0,2644.0,
2021-01,monthly,Whole,ACEA,44.0,23.0,455.3333333,1834.0,1028.333333,109.0,3493.666667,
2021-02,monthly,Whole,ACEA,44.0,23.0,455.3333333,1834.0,1028.333333,109.0,3493.666667,
2021-03,monthly,Whole,ACEA,44.0,23.0,455.3333333,1834.0,1028.333333,109.0,3493.666667,
2021-04,monthly,Whole,ACEA,83.66666667,33.0,674.0,2953.0,1330.0,195.3333333,5269.0,
2021-05,monthly,Whole,ACEA,83.66666667,33.0,674.0,2953.0,1330.0,195.3333333,5269.0,
2021-06,monthly,Whole,ACEA,83.66666667,33.0,674.0,2953.0,1330.0,195.3333333,5269.0,
2021-07,monthly,Whole,ACEA,118.0,193.0,558.0,1975.0,943.0,193.0,3787.0,
2021-08,monthly,Whole,ACEA,118.0,193.0,558.0,1975.0,943.0,193.0,3787.0,
2021-09,monthly,Whole,ACEA,118.0,193.0,558.0,1975.0,943.0,193.0,3787.0,
2021-10,monthly,Whole,ACEA,245.0,41.0,459.0,1251.0,555.0,170.0,2722.0,
2021-11,monthly,Whole,ACEA,245.0,41.0,459.0,1251.0,555.0,170.0,2722.0,
2021-12,monthly,Whole,ACEA,245.0,41.0,459.0,1251.0,555.0,170.0,2722.0,
2022-01,monthly,Whole,ACEA,109.0,73.0,605.0,1397.0,618.0,142.0,2944.0,
2022-02,monthly,Whole,ACEA,50.0,78.0,704.0,1399.0,585.0,63.0,2879.0,
2022-03,monthly,Whole,ACEA,90.0,77.0,996.0,1847.0,637.0,165.0,3812.0,
2022-04,monthly,Whole,ACEA,48.0,57.0,872.0,2378.0,648.0,251.0,4254.0,
2022-05,monthly,Whole,ACEA,91.0,59.0,774.0,2151.0,766.0,208.0,4049.0,
2022-06,monthly,Whole,ACEA,70.0,55.0,844.0,2574.0,1086.0,302.0,4931.0,
2022-07,monthly,Whole,ACEA,170.0,98.0,718.0,2727.0,1202.0,213.0,5128.0,
2022-08,monthly,Whole,ACEA,117.0,77.0,486.0,1804.0,621.0,95.0,3200.0,
2022-09,monthly,Whole,ACEA,219.0,78.0,634.0,1634.0,817.0,104.0,3486.0,
2022-10,monthly,Whole,ACEA,94.0,95.0,603.0,1423.0,762.0,46.0,3023.0,
2022-11,monthly,Whole,ACEA,151.0,93.0,607.0,1248.0,512.0,47.0,2658.0,
2022-12,monthly,Whole,ACEA,162.0,83.0,533.0,1071.0,515.0,164.0,2528.0,
2023-01,monthly,Whole,ACEA,192.0,71.0,627.0,1732.0,683.0,133.0,3438.0,
2023-02,monthly,Whole,ACEA,155.0,71.0,733.0,1829.0,811.0,132.0,3731.0,
2023-03,monthly,Whole,ACEA,219.0,91.0,1385.0,3329.0,1252.0,136.0,6412.0,
2023-04,monthly,Whole,ACEA,118.0,103.0,1469.0,3173.0,1346.0,161.0,6370.0,
2023-05,monthly,Whole,ACEA,131.0,63.0,1561.0,3713.0,1507.0,190.0,7165.0,
2023-06,monthly,Whole,ACEA,114.0,88.0,1396.0,4166.0,1499.0,192.0,7455.0,
2023-07,monthly,Whole,ACEA,121.0,82.0,1174.0,2623.0,1204.0,90.0,5294.0,
2023-08,monthly,Whole,ACEA,147.0,48.0,888.0,1545.0,740.0,134.0,3502.0,
2023-09,monthly,Whole,ACEA,98.0,112.0,936.0,1764.0,678.0,146.0,3734.0,
2023-10,monthly,Whole,ACEA,71.0,125.0,1036.0,1679.0,613.0,155.0,3679.0,
2023-11,monthly,Whole,ACEA,137.0,73.0,876.0,1550.0,686.0,139.0,3461.0,
2023-12,monthly,Whole,ACEA,134.0,65.0,794.0,1536.0,810.0,114.0,3453.0,
2024-01,monthly,Whole,ACEA,82.0,119.0,1216.0,2045.0,903.0,127.0,4492.0,
2024-02,monthly,Whole,ACEA,50.0,94.0,1455.0,1898.0,923.0,110.0,4530.0,
2024-03,monthly,Whole,ACEA,62.0,148.0,1690.0,2976.0,1311.0,223.0,6410.0,
2024-04,monthly,Whole,ACEA,35.0,105.0,1914.0,3866.0,1279.0,65.0,7264.0,
2024-05,monthly,Whole,ACEA,265.0,117.0,1788.0,4134.0,2085.0,134.0,8523.0,
2024-06,monthly,Whole,ACEA,298.0,128.0,1725.0,4385.0,1749.0,87.0,8372.0,
2024-07,monthly,Whole,ACEA,268.0,140.0,1398.0,2899.0,810.0,104.0,5619.0,
2024-08,monthly,Whole,ACEA,204.0,82.0,969.0,1470.0,545.0,71.0,3341.0,
2024-09,monthly,Whole,ACEA,219.0,105.0,1306.0,1829.0,648.0,90.0,4197.0,
2024-10,monthly,Whole,ACEA,125.0,156.0,1537.0,1753.0,735.0,127.0,4433.0,
2024-11,monthly,Whole,ACEA,60.0,117.0,1403.0,1737.0,675.0,102.0,4094.0,
2024-12,monthly,Whole,ACEA,125.0,94.0,1335.0,1487.0,540.0,164.0,3745.0,
2025-01,monthly,Whole,ACEA,69.0,152.0,1556.0,1977.0,576.0,142.0,4472.0,
2025-02,monthly,Whole,ACEA,53.0,140.0,1629.0,1644.0,678.0,101.0,4245.0,
2025-03,monthly,Whole,ACEA,82.0,153.0,2144.0,2919.0,978.0,150.0,6426.0,
2025-04,monthly,Whole,ACEA,60.0,188.0,3178.0,4378.0,1126.0,140.0,9070.0,
2025-05,monthly,Whole,ACEA,55.0,238.0,2545.0,4545.0,1296.0,112.0,8791.0,
2025-06,monthly,Whole,ACEA,77.0,205.0,2291.0,4752.0,1513.0,107.0,8945.0,
2025-07,monthly,Whole,ACEA,69.0,284.0,1837.0,3204.0,771.0,143.0,6308.0,
2025-08,monthly,Whole,ACEA,70.0,166.0,1286.0,1666.0,440.0,81.0,3709.0,
2025-09,monthly,Whole,ACEA,178.0,274.0,1535.0,1980.0,638.0,118.0,4723.0,
2025-10,monthly,Whole,ACEA,212.0,289.0,1728.0,2171.0,721.0,79.0,5200.0,
2025-11,monthly,Whole,ACEA,157.0,238.0,1531.0,1597.0,504.0,43.0,4070.0,
2025-12,monthly,Whole,ACEA,184.0,202.0,1278.0,1532.0,620.0,64.0,3880.0,
2026-01,monthly,Whole,ACEA,138.0,278.0,1531.0,1461.0,505.0,51.0,3964.0,
2026-02,monthly,Whole,ACEA,197.0,336.0,1757.0,1743.0,746.0,88.0,4867.0,
2026-03,monthly,Whole,ACEA,445.0,480.0,3001.0,3144.0,925.0,69.0,8064.0,
2026-04,monthly,Whole,ACEA,330.0,486.0,3828.0,2943.0,1016.0,55.0,8658.0,data/Press_release_car_registrations_April_2026.pdf
2026-05,monthly,Whole,ACEA,327.0,573.0,3888.0,3693.0,1046.0,68.0,9595.0,https://www.acea.auto/files/Press_release_car_registrations_May_2026.pdf
