period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2020-01,quarterly,Whole,ACEA,1.0,9.0,133.3333333,539.0,300.0,0.0,982.3333333,
2020-02,quarterly,Whole,ACEA,1.0,9.0,133.3333333,539.0,300.0,0.0,982.3333333,
2020-03,quarterly,Whole,ACEA,1.0,9.0,133.3333333,539.0,300.0,0.0,982.3333333,
2020-04,quarterly,Whole,ACEA,2.0,7.0,112.0,346.0,203.0,0.0,670.0,
2020-05,quarterly,Whole,ACEA,2.0,7.0,112.0,346.0,203.0,0.0,670.0,
2020-06,quarterly,Whole,ACEA,2.0,7.0,112.0,346.0,203.0,0.0,670.0,
2020-07,quarterly,Whole,ACEA,3.0,0.0,98.33333333,529.0,253.0,0.0,883.3333333,
2020-08,quarterly,Whole,ACEA,3.0,0.0,98.33333333,529.0,253.0,1.0,884.3333333,
2020-09,quarterly,Whole,ACEA,3.0,0.0,98.33333333,529.0,253.0,1.0,884.3333333,
2020-10,quarterly,Whole,ACEA,6.0,5.666666667,122.0,477.0,208.0,0.0,819.0,
2020-11,quarterly,Whole,ACEA,6.0,5.666666667,121.3333333,476.0,208.0,0.0,818.0,
2020-12,quarterly,Whole,ACEA,6.0,5.666666667,121.3333333,476.0,208.0,0.0,818.0,
2021-01,quarterly,Whole,ACEA,8.666666667,6.666666667,142.6666667,545.3333333,202.0,0.0,905.3333333,
2021-02,quarterly,Whole,ACEA,8.666666667,6.666666667,142.6666667,545.3333333,202.0,0.0,905.3333333,
2021-03,quarterly,Whole,ACEA,8.666666667,6.666666667,142.6666667,545.3333333,202.0,0.0,905.3333333,
2021-04,quarterly,Whole,ACEA,7.0,8.0,246.0,608.0,122.0,0.0,991.0,
2021-05,quarterly,Whole,ACEA,7.0,8.0,246.0,607.0,123.0,0.0,991.0,
2021-06,quarterly,Whole,ACEA,7.0,8.0,245.0,608.0,123.0,0.0,991.0,
2021-07,quarterly,Whole,ACEA,6.0,8.666666667,272.0,541.0,110.0,0.0,931.0,
2021-08,quarterly,Whole,ACEA,6.0,8.666666667,272.0,541.0,110.0,0.0,931.0,
2021-09,quarterly,Whole,ACEA,6.0,8.666666667,272.0,541.0,110.0,0.0,931.0,
2021-10,quarterly,Whole,ACEA,4.0,4.666666667,188.0,389.0,93.0,0.0,678.0,
2021-11,quarterly,Whole,ACEA,4.0,4.666666667,187.0,389.0,93.0,0.0,678.0,
2021-12,quarterly,Whole,ACEA,4.0,4.666666667,187.0,388.0,93.0,0.0,678.0,
2022-01,monthly,Whole,ACEA,15.0,9.0,224.0,763.0,99.0,1.0,1111.0,
2022-02,monthly,Whole,ACEA,15.0,38.0,591.0,1431.0,136.0,1.0,2212.0,
2022-03,monthly,Whole,ACEA,13.0,24.0,297.0,459.0,55.0,0.0,848.0,
2022-04,monthly,Whole,ACEA,15.0,17.0,296.0,382.0,37.0,0.0,747.0,
2022-05,monthly,Whole,ACEA,45.0,29.0,429.0,754.0,47.0,0.0,1304.0,
2022-06,monthly,Whole,ACEA,48.0,15.0,404.0,514.0,42.0,0.0,1023.0,
2022-07,monthly,Whole,ACEA,46.0,11.0,353.0,669.0,29.0,0.0,1108.0,
2022-08,monthly,Whole,ACEA,34.0,18.0,243.0,327.0,22.0,0.0,644.0,
2022-09,monthly,Whole,ACEA,39.0,20.0,412.0,642.0,73.0,0.0,1186.0,
2022-10,monthly,Whole,ACEA,33.0,12.0,323.0,419.0,37.0,0.0,824.0,
2022-11,monthly,Whole,ACEA,44.0,29.0,334.0,508.0,41.0,0.0,956.0,
2022-12,monthly,Whole,ACEA,31.0,20.0,244.0,456.0,25.0,0.0,776.0,
2023-01,monthly,Whole,ACEA,82.0,29.0,491.0,620.0,53.0,0.0,1275.0,
2023-02,monthly,Whole,ACEA,32.0,30.0,336.0,583.0,30.0,0.0,1011.0,
2023-03,monthly,Whole,ACEA,64.0,51.0,563.0,1010.0,63.0,0.0,1751.0,
2023-04,monthly,Whole,ACEA,16.0,22.0,236.0,468.0,41.0,0.0,783.0,
2023-05,monthly,Whole,ACEA,42.0,37.0,618.0,959.0,56.0,0.0,1712.0,
2023-06,monthly,Whole,ACEA,72.0,25.0,538.0,429.0,46.0,0.0,1110.0,
2023-07,monthly,Whole,ACEA,109.0,83.0,589.0,865.0,39.0,0.0,1685.0,
2023-08,monthly,Whole,ACEA,41.0,26.0,246.0,407.0,16.0,0.0,736.0,
2023-09,monthly,Whole,ACEA,99.0,44.0,642.0,715.0,25.0,0.0,1525.0,
2023-10,monthly,Whole,ACEA,82.0,56.0,447.0,547.0,33.0,0.0,1165.0,
2023-11,monthly,Whole,ACEA,100.0,76.0,546.0,494.0,28.0,0.0,1244.0,
2023-12,monthly,Whole,ACEA,49.0,32.0,381.0,263.0,18.0,0.0,743.0,
2024-01,monthly,Whole,ACEA,65.0,68.0,679.0,630.0,85.0,0.0,1527.0,
2024-02,monthly,Whole,ACEA,105.0,48.0,609.0,712.0,27.0,0.0,1501.0,
2024-03,monthly,Whole,ACEA,146.0,76.0,678.0,509.0,28.0,0.0,1437.0,
2024-04,monthly,Whole,ACEA,77.0,61.0,784.0,655.0,31.0,0.0,1608.0,
2024-05,monthly,Whole,ACEA,41.0,47.0,589.0,587.0,37.0,0.0,1301.0,
2024-06,monthly,Whole,ACEA,62.0,49.0,636.0,630.0,40.0,0.0,1417.0,
2024-07,monthly,Whole,ACEA,79.0,56.0,533.0,676.0,16.0,0.0,1360.0,
2024-08,monthly,Whole,ACEA,77.0,36.0,280.0,408.0,11.0,0.0,812.0,
2024-09,monthly,Whole,ACEA,200.0,59.0,498.0,566.0,18.0,0.0,1341.0,
2024-10,monthly,Whole,ACEA,130.0,56.0,403.0,397.0,17.0,0.0,1003.0,
2024-11,monthly,Whole,ACEA,168.0,55.0,460.0,373.0,16.0,0.0,1072.0,
2024-12,monthly,Whole,ACEA,43.0,53.0,289.0,251.0,42.0,0.0,678.0,
2025-01,monthly,Whole,ACEA,149.0,93.0,689.0,609.0,25.0,0.0,1565.0,
2025-02,monthly,Whole,ACEA,107.0,78.0,579.0,456.0,64.0,0.0,1284.0,
2025-03,monthly,Whole,ACEA,105.0,63.0,685.0,706.0,43.0,0.0,1602.0,
2025-04,monthly,Whole,ACEA,90.0,58.0,552.0,361.0,35.0,0.0,1096.0,data/Press_release_car_registrations_April_2026.pdf
2025-05,monthly,Whole,ACEA,119.0,38.0,589.0,546.0,36.0,0.0,1328.0,
2025-06,monthly,Whole,ACEA,165.0,63.0,633.0,463.0,23.0,0.0,1347.0,
2025-07,monthly,Whole,ACEA,164.0,85.0,697.0,456.0,36.0,0.0,1438.0,
2025-08,monthly,Whole,ACEA,99.0,46.0,365.0,197.0,6.0,0.0,713.0,
2025-09,monthly,Whole,ACEA,151.0,77.0,724.0,452.0,28.0,0.0,1432.0,
2025-10,monthly,Whole,ACEA,137.0,69.0,577.0,348.0,16.0,0.0,1147.0,
2025-11,monthly,Whole,ACEA,63.0,50.0,520.0,278.0,69.0,0.0,980.0,
2025-12,monthly,Whole,ACEA,125.0,53.0,289.0,222.0,14.0,0.0,703.0,
2026-01,monthly,Whole,ACEA,203.0,55.0,633.0,376.0,26.0,0.0,1293.0,
2026-02,monthly,Whole,ACEA,109.0,57.0,600.0,325.0,54.0,0.0,1145.0,
2026-03,monthly,Whole,ACEA,113.0,79.0,622.0,400.0,18.0,0.0,1232.0,
2026-04,monthly,Whole,ACEA,181.0,53.0,536.0,400.0,15.0,0.0,1185.0,data/Press_release_car_registrations_April_2026.pdf
2026-05,monthly,Whole,ACEA,135.0,103.0,677.0,372.0,25.0,0.0,1312.0,https://www.acea.auto/files/Press_release_car_registrations_May_2026.pdf
