period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2021-07,yearly,Vans,ACEA,,,,,,,1938.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2022-07,yearly,Vans,ACEA,,,,,,,1962.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2023-02,quarterly,Vans,ACEA,5.0,,13.0,95.0,312.0,0.0,425.0,https://www.acea.auto/files/20230407_PRCV_Q1-2023_FINAL.pdf
2022-02,quarterly,Vans,ACEA,1.0,,7.0,69.0,398.0,6.0,481.0,https://www.acea.auto/files/20230407_PRCV_Q1-2023_FINAL.pdf
2023-05,quarterly,Vans,ACEA,4.0,,20.0,98.0,296.0,0.0,418.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_H1-2024.pdf
2022-05,quarterly,Vans,ACEA,0.0,,18.0,97.0,432.0,0.0,547.0,https://www.acea.auto/files/20230727_PRCV_Q1-Q2_2023.pdf
2024-02,quarterly,Vans,ACEA,5.0,,36.0,97.0,522.0,0.0,660.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2024.pdf
2024-05,quarterly,Vans,ACEA,3.0,,15.0,92.0,510.0,0.0,620.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_H1-2024.pdf
2024-08,quarterly,Vans,ACEA,11.0,,31.0,128.0,295.0,0.0,465.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q3_2024.pdf
2023-08,quarterly,Vans,ACEA,2.0,,22.0,81.0,325.0,0.0,430.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q3_2024.pdf
2022-08,quarterly,Vans,ACEA,21.0,,6.0,70.0,395.0,0.0,492.0,https://www.acea.auto/files/Press_release_commercial_vehicles_Q1-Q3_2023.pdf
2023-11,quarterly,Vans,ACEA,4.0,,19.0,85.0,385.0,0.0,493.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2023.pdf
2022-11,quarterly,Vans,ACEA,12.0,,20.0,119.0,292.0,-6.0,437.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2023.pdf
2025-02,quarterly,Vans,ACEA,18.0,,46.0,110.0,406.0,0.0,580.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2025-1.pdf
2025-05,quarterly,Vans,ACEA,9.0,,54.0,93.0,372.0,0.0,528.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations-H1_2026.pdf
2025-08,quarterly,Vans,ACEA,44.0,,49.0,93.0,344.0,0.0,530.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q3-2025.pdf
2025-11,quarterly,Vans,ACEA,17.0,,75.0,72.0,390.0,0.0,554.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_fulll_year_2025.pdf
2024-11,quarterly,Vans,ACEA,6.0,,43.0,92.0,362.0,0.0,503.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_fulll_year_2025.pdf
2026-02,quarterly,Vans,ACEA,23.0,,83.0,59.0,449.0,0.0,614.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2026.pdf
2026-05,quarterly,Vans,ACEA,16.0,,123.0,50.0,522.0,0.0,711.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations-H1_2026.pdf
