period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2011-01,monthly,Whole,ACEA / sda-cia.cz,3.0,0.0,,6316.0,5055.0,304.0,11678.0,
2011-02,monthly,Whole,https://www.sda-cia.cz/repository-volnedostupna?lang=CZ,0.0,0.0,,7448.0,5133.0,266.0,12847.0,
2011-03,monthly,Whole,ACEA / sda-cia.cz,12.0,0.0,,10975.0,6098.0,416.0,17501.0,
2011-04,monthly,Whole,ACEA / sda-cia.cz,18.0,0.0,,8796.0,5393.0,413.0,14620.0,
2011-05,monthly,Whole,ACEA / sda-cia.cz,4.0,0.0,,9216.0,5833.0,429.0,15482.0,
2011-06,monthly,Whole,ACEA / sda-cia.cz,6.0,0.0,,9254.0,6457.0,439.0,16156.0,
2011-07,monthly,Whole,ACEA / sda-cia.cz,2.0,0.0,,6712.0,5006.0,398.0,12118.0,
2011-08,monthly,Whole,ACEA / sda-cia.cz,4.0,0.0,,8222.0,5483.0,396.0,14105.0,
2011-09,monthly,Whole,ACEA / sda-cia.cz,0.0,0.0,,6633.0,5990.0,355.0,12978.0,
2011-10,monthly,Whole,ACEA / sda-cia.cz,0.0,0.0,,8479.0,5999.0,380.0,14858.0,
2011-11,monthly,Whole,ACEA / sda-cia.cz,4.0,0.0,,9389.0,6168.0,359.0,15920.0,
2011-12,monthly,Whole,ACEA / sda-cia.cz,3.0,0.0,,8712.0,5895.0,409.0,15019.0,
2012-01,monthly,Whole,ACEA / sda-cia.cz,0.0,17.0,,6483.0,6107.0,314.0,12921.0,
2012-02,monthly,Whole,ACEA / sda-cia.cz,3.0,10.0,,7362.0,5892.0,277.0,13544.0,
2012-03,monthly,Whole,ACEA / sda-cia.cz,1.0,28.0,,9966.0,6704.0,365.0,17064.0,
2012-04,monthly,Whole,ACEA / sda-cia.cz,3.0,31.0,,9604.0,6519.0,432.0,16589.0,
2012-05,monthly,Whole,ACEA / sda-cia.cz,6.0,31.0,,9358.0,6154.0,426.0,15975.0,
2012-06,monthly,Whole,ACEA / sda-cia.cz,8.0,32.0,,10500.0,7079.0,521.0,18140.0,
2012-07,monthly,Whole,ACEA / sda-cia.cz,1.0,33.0,,6262.0,4618.0,244.0,11158.0,
2012-08,monthly,Whole,ACEA / sda-cia.cz,8.0,32.0,,7385.0,5595.0,173.0,13193.0,
2012-09,monthly,Whole,ACEA / sda-cia.cz,14.0,31.0,,6806.0,5011.0,613.0,12475.0,
2012-10,monthly,Whole,ACEA / sda-cia.cz,18.0,39.0,,8807.0,6696.0,403.0,15963.0,
2012-11,monthly,Whole,ACEA / sda-cia.cz,20.0,36.0,,7694.0,6059.0,394.0,14203.0,
