period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2021-07,yearly,HDV,ACEA,,,,,,,8679.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2022-07,yearly,HDV,ACEA,,,,,,,8988.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2023-02,quarterly,HDV,ACEA,3.0,,0.0,0.0,2446.0,211.0,2660.0,https://www.acea.auto/files/20230407_PRCV_Q1-2023_FINAL.pdf
2022-02,quarterly,HDV,ACEA,0.0,,0.0,0.0,1820.0,209.0,2029.0,https://www.acea.auto/files/20230407_PRCV_Q1-2023_FINAL.pdf
2023-05,quarterly,HDV,ACEA,2.0,,0.0,0.0,2413.0,175.0,2590.0,https://www.acea.auto/files/20230727_PRCV_Q1-Q2_2023.pdf
2022-05,quarterly,HDV,ACEA,0.0,,0.0,0.0,2209.0,249.0,2458.0,https://www.acea.auto/files/20230727_PRCV_Q1-Q2_2023.pdf
2024-02,quarterly,HDV,ACEA,2.0,,0.0,0.0,1986.0,225.0,2213.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2024.pdf
2024-05,quarterly,HDV,ACEA,6.0,,0.0,0.0,2566.0,3.0,2575.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q2_2025.pdf
2024-08,quarterly,HDV,ACEA,7.0,,0.0,0.0,2036.0,2.0,2045.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q3_2024.pdf
2023-08,quarterly,HDV,ACEA,3.0,,0.0,0.0,2325.0,321.0,2649.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q3_2024.pdf
2022-08,quarterly,HDV,ACEA,3.0,,0.0,0.0,1695.0,242.0,1940.0,https://www.acea.auto/files/Press_release_commercial_vehicles_Q1-Q3_2023.pdf
2023-11,quarterly,HDV,ACEA,2.0,,0.0,0.0,2260.0,247.0,2509.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2023.pdf
2022-11,quarterly,HDV,ACEA,1.0,,0.0,0.0,2292.0,251.0,2544.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2023.pdf
2025-02,quarterly,HDV,ACEA,15.0,,0.0,0.0,1936.0,5.0,1956.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2025-1.pdf
2025-05,quarterly,HDV,ACEA,42.0,,0.0,0.0,2491.0,9.0,2542.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q2_2025.pdf
2025-08,quarterly,HDV,ACEA,33.0,,0.0,0.0,2033.0,6.0,2072.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q3-2025.pdf
