period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,FLEXFUEL,OTHERS,TOTAL,notes
2018-01,monthly,Whole,api.statbank.dk (BIL53),36.0,354.0,,12225.0,7282.0,,0.0,19897.0,
2018-02,monthly,Whole,api.statbank.dk (BIL53),47.0,243.0,,10801.0,6182.0,,0.0,17273.0,
2018-03,monthly,Whole,api.statbank.dk (BIL53),111.0,252.0,,12584.0,6838.0,,0.0,19785.0,
2018-04,monthly,Whole,api.statbank.dk (BIL53),135.0,311.0,,12183.0,6137.0,,0.0,18766.0,
2018-05,monthly,Whole,api.statbank.dk (BIL53),76.0,218.0,,14628.0,7669.0,,1.0,22592.0,
2018-06,monthly,Whole,api.statbank.dk (BIL53),119.0,274.0,,14666.0,7494.0,,2.0,22555.0,
2018-07,monthly,Whole,api.statbank.dk (BIL53),51.0,374.0,,10996.0,5061.0,,0.0,16482.0,
2018-08,monthly,Whole,api.statbank.dk (BIL53),172.0,497.0,,12980.0,7014.0,,2.0,20665.0,
2018-09,monthly,Whole,api.statbank.dk (BIL53),183.0,123.0,,8210.0,3468.0,,2.0,11986.0,
2018-10,monthly,Whole,api.statbank.dk (BIL53),169.0,151.0,,10997.0,5325.0,,0.0,16642.0,
2018-11,monthly,Whole,api.statbank.dk (BIL53),212.0,230.0,,11920.0,5565.0,,2.0,17929.0,
2018-12,monthly,Whole,api.statbank.dk (BIL53),233.0,99.0,,9127.0,4438.0,,4.0,13901.0,
2019-01,monthly,Whole,api.statbank.dk (BIL53),257.0,432.0,,15095.0,5507.0,,0.0,21291.0,
2019-02,monthly,Whole,api.statbank.dk (BIL53),218.0,398.0,,13179.0,4803.0,,0.0,18598.0,
2019-03,monthly,Whole,api.statbank.dk (BIL53),512.0,390.0,,18327.0,6958.0,,2.0,26189.0,
2019-04,monthly,Whole,api.statbank.dk (BIL53),458.0,170.0,,11400.0,4222.0,,3.0,16253.0,
2019-05,monthly,Whole,api.statbank.dk (BIL53),422.0,198.0,,13363.0,5161.0,,2.0,19146.0,
2019-06,monthly,Whole,api.statbank.dk (BIL53),702.0,165.0,,14284.0,5629.0,,0.0,20780.0,
2019-07,monthly,Whole,api.statbank.dk (BIL53),263.0,277.0,,11554.0,4681.0,,1.0,16776.0,
2019-08,monthly,Whole,api.statbank.dk (BIL53),338.0,325.0,,13131.0,4917.0,,0.0,18711.0,
2019-09,monthly,Whole,api.statbank.dk (BIL53),724.0,410.0,,10866.0,3948.0,,0.0,15948.0,
2019-10,monthly,Whole,api.statbank.dk (BIL53),327.0,421.0,,12732.0,4889.0,,3.0,18372.0,
2019-11,monthly,Whole,api.statbank.dk (BIL53),374.0,432.0,,12266.0,5012.0,,1.0,18085.0,
2019-12,monthly,Whole,api.statbank.dk (BIL53),906.0,262.0,,9666.0,4635.0,,2.0,15471.0,
2020-01,monthly,Whole,api.statbank.dk (BIL53),530.0,773.0,,11798.0,5578.0,,1.0,18680.0,
2020-02,monthly,Whole,api.statbank.dk (BIL53),492.0,596.0,,10173.0,3796.0,,0.0,15057.0,
2020-03,monthly,Whole,api.statbank.dk (BIL53),1110.0,647.0,,9616.0,3844.0,,0.0,15217.0,
2020-04,monthly,Whole,api.statbank.dk (BIL53),373.0,530.0,,6777.0,2606.0,,0.0,10286.0,
2020-05,monthly,Whole,api.statbank.dk (BIL53),372.0,587.0,,8059.0,2529.0,,0.0,11547.0,
2020-06,monthly,Whole,api.statbank.dk (BIL53),828.0,1415.0,,11853.0,3950.0,,1.0,18047.0,
2020-07,monthly,Whole,api.statbank.dk (BIL53),486.0,2537.0,,11897.0,4182.0,,0.0,19102.0,
2020-08,monthly,Whole,api.statbank.dk (BIL53),1014.0,2462.0,,10819.0,3381.0,,0.0,17676.0,
2020-09,monthly,Whole,api.statbank.dk (BIL53),2337.0,1347.0,,10400.0,3147.0,,0.0,17231.0,
2020-10,monthly,Whole,api.statbank.dk (BIL53),1097.0,1622.0,,9028.0,3379.0,,0.0,15126.0,
