period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,FLEXFUEL,OTHERS,TOTAL,notes
2021-01,monthly,HDV,api.statbank.dk (BIL53),3.0,0.0,,0.0,151.0,,1.0,155.0,
2021-02,monthly,HDV,api.statbank.dk (BIL53),2.0,0.0,,0.0,147.0,,0.0,149.0,
2021-03,monthly,HDV,api.statbank.dk (BIL53),5.0,0.0,,0.0,235.0,,5.0,245.0,
2021-04,monthly,HDV,api.statbank.dk (BIL53),1.0,0.0,,0.0,178.0,,9.0,188.0,
2021-05,monthly,HDV,api.statbank.dk (BIL53),0.0,0.0,,1.0,163.0,,5.0,169.0,
2021-06,monthly,HDV,api.statbank.dk (BIL53),0.0,0.0,,1.0,171.0,,5.0,177.0,
2021-07,monthly,HDV,api.statbank.dk (BIL53),0.0,0.0,,0.0,111.0,,1.0,112.0,
2021-08,monthly,HDV,api.statbank.dk (BIL53),3.0,0.0,,0.0,191.0,,2.0,196.0,
2021-09,monthly,HDV,api.statbank.dk (BIL53),2.0,0.0,,0.0,140.0,,0.0,142.0,
2021-10,monthly,HDV,api.statbank.dk (BIL53),2.0,0.0,,0.0,148.0,,9.0,159.0,
2021-11,monthly,HDV,api.statbank.dk (BIL53),1.0,0.0,,0.0,169.0,,6.0,176.0,
2021-12,monthly,HDV,api.statbank.dk (BIL53),6.0,0.0,,0.0,179.0,,8.0,193.0,
2022-01,monthly,HDV,api.statbank.dk (BIL53),11.0,0.0,,0.0,167.0,,0.0,178.0,
2022-02,monthly,HDV,api.statbank.dk (BIL53),2.0,0.0,,0.0,145.0,,0.0,147.0,
2022-03,monthly,HDV,api.statbank.dk (BIL53),2.0,0.0,,0.0,203.0,,1.0,206.0,
2022-04,monthly,HDV,api.statbank.dk (BIL53),2.0,0.0,,0.0,144.0,,1.0,147.0,
2022-05,monthly,HDV,api.statbank.dk (BIL53),3.0,0.0,,0.0,160.0,,2.0,165.0,
2022-06,monthly,HDV,api.statbank.dk (BIL53),22.0,0.0,,0.0,160.0,,1.0,183.0,
2022-07,monthly,HDV,api.statbank.dk (BIL53),6.0,0.0,,0.0,99.0,,0.0,105.0,
2022-08,monthly,HDV,api.statbank.dk (BIL53),3.0,0.0,,0.0,181.0,,1.0,185.0,
2022-09,monthly,HDV,api.statbank.dk (BIL53),11.0,0.0,,0.0,202.0,,0.0,213.0,
2022-10,monthly,HDV,api.statbank.dk (BIL53),5.0,0.0,,0.0,149.0,,1.0,155.0,
2022-11,monthly,HDV,api.statbank.dk (BIL53),3.0,0.0,,0.0,166.0,,2.0,171.0,
2022-12,monthly,HDV,api.statbank.dk (BIL53),18.0,0.0,,0.0,203.0,,2.0,223.0,
2023-01,monthly,HDV,api.statbank.dk (BIL53),10.0,0.0,,0.0,114.0,,0.0,124.0,
2023-02,monthly,HDV,api.statbank.dk (BIL53),20.0,0.0,,0.0,129.0,,12.0,161.0,
2023-03,monthly,HDV,api.statbank.dk (BIL53),54.0,0.0,,0.0,193.0,,6.0,253.0,
2023-04,monthly,HDV,api.statbank.dk (BIL53),13.0,0.0,,0.0,125.0,,4.0,142.0,
2023-05,monthly,HDV,api.statbank.dk (BIL53),26.0,0.0,,0.0,179.0,,4.0,209.0,
2023-06,monthly,HDV,api.statbank.dk (BIL53),20.0,0.0,,0.0,161.0,,0.0,181.0,
2023-07,monthly,HDV,api.statbank.dk (BIL53),16.0,0.0,,0.0,106.0,,0.0,122.0,
2023-08,monthly,HDV,api.statbank.dk (BIL53),41.0,0.0,,0.0,232.0,,4.0,277.0,
2023-09,monthly,HDV,api.statbank.dk (BIL53),17.0,0.0,,0.0,127.0,,1.0,145.0,
2023-10,monthly,HDV,api.statbank.dk (BIL53),14.0,0.0,,0.0,135.0,,0.0,149.0,
2023-11,monthly,HDV,api.statbank.dk (BIL53),9.0,0.0,,0.0,154.0,,4.0,167.0,
2023-12,monthly,HDV,api.statbank.dk (BIL53),26.0,0.0,,0.0,139.0,,1.0,166.0,
2024-01,monthly,HDV,api.statbank.dk (BIL53),9.0,0.0,,0.0,143.0,,0.0,152.0,
2024-02,monthly,HDV,api.statbank.dk (BIL53),25.0,0.0,,0.0,147.0,,0.0,172.0,
2024-03,monthly,HDV,api.statbank.dk (BIL53),38.0,0.0,,0.0,153.0,,0.0,191.0,
2024-04,monthly,HDV,api.statbank.dk (BIL53),34.0,0.0,,0.0,180.0,,1.0,215.0,
2024-05,monthly,HDV,api.statbank.dk (BIL53),26.0,0.0,,0.0,173.0,,0.0,199.0,
2024-06,monthly,HDV,api.statbank.dk (BIL53),30.0,0.0,,0.0,271.0,,0.0,301.0,
2024-07,monthly,HDV,api.statbank.dk (BIL53),12.0,0.0,,0.0,150.0,,0.0,162.0,
2024-08,monthly,HDV,api.statbank.dk (BIL53),46.0,0.0,,0.0,148.0,,0.0,194.0,
2024-09,monthly,HDV,api.statbank.dk (BIL53),46.0,0.0,,0.0,120.0,,1.0,167.0,
2024-10,monthly,HDV,api.statbank.dk (BIL53),27.0,0.0,,0.0,143.0,,3.0,173.0,
2024-11,monthly,HDV,api.statbank.dk (BIL53),36.0,0.0,,0.0,147.0,,2.0,185.0,
2024-12,monthly,HDV,api.statbank.dk (BIL53),75.0,0.0,,0.0,142.0,,3.0,220.0,
2025-01,monthly,HDV,api.statbank.dk (BIL53),37.0,0.0,,0.0,138.0,,3.0,178.0,
2025-02,monthly,HDV,api.statbank.dk (BIL53),39.0,0.0,,0.0,137.0,,6.0,182.0,
2025-03,monthly,HDV,api.statbank.dk (BIL53),35.0,0.0,,0.0,159.0,,4.0,198.0,
2025-04,monthly,HDV,api.statbank.dk (BIL53),47.0,0.0,,0.0,145.0,,0.0,192.0,
2025-05,monthly,HDV,api.statbank.dk (BIL53),50.0,0.0,,0.0,150.0,,1.0,201.0,
2025-06,monthly,HDV,api.statbank.dk (BIL53),48.0,0.0,,0.0,198.0,,0.0,246.0,
2025-07,monthly,HDV,api.statbank.dk (BIL53),25.0,0.0,,0.0,66.0,,0.0,91.0,
2025-08,monthly,HDV,api.statbank.dk (BIL53),43.0,0.0,,0.0,121.0,,1.0,165.0,
2025-09,monthly,HDV,api.statbank.dk (BIL53),65.0,0.0,,0.0,137.0,,1.0,203.0,
2025-10,monthly,HDV,api.statbank.dk (BIL53),64.0,0.0,,0.0,147.0,,0.0,211.0,
2025-11,monthly,HDV,api.statbank.dk (BIL53),63.0,0.0,,0.0,111.0,,1.0,175.0,
2025-12,monthly,HDV,api.statbank.dk (BIL53),99.0,0.0,,0.0,128.0,,2.0,229.0,
2026-01,monthly,HDV,api.statbank.dk (BIL53),46.0,0.0,,0.0,137.0,,0.0,183.0,
2026-02,monthly,HDV,api.statbank.dk (BIL53),29.0,0.0,,0.0,98.0,,1.0,128.0,
2026-03,monthly,HDV,api.statbank.dk (BIL53),44.0,0.0,,0.0,176.0,,0.0,220.0,
2026-04,monthly,HDV,api.statbank.dk (BIL53),27.0,0.0,,0.0,116.0,,0.0,143.0,
2026-05,monthly,HDV,api.statbank.dk (BIL53),38.0,0.0,,0.0,152.0,,0.0,190.0,
