period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,FLEXFUEL,OTHERS,TOTAL,notes
2018-01,monthly,Industry,api.statbank.dk (BIL53),21.0,102.0,,2707.0,2569.0,,0.0,5399.0,
2018-02,monthly,Industry,api.statbank.dk (BIL53),35.0,44.0,,3040.0,2606.0,,0.0,5725.0,
2018-03,monthly,Industry,api.statbank.dk (BIL53),51.0,59.0,,3629.0,3256.0,,0.0,6995.0,
2018-04,monthly,Industry,api.statbank.dk (BIL53),18.0,91.0,,3634.0,2933.0,,0.0,6676.0,
2018-05,monthly,Industry,api.statbank.dk (BIL53),26.0,86.0,,5070.0,3967.0,,1.0,9150.0,
2018-06,monthly,Industry,api.statbank.dk (BIL53),59.0,112.0,,5879.0,3805.0,,2.0,9857.0,
2018-07,monthly,Industry,api.statbank.dk (BIL53),28.0,111.0,,3547.0,2359.0,,0.0,6045.0,
2018-08,monthly,Industry,api.statbank.dk (BIL53),133.0,178.0,,4938.0,3727.0,,2.0,8978.0,
2018-09,monthly,Industry,api.statbank.dk (BIL53),55.0,39.0,,2534.0,1811.0,,2.0,4441.0,
2018-10,monthly,Industry,api.statbank.dk (BIL53),33.0,53.0,,3540.0,3191.0,,0.0,6817.0,
2018-11,monthly,Industry,api.statbank.dk (BIL53),128.0,70.0,,3802.0,3416.0,,2.0,7418.0,
2018-12,monthly,Industry,api.statbank.dk (BIL53),141.0,36.0,,3730.0,2978.0,,4.0,6889.0,
2019-01,monthly,Industry,api.statbank.dk (BIL53),120.0,187.0,,4273.0,2881.0,,0.0,7461.0,
2019-02,monthly,Industry,api.statbank.dk (BIL53),67.0,161.0,,4123.0,2572.0,,0.0,6923.0,
2019-03,monthly,Industry,api.statbank.dk (BIL53),141.0,110.0,,5835.0,3311.0,,2.0,9399.0,
2019-04,monthly,Industry,api.statbank.dk (BIL53),150.0,78.0,,4097.0,2430.0,,3.0,6758.0,
2019-05,monthly,Industry,api.statbank.dk (BIL53),155.0,89.0,,4976.0,2965.0,,2.0,8187.0,
2019-06,monthly,Industry,api.statbank.dk (BIL53),122.0,48.0,,6353.0,3379.0,,0.0,9902.0,
2019-07,monthly,Industry,api.statbank.dk (BIL53),85.0,82.0,,4189.0,2395.0,,1.0,6752.0,
2019-08,monthly,Industry,api.statbank.dk (BIL53),90.0,161.0,,5051.0,2783.0,,0.0,8085.0,
2019-09,monthly,Industry,api.statbank.dk (BIL53),184.0,241.0,,3640.0,2096.0,,0.0,6161.0,
2019-10,monthly,Industry,api.statbank.dk (BIL53),259.0,151.0,,4427.0,2712.0,,2.0,7551.0,
2019-11,monthly,Industry,api.statbank.dk (BIL53),183.0,154.0,,4371.0,3226.0,,1.0,7935.0,
2019-12,monthly,Industry,api.statbank.dk (BIL53),155.0,84.0,,4782.0,3350.0,,2.0,8373.0,
2020-01,monthly,Industry,api.statbank.dk (BIL53),267.0,330.0,,3519.0,3234.0,,1.0,7351.0,
2020-02,monthly,Industry,api.statbank.dk (BIL53),131.0,226.0,,3305.0,1858.0,,0.0,5520.0,
2020-03,monthly,Industry,api.statbank.dk (BIL53),217.0,247.0,,2726.0,1770.0,,0.0,4960.0,
2020-04,monthly,Industry,api.statbank.dk (BIL53),102.0,175.0,,1338.0,1321.0,,0.0,2936.0,
2020-05,monthly,Industry,api.statbank.dk (BIL53),114.0,266.0,,2130.0,1318.0,,0.0,3828.0,
2020-06,monthly,Industry,api.statbank.dk (BIL53),185.0,426.0,,3628.0,2061.0,,0.0,6300.0,
2020-07,monthly,Industry,api.statbank.dk (BIL53),163.0,536.0,,3608.0,2315.0,,0.0,6622.0,
2020-08,monthly,Industry,api.statbank.dk (BIL53),297.0,641.0,,3240.0,2144.0,,0.0,6322.0,
2020-09,monthly,Industry,api.statbank.dk (BIL53),592.0,433.0,,3588.0,1833.0,,0.0,6446.0,
2020-10,monthly,Industry,api.statbank.dk (BIL53),314.0,768.0,,3097.0,2015.0,,0.0,6194.0,
2020-11,monthly,Industry,api.statbank.dk (BIL53),442.0,1006.0,,3307.0,2767.0,,0.0,7522.0,
2020-12,monthly,Industry,api.statbank.dk (BIL53),1239.0,1421.0,,3802.0,3797.0,,40.0,10299.0,
2021-01,monthly,Industry,api.statbank.dk (BIL53),207.0,348.0,,2525.0,1385.0,,0.0,4465.0,
2021-02,monthly,Industry,api.statbank.dk (BIL53),100.0,367.0,,2283.0,1616.0,,0.0,4366.0,
2021-03,monthly,Industry,api.statbank.dk (BIL53),739.0,1336.0,,5620.0,2284.0,,2.0,9981.0,
2021-04,monthly,Industry,api.statbank.dk (BIL53),272.0,779.0,,3403.0,1684.0,,0.0,6138.0,
2021-05,monthly,Industry,api.statbank.dk (BIL53),453.0,1258.0,,3787.0,1691.0,,0.0,7189.0,
2021-06,monthly,Industry,api.statbank.dk (BIL53),657.0,1844.0,,4341.0,2259.0,,1.0,9102.0,
2021-07,monthly,Industry,api.statbank.dk (BIL53),441.0,1128.0,,2659.0,1235.0,,0.0,5463.0,
2021-08,monthly,Industry,api.statbank.dk (BIL53),744.0,1228.0,,3249.0,1330.0,,0.0,6551.0,
2021-09,monthly,Industry,api.statbank.dk (BIL53),774.0,1443.0,,2698.0,1054.0,,2.0,5971.0,
2021-10,monthly,Industry,api.statbank.dk (BIL53),710.0,1168.0,,2200.0,1111.0,,66.0,5255.0,
2021-11,monthly,Industry,api.statbank.dk (BIL53),883.0,1608.0,,2691.0,1380.0,,1.0,6563.0,
2021-12,monthly,Industry,api.statbank.dk (BIL53),1501.0,2562.0,,2392.0,1364.0,,1.0,7820.0,
2022-01,monthly,Industry,api.statbank.dk (BIL53),600.0,602.0,,2156.0,768.0,,0.0,4126.0,
2022-02,monthly,Industry,api.statbank.dk (BIL53),475.0,847.0,,2541.0,936.0,,0.0,4799.0,
2022-03,monthly,Industry,api.statbank.dk (BIL53),777.0,1496.0,,4139.0,1335.0,,2.0,7749.0,
2022-04,monthly,Industry,api.statbank.dk (BIL53),535.0,943.0,,3195.0,931.0,,0.0,5604.0,
2022-05,monthly,Industry,api.statbank.dk (BIL53),684.0,1182.0,,3358.0,1280.0,,0.0,6504.0,
2022-06,monthly,Industry,api.statbank.dk (BIL53),982.0,1539.0,,3565.0,1390.0,,0.0,7476.0,
2022-07,monthly,Industry,api.statbank.dk (BIL53),674.0,1086.0,,2261.0,913.0,,0.0,4934.0,
2022-08,monthly,Industry,api.statbank.dk (BIL53),868.0,1174.0,,3092.0,1006.0,,1.0,6141.0,
2022-09,monthly,Industry,api.statbank.dk (BIL53),886.0,985.0,,2967.0,1351.0,,1.0,6190.0,
2022-10,monthly,Industry,api.statbank.dk (BIL53),886.0,857.0,,2822.0,1051.0,,0.0,5616.0,
2022-11,monthly,Industry,api.statbank.dk (BIL53),1232.0,1117.0,,3100.0,1399.0,,0.0,6848.0,
2022-12,monthly,Industry,api.statbank.dk (BIL53),2527.0,1911.0,,2321.0,1065.0,,1.0,7825.0,
2023-01,monthly,Industry,api.statbank.dk (BIL53),630.0,328.0,,2607.0,755.0,,0.0,4320.0,
2023-02,monthly,Industry,api.statbank.dk (BIL53),899.0,565.0,,2616.0,681.0,,0.0,4761.0,
2023-03,monthly,Industry,api.statbank.dk (BIL53),1674.0,1027.0,,3910.0,1246.0,,0.0,7857.0,
2023-04,monthly,Industry,api.statbank.dk (BIL53),1144.0,775.0,,2769.0,1028.0,,0.0,5716.0,
2023-05,monthly,Industry,api.statbank.dk (BIL53),1484.0,797.0,,3331.0,1235.0,,0.0,6847.0,
2023-06,monthly,Industry,api.statbank.dk (BIL53),1808.0,1039.0,,3972.0,1427.0,,1.0,8247.0,
2023-07,monthly,Industry,api.statbank.dk (BIL53),1030.0,447.0,,2707.0,778.0,,0.0,4962.0,
2023-08,monthly,Industry,api.statbank.dk (BIL53),1484.0,533.0,,2358.0,879.0,,0.0,5254.0,
2023-09,monthly,Industry,api.statbank.dk (BIL53),1711.0,541.0,,2366.0,723.0,,0.0,5341.0,
2023-10,monthly,Industry,api.statbank.dk (BIL53),1504.0,549.0,,2270.0,813.0,,0.0,5136.0,
2023-11,monthly,Industry,api.statbank.dk (BIL53),1936.0,576.0,,2967.0,1228.0,,0.0,6707.0,
2023-12,monthly,Industry,api.statbank.dk (BIL53),2726.0,818.0,,3071.0,1551.0,,0.0,8166.0,
2024-01,monthly,Industry,api.statbank.dk (BIL53),909.0,228.0,,1824.0,324.0,,0.0,3285.0,
2024-02,monthly,Industry,api.statbank.dk (BIL53),1326.0,295.0,,2043.0,468.0,,0.0,4132.0,
2024-03,monthly,Industry,api.statbank.dk (BIL53),1786.0,454.0,,3724.0,1161.0,,0.0,7125.0,
2024-04,monthly,Industry,api.statbank.dk (BIL53),1456.0,417.0,,2624.0,885.0,,0.0,5382.0,
2024-05,monthly,Industry,api.statbank.dk (BIL53),1751.0,347.0,,2921.0,983.0,,0.0,6002.0,
2024-06,monthly,Industry,api.statbank.dk (BIL53),2083.0,326.0,,4750.0,1515.0,,0.0,8674.0,
2024-07,monthly,Industry,api.statbank.dk (BIL53),1274.0,218.0,,2142.0,698.0,,0.0,4332.0,
2024-08,monthly,Industry,api.statbank.dk (BIL53),1895.0,208.0,,2173.0,712.0,,0.0,4988.0,
2024-09,monthly,Industry,api.statbank.dk (BIL53),2190.0,301.0,,2579.0,1032.0,,0.0,6102.0,
2024-10,monthly,Industry,api.statbank.dk (BIL53),2493.0,287.0,,2158.0,684.0,,0.0,5622.0,
2024-11,monthly,Industry,api.statbank.dk (BIL53),2207.0,231.0,,2681.0,1110.0,,0.0,6229.0,
2024-12,monthly,Industry,api.statbank.dk (BIL53),3142.0,358.0,,3270.0,902.0,,0.0,7672.0,
2025-01,monthly,Industry,api.statbank.dk (BIL53),1607.0,119.0,,1886.0,368.0,,0.0,3980.0,
2025-02,monthly,Industry,api.statbank.dk (BIL53),1899.0,157.0,,1893.0,365.0,,0.0,4314.0,
2025-03,monthly,Industry,api.statbank.dk (BIL53),2572.0,193.0,,2567.0,595.0,,0.0,5927.0,
2025-04,monthly,Industry,api.statbank.dk (BIL53),2153.0,196.0,,3122.0,746.0,,0.0,6217.0,
2025-05,monthly,Industry,api.statbank.dk (BIL53),2454.0,181.0,,4334.0,784.0,,0.0,7753.0,
2025-06,monthly,Industry,api.statbank.dk (BIL53),2822.0,263.0,,4397.0,743.0,,15.0,8240.0,
2025-07,monthly,Industry,api.statbank.dk (BIL53),1946.0,173.0,,2660.0,665.0,,13.0,5457.0,
2025-08,monthly,Industry,api.statbank.dk (BIL53),2347.0,111.0,,2049.0,775.0,,0.0,5282.0,
2025-09,monthly,Industry,api.statbank.dk (BIL53),3055.0,145.0,,2496.0,1084.0,,0.0,6780.0,
2025-10,monthly,Industry,api.statbank.dk (BIL53),2567.0,90.0,,2673.0,910.0,,0.0,6240.0,
2025-11,monthly,Industry,api.statbank.dk (BIL53),2535.0,86.0,,2451.0,759.0,,0.0,5831.0,
2025-12,monthly,Industry,api.statbank.dk (BIL53),3829.0,251.0,,1871.0,595.0,,0.0,6546.0,
2026-01,monthly,Industry,api.statbank.dk (BIL53),2749.0,96.0,,1396.0,322.0,,1.0,4564.0,
2026-02,monthly,Industry,api.statbank.dk (BIL53),2211.0,62.0,,1218.0,550.0,,2.0,4043.0,
2026-03,monthly,Industry,api.statbank.dk (BIL53),3564.0,65.0,,3088.0,711.0,,0.0,7428.0,
2026-04,monthly,Industry,api.statbank.dk (BIL53),2882.0,44.0,,1891.0,718.0,,0.0,5535.0,
