period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,FLEXFUEL,OTHERS,TOTAL,notes
2018-01,monthly,Private,api.statbank.dk (BIL53),15.0,252.0,,9518.0,4713.0,,0.0,14498.0,
2018-02,monthly,Private,api.statbank.dk (BIL53),12.0,199.0,,7761.0,3576.0,,0.0,11548.0,
2018-03,monthly,Private,api.statbank.dk (BIL53),60.0,193.0,,8955.0,3582.0,,0.0,12790.0,
2018-04,monthly,Private,api.statbank.dk (BIL53),117.0,220.0,,8549.0,3204.0,,0.0,12090.0,
2018-05,monthly,Private,api.statbank.dk (BIL53),50.0,132.0,,9558.0,3702.0,,0.0,13442.0,
2018-06,monthly,Private,api.statbank.dk (BIL53),60.0,162.0,,8787.0,3689.0,,0.0,12698.0,
2018-07,monthly,Private,api.statbank.dk (BIL53),23.0,263.0,,7449.0,2702.0,,0.0,10437.0,
2018-08,monthly,Private,api.statbank.dk (BIL53),39.0,319.0,,8042.0,3287.0,,0.0,11687.0,
2018-09,monthly,Private,api.statbank.dk (BIL53),128.0,84.0,,5676.0,1657.0,,0.0,7545.0,
2018-10,monthly,Private,api.statbank.dk (BIL53),136.0,98.0,,7457.0,2134.0,,0.0,9825.0,
2018-11,monthly,Private,api.statbank.dk (BIL53),84.0,160.0,,8118.0,2149.0,,0.0,10511.0,
2018-12,monthly,Private,api.statbank.dk (BIL53),92.0,63.0,,5397.0,1460.0,,0.0,7012.0,
2019-01,monthly,Private,api.statbank.dk (BIL53),137.0,245.0,,10822.0,2626.0,,0.0,13830.0,
2019-02,monthly,Private,api.statbank.dk (BIL53),151.0,237.0,,9056.0,2231.0,,0.0,11675.0,
2019-03,monthly,Private,api.statbank.dk (BIL53),371.0,280.0,,12492.0,3647.0,,0.0,16790.0,
2019-04,monthly,Private,api.statbank.dk (BIL53),308.0,92.0,,7303.0,1792.0,,0.0,9495.0,
2019-05,monthly,Private,api.statbank.dk (BIL53),267.0,109.0,,8387.0,2196.0,,0.0,10959.0,
2019-06,monthly,Private,api.statbank.dk (BIL53),580.0,117.0,,7931.0,2250.0,,0.0,10878.0,
2019-07,monthly,Private,api.statbank.dk (BIL53),178.0,195.0,,7365.0,2286.0,,0.0,10024.0,
2019-08,monthly,Private,api.statbank.dk (BIL53),248.0,164.0,,8080.0,2134.0,,0.0,10626.0,
2019-09,monthly,Private,api.statbank.dk (BIL53),540.0,169.0,,7226.0,1852.0,,0.0,9787.0,
2019-10,monthly,Private,api.statbank.dk (BIL53),68.0,270.0,,8305.0,2177.0,,1.0,10821.0,
2019-11,monthly,Private,api.statbank.dk (BIL53),191.0,278.0,,7895.0,1786.0,,0.0,10150.0,
2019-12,monthly,Private,api.statbank.dk (BIL53),751.0,178.0,,4884.0,1285.0,,0.0,7098.0,
2020-01,monthly,Private,api.statbank.dk (BIL53),263.0,443.0,,8279.0,2344.0,,0.0,11329.0,
2020-02,monthly,Private,api.statbank.dk (BIL53),361.0,370.0,,6868.0,1938.0,,0.0,9537.0,
2020-03,monthly,Private,api.statbank.dk (BIL53),893.0,400.0,,6890.0,2074.0,,0.0,10257.0,
2020-04,monthly,Private,api.statbank.dk (BIL53),271.0,355.0,,5439.0,1285.0,,0.0,7350.0,
2020-05,monthly,Private,api.statbank.dk (BIL53),258.0,321.0,,5929.0,1211.0,,0.0,7719.0,
2020-06,monthly,Private,api.statbank.dk (BIL53),643.0,989.0,,8225.0,1889.0,,1.0,11747.0,
2020-07,monthly,Private,api.statbank.dk (BIL53),323.0,2001.0,,8289.0,1867.0,,0.0,12480.0,
2020-08,monthly,Private,api.statbank.dk (BIL53),717.0,1821.0,,7579.0,1237.0,,0.0,11354.0,
2020-09,monthly,Private,api.statbank.dk (BIL53),1745.0,914.0,,6812.0,1314.0,,0.0,10785.0,
2020-10,monthly,Private,api.statbank.dk (BIL53),783.0,854.0,,5931.0,1364.0,,0.0,8932.0,
2020-11,monthly,Private,api.statbank.dk (BIL53),1298.0,1213.0,,6748.0,1456.0,,2.0,10717.0,
2020-12,monthly,Private,api.statbank.dk (BIL53),2600.0,2079.0,,6397.0,1397.0,,1.0,12474.0,
2021-01,monthly,Private,api.statbank.dk (BIL53),366.0,1104.0,,3721.0,655.0,,0.0,5846.0,
2021-02,monthly,Private,api.statbank.dk (BIL53),243.0,995.0,,3795.0,577.0,,0.0,5610.0,
2021-03,monthly,Private,api.statbank.dk (BIL53),1320.0,3355.0,,8248.0,963.0,,0.0,13886.0,
2021-04,monthly,Private,api.statbank.dk (BIL53),726.0,2055.0,,6028.0,683.0,,0.0,9492.0,
2021-05,monthly,Private,api.statbank.dk (BIL53),695.0,2267.0,,6027.0,839.0,,0.0,9828.0,
2021-06,monthly,Private,api.statbank.dk (BIL53),1614.0,2707.0,,6235.0,850.0,,0.0,11406.0,
2021-07,monthly,Private,api.statbank.dk (BIL53),899.0,1831.0,,4766.0,607.0,,0.0,8103.0,
2021-08,monthly,Private,api.statbank.dk (BIL53),2303.0,2169.0,,4406.0,480.0,,1.0,9359.0,
2021-09,monthly,Private,api.statbank.dk (BIL53),2411.0,1805.0,,3706.0,386.0,,1.0,8309.0,
2021-10,monthly,Private,api.statbank.dk (BIL53),1412.0,2111.0,,3561.0,377.0,,0.0,7461.0,
2021-11,monthly,Private,api.statbank.dk (BIL53),2141.0,2027.0,,3910.0,334.0,,0.0,8412.0,
2021-12,monthly,Private,api.statbank.dk (BIL53),3257.0,2944.0,,3423.0,372.0,,0.0,9996.0,
2022-01,monthly,Private,api.statbank.dk (BIL53),1068.0,608.0,,3403.0,247.0,,1.0,5327.0,
2022-02,monthly,Private,api.statbank.dk (BIL53),1242.0,864.0,,3108.0,253.0,,0.0,5467.0,
2022-03,monthly,Private,api.statbank.dk (BIL53),1770.0,1121.0,,3752.0,353.0,,0.0,6996.0,
2022-04,monthly,Private,api.statbank.dk (BIL53),912.0,903.0,,3431.0,295.0,,0.0,5541.0,
2022-05,monthly,Private,api.statbank.dk (BIL53),1512.0,1207.0,,4075.0,339.0,,0.0,7133.0,
2022-06,monthly,Private,api.statbank.dk (BIL53),1592.0,1242.0,,4249.0,402.0,,0.0,7485.0,
2022-07,monthly,Private,api.statbank.dk (BIL53),1250.0,803.0,,2648.0,278.0,,0.0,4979.0,
2022-08,monthly,Private,api.statbank.dk (BIL53),1572.0,1139.0,,3701.0,270.0,,0.0,6682.0,
2022-09,monthly,Private,api.statbank.dk (BIL53),2117.0,1212.0,,3295.0,238.0,,0.0,6862.0,
