period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,FLEXFUEL,OTHERS,TOTAL,notes
2018-01,monthly,Vans,api.statbank.dk (BIL53),7.0,3.0,,172.0,2390.0,,0.0,2572.0,
2018-02,monthly,Vans,api.statbank.dk (BIL53),4.0,3.0,,201.0,2238.0,,0.0,2446.0,
2018-03,monthly,Vans,api.statbank.dk (BIL53),1.0,7.0,,174.0,2599.0,,0.0,2781.0,
2018-04,monthly,Vans,api.statbank.dk (BIL53),29.0,3.0,,153.0,2701.0,,2.0,2888.0,
2018-05,monthly,Vans,api.statbank.dk (BIL53),54.0,3.0,,164.0,3159.0,,2.0,3382.0,
2018-06,monthly,Vans,api.statbank.dk (BIL53),25.0,0.0,,151.0,3042.0,,0.0,3218.0,
2018-07,monthly,Vans,api.statbank.dk (BIL53),3.0,1.0,,145.0,1745.0,,0.0,1894.0,
2018-08,monthly,Vans,api.statbank.dk (BIL53),23.0,4.0,,156.0,2804.0,,0.0,2987.0,
2018-09,monthly,Vans,api.statbank.dk (BIL53),12.0,5.0,,139.0,2381.0,,0.0,2537.0,
2018-10,monthly,Vans,api.statbank.dk (BIL53),6.0,0.0,,159.0,3053.0,,1.0,3219.0,
2018-11,monthly,Vans,api.statbank.dk (BIL53),7.0,3.0,,160.0,3029.0,,0.0,3199.0,
2018-12,monthly,Vans,api.statbank.dk (BIL53),18.0,1.0,,148.0,2563.0,,2.0,2732.0,
2019-01,monthly,Vans,api.statbank.dk (BIL53),5.0,2.0,,170.0,2568.0,,1.0,2746.0,
2019-02,monthly,Vans,api.statbank.dk (BIL53),12.0,1.0,,169.0,2387.0,,0.0,2569.0,
2019-03,monthly,Vans,api.statbank.dk (BIL53),33.0,3.0,,259.0,3059.0,,0.0,3354.0,
2019-04,monthly,Vans,api.statbank.dk (BIL53),25.0,1.0,,122.0,2646.0,,5.0,2799.0,
2019-05,monthly,Vans,api.statbank.dk (BIL53),15.0,1.0,,133.0,2757.0,,0.0,2906.0,
2019-06,monthly,Vans,api.statbank.dk (BIL53),34.0,1.0,,145.0,2648.0,,0.0,2828.0,
2019-07,monthly,Vans,api.statbank.dk (BIL53),16.0,2.0,,122.0,1728.0,,0.0,1868.0,
2019-08,monthly,Vans,api.statbank.dk (BIL53),14.0,2.0,,128.0,2910.0,,0.0,3054.0,
2019-09,monthly,Vans,api.statbank.dk (BIL53),12.0,3.0,,153.0,2296.0,,0.0,2464.0,
2019-10,monthly,Vans,api.statbank.dk (BIL53),11.0,4.0,,197.0,2486.0,,0.0,2698.0,
2019-11,monthly,Vans,api.statbank.dk (BIL53),25.0,7.0,,206.0,2757.0,,0.0,2995.0,
2019-12,monthly,Vans,api.statbank.dk (BIL53),30.0,6.0,,155.0,2635.0,,0.0,2826.0,
2020-01,monthly,Vans,api.statbank.dk (BIL53),31.0,14.0,,148.0,2597.0,,0.0,2790.0,
2020-02,monthly,Vans,api.statbank.dk (BIL53),29.0,11.0,,137.0,2320.0,,0.0,2497.0,
2020-03,monthly,Vans,api.statbank.dk (BIL53),29.0,10.0,,153.0,2545.0,,0.0,2737.0,
2020-04,monthly,Vans,api.statbank.dk (BIL53),16.0,0.0,,120.0,1669.0,,1.0,1806.0,
2020-05,monthly,Vans,api.statbank.dk (BIL53),10.0,7.0,,117.0,1674.0,,0.0,1808.0,
2020-06,monthly,Vans,api.statbank.dk (BIL53),19.0,10.0,,134.0,2169.0,,0.0,2332.0,
2020-07,monthly,Vans,api.statbank.dk (BIL53),10.0,16.0,,116.0,1850.0,,1.0,1993.0,
2020-08,monthly,Vans,api.statbank.dk (BIL53),28.0,12.0,,185.0,2496.0,,0.0,2721.0,
2020-09,monthly,Vans,api.statbank.dk (BIL53),40.0,14.0,,146.0,2770.0,,0.0,2970.0,
2020-10,monthly,Vans,api.statbank.dk (BIL53),44.0,19.0,,208.0,2628.0,,0.0,2899.0,
2020-11,monthly,Vans,api.statbank.dk (BIL53),97.0,18.0,,111.0,2645.0,,0.0,2871.0,
2020-12,monthly,Vans,api.statbank.dk (BIL53),100.0,32.0,,236.0,3286.0,,1.0,3655.0,
2021-01,monthly,Vans,api.statbank.dk (BIL53),27.0,10.0,,70.0,1958.0,,0.0,2065.0,
2021-02,monthly,Vans,api.statbank.dk (BIL53),58.0,18.0,,95.0,2467.0,,0.0,2638.0,
2021-03,monthly,Vans,api.statbank.dk (BIL53),95.0,24.0,,168.0,3483.0,,0.0,3770.0,
2021-04,monthly,Vans,api.statbank.dk (BIL53),59.0,16.0,,142.0,2477.0,,1.0,2695.0,
2021-05,monthly,Vans,api.statbank.dk (BIL53),91.0,21.0,,106.0,2638.0,,0.0,2856.0,
2021-06,monthly,Vans,api.statbank.dk (BIL53),148.0,43.0,,174.0,2742.0,,2.0,3109.0,
2021-07,monthly,Vans,api.statbank.dk (BIL53),114.0,24.0,,110.0,1603.0,,0.0,1851.0,
2021-08,monthly,Vans,api.statbank.dk (BIL53),105.0,29.0,,161.0,2289.0,,0.0,2584.0,
2021-09,monthly,Vans,api.statbank.dk (BIL53),111.0,44.0,,145.0,2197.0,,0.0,2497.0,
2021-10,monthly,Vans,api.statbank.dk (BIL53),119.0,24.0,,123.0,1945.0,,1.0,2212.0,
2021-11,monthly,Vans,api.statbank.dk (BIL53),268.0,30.0,,120.0,1925.0,,0.0,2343.0,
2021-12,monthly,Vans,api.statbank.dk (BIL53),253.0,43.0,,197.0,2435.0,,0.0,2928.0,
2022-01,monthly,Vans,api.statbank.dk (BIL53),95.0,21.0,,152.0,1865.0,,0.0,2133.0,
2022-02,monthly,Vans,api.statbank.dk (BIL53),100.0,46.0,,201.0,2112.0,,0.0,2459.0,
2022-03,monthly,Vans,api.statbank.dk (BIL53),159.0,24.0,,199.0,2505.0,,0.0,2887.0,
2022-04,monthly,Vans,api.statbank.dk (BIL53),91.0,24.0,,142.0,1993.0,,0.0,2250.0,
2022-05,monthly,Vans,api.statbank.dk (BIL53),127.0,32.0,,213.0,1925.0,,0.0,2297.0,
