period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2018-01,quarterly,Whole,ACEA,4.0,2.0,110.0,1684.0,1049.0,0.0,2850.0,
2018-02,quarterly,Whole,ACEA,4.0,2.0,110.0,1684.0,1049.0,0.0,2850.0,
2018-03,quarterly,Whole,ACEA,4.0,2.0,110.0,1684.0,1049.0,0.0,2850.0,
2018-04,quarterly,Whole,ACEA,7.0,2.0,148.0,1853.0,1203.0,0.0,3214.0,
2018-05,quarterly,Whole,ACEA,7.0,2.0,148.0,1853.0,1203.0,0.0,3214.0,
2018-06,quarterly,Whole,ACEA,7.0,2.0,148.0,1853.0,1203.0,0.0,3214.0,
2018-07,quarterly,Whole,ACEA,12.0,1.0,145.0,1588.0,923.0,0.0,2672.0,
2018-08,quarterly,Whole,ACEA,12.0,1.0,145.0,1588.0,923.0,0.0,2672.0,
2018-09,quarterly,Whole,ACEA,12.0,1.0,145.0,1588.0,923.0,0.0,2672.0,
2018-10,quarterly,Whole,ACEA,4.0,5.0,118.0,1136.0,866.0,1.0,2131.0,
2018-11,quarterly,Whole,ACEA,4.0,5.0,118.0,1136.0,866.0,1.0,2131.0,
2018-12,quarterly,Whole,ACEA,4.0,5.0,118.0,1136.0,866.0,1.0,2131.0,
2019-01,quarterly,Whole,ACEA,5.0,1.0,173.0,1475.0,1070.0,4.0,2729.0,
2019-02,quarterly,Whole,ACEA,5.0,1.0,173.0,1475.0,1070.0,4.0,2729.0,
2019-03,quarterly,Whole,ACEA,5.0,1.0,173.0,1475.0,1070.0,4.0,2729.0,
2019-04,quarterly,Whole,ACEA,8.0,2.0,261.0,1848.0,1083.0,72.0,3275.0,
2019-05,quarterly,Whole,ACEA,8.0,2.0,261.0,1848.0,1083.0,72.0,3275.0,
2019-06,quarterly,Whole,ACEA,8.0,2.0,261.0,1848.0,1083.0,72.0,3275.0,
2019-07,quarterly,Whole,ACEA,8.0,1.0,224.0,1523.0,901.0,102.0,2760.0,
2019-08,quarterly,Whole,ACEA,8.0,1.0,224.0,1523.0,901.0,102.0,2760.0,
2019-09,quarterly,Whole,ACEA,8.0,1.0,224.0,1523.0,901.0,102.0,2760.0,
2019-10,quarterly,Whole,ACEA,4.0,0.0,239.0,1343.0,721.0,57.0,2366.0,
2019-11,quarterly,Whole,ACEA,4.0,0.0,239.0,1343.0,721.0,57.0,2366.0,
2019-12,quarterly,Whole,ACEA,4.0,0.0,239.0,1343.0,721.0,57.0,2366.0,
2020-01,quarterly,Whole,ACEA,16.0,5.0,265.0,1152.0,836.0,92.0,2368.0,
2020-02,quarterly,Whole,ACEA,16.0,5.0,265.0,1152.0,836.0,92.0,2368.0,
2020-03,quarterly,Whole,ACEA,16.0,5.0,265.0,1152.0,836.0,92.0,2368.0,
2020-04,quarterly,Whole,ACEA,20.0,3.0,162.0,704.0,515.0,49.0,1454.0,
2020-05,quarterly,Whole,ACEA,20.0,3.0,162.0,704.0,515.0,49.0,1454.0,
2020-06,quarterly,Whole,ACEA,20.0,3.0,162.0,704.0,515.0,49.0,1454.0,
2020-07,quarterly,Whole,ACEA,35.0,3.0,230.0,1052.0,742.0,66.0,2130.0,
2020-08,quarterly,Whole,ACEA,35.0,3.0,230.0,1052.0,742.0,66.0,2130.0,
2020-09,quarterly,Whole,ACEA,35.0,3.0,230.0,1052.0,742.0,66.0,2130.0,
2020-10,quarterly,Whole,ACEA,48.0,9.0,254.0,768.0,707.0,61.0,1849.0,
2020-11,quarterly,Whole,ACEA,48.0,9.0,254.0,768.0,707.0,61.0,1849.0,
2020-12,quarterly,Whole,ACEA,48.0,9.0,254.0,768.0,707.0,61.0,1849.0,
2021-01,quarterly,Whole,ACEA,31.66666667,14.66666667,480.0,847.0,473.3333333,62.66666667,1909.333333,
