period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2021-07,yearly,Buses,ACEA,,,,,,,269.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2022-07,yearly,Buses,ACEA,,,,,,,306.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2023-02,quarterly,Buses,ACEA,0.0,,0.0,0.0,13.0,2.0,15.0,https://www.acea.auto/files/20230407_PRCV_Q1-2023_FINAL.pdf
2022-02,quarterly,Buses,ACEA,0.0,,0.0,0.0,12.0,99.0,111.0,https://www.acea.auto/files/20230407_PRCV_Q1-2023_FINAL.pdf
2023-05,quarterly,Buses,ACEA,0.0,,0.0,0.0,86.0,0.0,86.0,https://www.acea.auto/files/20230727_PRCV_Q1-Q2_2023.pdf
2022-05,quarterly,Buses,ACEA,0.0,,0.0,0.0,4.0,74.0,78.0,https://www.acea.auto/files/20230727_PRCV_Q1-Q2_2023.pdf
2024-02,quarterly,Buses,ACEA,1.0,,0.0,0.0,56.0,0.0,57.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2024.pdf
2024-05,quarterly,Buses,ACEA,16.0,,0.0,0.0,60.0,0.0,76.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_H1-2024.pdf
2024-08,quarterly,Buses,ACEA,0.0,,0.0,0.0,20.0,1.0,21.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q3_2024.pdf
2023-08,quarterly,Buses,ACEA,0.0,,0.0,0.0,32.0,10.0,42.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q3_2024.pdf
2022-08,quarterly,Buses,ACEA,0.0,,0.0,0.0,5.0,65.0,70.0,https://www.acea.auto/files/Press_release_commercial_vehicles_Q1-Q3_2023.pdf
2023-11,quarterly,Buses,ACEA,0.0,,0.0,0.0,5.0,0.0,5.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2023.pdf
2022-11,quarterly,Buses,ACEA,0.0,,0.0,0.0,25.0,19.0,44.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2023.pdf
2024-11,quarterly,Buses,ACEA,0.0,,0.0,0.0,26.0,0.0,26.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2024.pdf
2025-02,quarterly,Buses,ACEA,0.0,,0.0,0.0,26.0,0.0,26.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2025-1.pdf
2025-05,quarterly,Buses,ACEA,0.0,,0.0,0.0,33.0,0.0,33.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q2_2025.pdf
