period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,FLEXFUEL,OTHERS,TOTAL,notes
2014-01,monthly,Whole,pxdata.stat.fi (StatFin 121d),5.0,20.0,,7642.0,4975.0,,55.0,12697.0,
2014-02,monthly,Whole,pxdata.stat.fi (StatFin 121d),10.0,10.0,,4835.0,3294.0,,31.0,8180.0,
2014-03,monthly,Whole,pxdata.stat.fi (StatFin 121d),10.0,37.0,,5881.0,3653.0,,45.0,9626.0,
2014-04,monthly,Whole,pxdata.stat.fi (StatFin 121d),21.0,26.0,,5574.0,3645.0,,51.0,9317.0,
2014-05,monthly,Whole,pxdata.stat.fi (StatFin 121d),21.0,19.0,,6335.0,3715.0,,24.0,10114.0,
2014-06,monthly,Whole,pxdata.stat.fi (StatFin 121d),8.0,20.0,,5635.0,3506.0,,40.0,9209.0,
2014-07,monthly,Whole,pxdata.stat.fi (StatFin 121d),12.0,18.0,,4873.0,3077.0,,37.0,8017.0,
2014-08,monthly,Whole,pxdata.stat.fi (StatFin 121d),13.0,23.0,,4572.0,2875.0,,42.0,7525.0,
2014-09,monthly,Whole,pxdata.stat.fi (StatFin 121d),22.0,17.0,,5239.0,3092.0,,32.0,8402.0,
2014-10,monthly,Whole,pxdata.stat.fi (StatFin 121d),33.0,23.0,,5384.0,3363.0,,35.0,8838.0,
2014-11,monthly,Whole,pxdata.stat.fi (StatFin 121d),6.0,21.0,,4399.0,2758.0,,35.0,7219.0,
2014-12,monthly,Whole,pxdata.stat.fi (StatFin 121d),22.0,29.0,,3601.0,3400.0,,40.0,7092.0,
2015-01,monthly,Whole,pxdata.stat.fi (StatFin 121d),13.0,25.0,,5867.0,4311.0,,52.0,10268.0,
2015-02,monthly,Whole,pxdata.stat.fi (StatFin 121d),10.0,29.0,,4637.0,3290.0,,24.0,7990.0,
2015-03,monthly,Whole,pxdata.stat.fi (StatFin 121d),42.0,26.0,,7272.0,3730.0,,28.0,11098.0,
2015-04,monthly,Whole,pxdata.stat.fi (StatFin 121d),18.0,45.0,,6011.0,3543.0,,20.0,9637.0,
2015-05,monthly,Whole,pxdata.stat.fi (StatFin 121d),21.0,46.0,,5991.0,3032.0,,27.0,9117.0,
2015-06,monthly,Whole,pxdata.stat.fi (StatFin 121d),20.0,37.0,,5702.0,3196.0,,25.0,8980.0,
2015-07,monthly,Whole,pxdata.stat.fi (StatFin 121d),34.0,30.0,,5840.0,2803.0,,16.0,8723.0,
2015-08,monthly,Whole,pxdata.stat.fi (StatFin 121d),15.0,36.0,,5652.0,2682.0,,17.0,8402.0,
2015-09,monthly,Whole,pxdata.stat.fi (StatFin 121d),33.0,36.0,,5493.0,2946.0,,7.0,8515.0,
2015-10,monthly,Whole,pxdata.stat.fi (StatFin 121d),16.0,37.0,,6019.0,3079.0,,16.0,9167.0,
2015-11,monthly,Whole,pxdata.stat.fi (StatFin 121d),11.0,24.0,,5927.0,3020.0,,15.0,8997.0,
2015-12,monthly,Whole,pxdata.stat.fi (StatFin 121d),10.0,43.0,,4659.0,3197.0,,16.0,7925.0,
2016-01,monthly,Whole,pxdata.stat.fi (StatFin 121d),15.0,89.0,,7471.0,4204.0,,15.0,11794.0,
2016-02,monthly,Whole,pxdata.stat.fi (StatFin 121d),34.0,127.0,,6084.0,3409.0,,12.0,9666.0,
2016-03,monthly,Whole,pxdata.stat.fi (StatFin 121d),28.0,97.0,,7796.0,3714.0,,19.0,11654.0,
2016-04,monthly,Whole,pxdata.stat.fi (StatFin 121d),13.0,82.0,,7285.0,3691.0,,17.0,11088.0,
2016-05,monthly,Whole,pxdata.stat.fi (StatFin 121d),9.0,74.0,,6851.0,3569.0,,20.0,10523.0,
2016-06,monthly,Whole,pxdata.stat.fi (StatFin 121d),13.0,102.0,,7141.0,3484.0,,13.0,10753.0,
2016-07,monthly,Whole,pxdata.stat.fi (StatFin 121d),11.0,94.0,,5566.0,2663.0,,11.0,8345.0,
2016-08,monthly,Whole,pxdata.stat.fi (StatFin 121d),12.0,71.0,,6294.0,2805.0,,19.0,9201.0,
2016-09,monthly,Whole,pxdata.stat.fi (StatFin 121d),29.0,117.0,,6542.0,2955.0,,8.0,9651.0,
2016-10,monthly,Whole,pxdata.stat.fi (StatFin 121d),14.0,122.0,,6035.0,2980.0,,15.0,9166.0,
2016-11,monthly,Whole,pxdata.stat.fi (StatFin 121d),7.0,121.0,,5805.0,3059.0,,16.0,9008.0,
2016-12,monthly,Whole,pxdata.stat.fi (StatFin 121d),38.0,112.0,,5057.0,2930.0,,14.0,8151.0,
2017-01,monthly,Whole,pxdata.stat.fi (StatFin 121d),46.0,189.0,,7877.0,4614.0,,18.0,12744.0,
2017-02,monthly,Whole,pxdata.stat.fi (StatFin 121d),27.0,123.0,,5917.0,3092.0,,9.0,9168.0,
