period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,FLEXFUEL,OTHERS,TOTAL,notes
2014-01,monthly,HDV,pxdata.stat.fi (StatFin 121d),0.0,0.0,,2.0,228.0,,0.0,230.0,
2014-02,monthly,HDV,pxdata.stat.fi (StatFin 121d),0.0,0.0,,3.0,221.0,,2.0,226.0,
2014-03,monthly,HDV,pxdata.stat.fi (StatFin 121d),0.0,0.0,,7.0,214.0,,0.0,221.0,
2014-04,monthly,HDV,pxdata.stat.fi (StatFin 121d),0.0,0.0,,1.0,192.0,,0.0,193.0,
2014-05,monthly,HDV,pxdata.stat.fi (StatFin 121d),0.0,0.0,,1.0,250.0,,4.0,255.0,
2014-06,monthly,HDV,pxdata.stat.fi (StatFin 121d),0.0,0.0,,3.0,219.0,,2.0,224.0,
2014-07,monthly,HDV,pxdata.stat.fi (StatFin 121d),0.0,0.0,,2.0,168.0,,0.0,170.0,
2014-08,monthly,HDV,pxdata.stat.fi (StatFin 121d),0.0,0.0,,1.0,180.0,,3.0,184.0,
2014-09,monthly,HDV,pxdata.stat.fi (StatFin 121d),0.0,0.0,,6.0,230.0,,0.0,236.0,
2014-10,monthly,HDV,pxdata.stat.fi (StatFin 121d),0.0,0.0,,2.0,249.0,,1.0,252.0,
2014-11,monthly,HDV,pxdata.stat.fi (StatFin 121d),0.0,0.0,,2.0,155.0,,0.0,157.0,
2014-12,monthly,HDV,pxdata.stat.fi (StatFin 121d),0.0,0.0,,2.0,210.0,,0.0,212.0,
2015-01,monthly,HDV,pxdata.stat.fi (StatFin 121d),0.0,0.0,,2.0,204.0,,0.0,206.0,
2015-02,monthly,HDV,pxdata.stat.fi (StatFin 121d),0.0,0.0,,4.0,178.0,,0.0,182.0,
2015-03,monthly,HDV,pxdata.stat.fi (StatFin 121d),0.0,0.0,,4.0,198.0,,0.0,202.0,
2015-04,monthly,HDV,pxdata.stat.fi (StatFin 121d),0.0,0.0,,2.0,247.0,,0.0,249.0,
