period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,FLEXFUEL,OTHERS,TOTAL,notes
2014-01,monthly,Industry,pxdata.stat.fi (StatFin 121d),4.0,13.0,,1928.0,2129.0,,22.0,4096.0,
2014-02,monthly,Industry,pxdata.stat.fi (StatFin 121d),9.0,5.0,,1172.0,1565.0,,8.0,2759.0,
2014-03,monthly,Industry,pxdata.stat.fi (StatFin 121d),7.0,16.0,,1378.0,1775.0,,16.0,3192.0,
2014-04,monthly,Industry,pxdata.stat.fi (StatFin 121d),17.0,14.0,,1207.0,1672.0,,17.0,2927.0,
2014-05,monthly,Industry,pxdata.stat.fi (StatFin 121d),18.0,14.0,,1855.0,1862.0,,9.0,3758.0,
2014-06,monthly,Industry,pxdata.stat.fi (StatFin 121d),8.0,10.0,,1644.0,1902.0,,24.0,3588.0,
2014-07,monthly,Industry,pxdata.stat.fi (StatFin 121d),10.0,11.0,,1206.0,1530.0,,14.0,2771.0,
2014-08,monthly,Industry,pxdata.stat.fi (StatFin 121d),10.0,19.0,,1168.0,1638.0,,22.0,2857.0,
2014-09,monthly,Industry,pxdata.stat.fi (StatFin 121d),20.0,13.0,,1381.0,1709.0,,20.0,3143.0,
2014-10,monthly,Industry,pxdata.stat.fi (StatFin 121d),29.0,18.0,,1209.0,1953.0,,21.0,3230.0,
2014-11,monthly,Industry,pxdata.stat.fi (StatFin 121d),6.0,17.0,,1208.0,1693.0,,22.0,2946.0,
2014-12,monthly,Industry,pxdata.stat.fi (StatFin 121d),21.0,26.0,,1289.0,2546.0,,28.0,3910.0,
2015-01,monthly,Industry,pxdata.stat.fi (StatFin 121d),11.0,13.0,,1536.0,2069.0,,31.0,3660.0,
2015-02,monthly,Industry,pxdata.stat.fi (StatFin 121d),8.0,17.0,,1096.0,1798.0,,17.0,2936.0,
2015-03,monthly,Industry,pxdata.stat.fi (StatFin 121d),12.0,13.0,,1806.0,1929.0,,18.0,3778.0,
2015-04,monthly,Industry,pxdata.stat.fi (StatFin 121d),13.0,27.0,,1369.0,1659.0,,12.0,3080.0,
2015-05,monthly,Industry,pxdata.stat.fi (StatFin 121d),16.0,26.0,,1677.0,1537.0,,11.0,3267.0,
2015-06,monthly,Industry,pxdata.stat.fi (StatFin 121d),19.0,24.0,,1934.0,1710.0,,10.0,3697.0,
2015-07,monthly,Industry,pxdata.stat.fi (StatFin 121d),25.0,14.0,,1371.0,1352.0,,11.0,2773.0,
2015-08,monthly,Industry,pxdata.stat.fi (StatFin 121d),11.0,24.0,,1135.0,1473.0,,11.0,2654.0,
2015-09,monthly,Industry,pxdata.stat.fi (StatFin 121d),25.0,28.0,,1301.0,1643.0,,5.0,3002.0,
2015-10,monthly,Industry,pxdata.stat.fi (StatFin 121d),10.0,26.0,,1127.0,1635.0,,8.0,2806.0,
2015-11,monthly,Industry,pxdata.stat.fi (StatFin 121d),9.0,17.0,,1026.0,1696.0,,7.0,2755.0,
2015-12,monthly,Industry,pxdata.stat.fi (StatFin 121d),7.0,35.0,,1340.0,2095.0,,11.0,3488.0,
2016-01,monthly,Industry,pxdata.stat.fi (StatFin 121d),10.0,40.0,,1713.0,1704.0,,10.0,3477.0,
2016-02,monthly,Industry,pxdata.stat.fi (StatFin 121d),32.0,82.0,,1438.0,1667.0,,7.0,3226.0,
2016-03,monthly,Industry,pxdata.stat.fi (StatFin 121d),17.0,56.0,,1698.0,1779.0,,12.0,3562.0,
2016-04,monthly,Industry,pxdata.stat.fi (StatFin 121d),11.0,43.0,,1488.0,1746.0,,10.0,3298.0,
2016-05,monthly,Industry,pxdata.stat.fi (StatFin 121d),6.0,44.0,,1880.0,1927.0,,14.0,3871.0,
2016-06,monthly,Industry,pxdata.stat.fi (StatFin 121d),3.0,45.0,,1956.0,1919.0,,11.0,3934.0,
2016-07,monthly,Industry,pxdata.stat.fi (StatFin 121d),5.0,46.0,,1105.0,1321.0,,7.0,2484.0,
2016-08,monthly,Industry,pxdata.stat.fi (StatFin 121d),8.0,41.0,,1341.0,1433.0,,17.0,2840.0,
2016-09,monthly,Industry,pxdata.stat.fi (StatFin 121d),10.0,74.0,,1648.0,1525.0,,4.0,3261.0,
2016-10,monthly,Industry,pxdata.stat.fi (StatFin 121d),11.0,77.0,,1373.0,1566.0,,6.0,3033.0,
2016-11,monthly,Industry,pxdata.stat.fi (StatFin 121d),6.0,75.0,,1154.0,1764.0,,14.0,3013.0,
2016-12,monthly,Industry,pxdata.stat.fi (StatFin 121d),16.0,84.0,,1426.0,1935.0,,8.0,3469.0,
2017-01,monthly,Industry,pxdata.stat.fi (StatFin 121d),29.0,86.0,,1812.0,1931.0,,11.0,3869.0,
2017-02,monthly,Industry,pxdata.stat.fi (StatFin 121d),16.0,58.0,,1297.0,1614.0,,5.0,2990.0,
2017-03,monthly,Industry,pxdata.stat.fi (StatFin 121d),30.0,79.0,,1608.0,1777.0,,8.0,3502.0,
2017-04,monthly,Industry,pxdata.stat.fi (StatFin 121d),25.0,96.0,,1253.0,1531.0,,5.0,2910.0,
2017-05,monthly,Industry,pxdata.stat.fi (StatFin 121d),26.0,101.0,,1905.0,2019.0,,13.0,4064.0,
2017-06,monthly,Industry,pxdata.stat.fi (StatFin 121d),27.0,97.0,,2318.0,1932.0,,15.0,4389.0,
2017-07,monthly,Industry,pxdata.stat.fi (StatFin 121d),14.0,98.0,,1345.0,1331.0,,15.0,2803.0,
2017-08,monthly,Industry,pxdata.stat.fi (StatFin 121d),20.0,112.0,,1406.0,1570.0,,27.0,3135.0,
2017-09,monthly,Industry,pxdata.stat.fi (StatFin 121d),27.0,146.0,,1464.0,1610.0,,24.0,3271.0,
2017-10,monthly,Industry,pxdata.stat.fi (StatFin 121d),10.0,143.0,,1416.0,1447.0,,29.0,3045.0,
