period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,FLEXFUEL,OTHERS,TOTAL,notes
2014-01,monthly,Private,pxdata.stat.fi (StatFin 121d),1.0,7.0,,5714.0,2846.0,,33.0,8601.0,
2014-02,monthly,Private,pxdata.stat.fi (StatFin 121d),1.0,5.0,,3663.0,1729.0,,23.0,5421.0,
2014-03,monthly,Private,pxdata.stat.fi (StatFin 121d),3.0,21.0,,4503.0,1878.0,,29.0,6434.0,
2014-04,monthly,Private,pxdata.stat.fi (StatFin 121d),4.0,12.0,,4367.0,1973.0,,34.0,6390.0,
2014-05,monthly,Private,pxdata.stat.fi (StatFin 121d),3.0,5.0,,4480.0,1853.0,,15.0,6356.0,
2014-06,monthly,Private,pxdata.stat.fi (StatFin 121d),0.0,10.0,,3991.0,1604.0,,16.0,5621.0,
2014-07,monthly,Private,pxdata.stat.fi (StatFin 121d),2.0,7.0,,3667.0,1547.0,,23.0,5246.0,
2014-08,monthly,Private,pxdata.stat.fi (StatFin 121d),3.0,4.0,,3404.0,1237.0,,20.0,4668.0,
2014-09,monthly,Private,pxdata.stat.fi (StatFin 121d),2.0,4.0,,3858.0,1383.0,,12.0,5259.0,
2014-10,monthly,Private,pxdata.stat.fi (StatFin 121d),4.0,5.0,,4175.0,1410.0,,14.0,5608.0,
2014-11,monthly,Private,pxdata.stat.fi (StatFin 121d),0.0,4.0,,3191.0,1065.0,,13.0,4273.0,
2014-12,monthly,Private,pxdata.stat.fi (StatFin 121d),1.0,3.0,,2312.0,854.0,,12.0,3182.0,
2015-01,monthly,Private,pxdata.stat.fi (StatFin 121d),2.0,12.0,,4331.0,2242.0,,21.0,6608.0,
2015-02,monthly,Private,pxdata.stat.fi (StatFin 121d),2.0,12.0,,3541.0,1492.0,,7.0,5054.0,
2015-03,monthly,Private,pxdata.stat.fi (StatFin 121d),30.0,13.0,,5466.0,1801.0,,10.0,7320.0,
2015-04,monthly,Private,pxdata.stat.fi (StatFin 121d),5.0,18.0,,4642.0,1884.0,,8.0,6557.0,
