period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,FLEXFUEL,OTHERS,TOTAL,notes
2014-01,monthly,Vans,pxdata.stat.fi (StatFin 121d),0.0,0.0,,10.0,994.0,,0.0,1004.0,
2014-02,monthly,Vans,pxdata.stat.fi (StatFin 121d),0.0,0.0,,6.0,828.0,,0.0,834.0,
2014-03,monthly,Vans,pxdata.stat.fi (StatFin 121d),0.0,0.0,,9.0,855.0,,0.0,864.0,
2014-04,monthly,Vans,pxdata.stat.fi (StatFin 121d),0.0,0.0,,13.0,871.0,,1.0,885.0,
2014-05,monthly,Vans,pxdata.stat.fi (StatFin 121d),0.0,0.0,,5.0,872.0,,4.0,881.0,
2014-06,monthly,Vans,pxdata.stat.fi (StatFin 121d),0.0,0.0,,6.0,928.0,,0.0,934.0,
2014-07,monthly,Vans,pxdata.stat.fi (StatFin 121d),0.0,0.0,,11.0,705.0,,0.0,716.0,
2014-08,monthly,Vans,pxdata.stat.fi (StatFin 121d),4.0,0.0,,7.0,885.0,,2.0,898.0,
2014-09,monthly,Vans,pxdata.stat.fi (StatFin 121d),1.0,0.0,,6.0,923.0,,2.0,932.0,
2014-10,monthly,Vans,pxdata.stat.fi (StatFin 121d),3.0,0.0,,11.0,959.0,,1.0,974.0,
2014-11,monthly,Vans,pxdata.stat.fi (StatFin 121d),1.0,0.0,,7.0,809.0,,1.0,818.0,
2014-12,monthly,Vans,pxdata.stat.fi (StatFin 121d),11.0,0.0,,7.0,867.0,,0.0,885.0,
2015-01,monthly,Vans,pxdata.stat.fi (StatFin 121d),5.0,0.0,,8.0,944.0,,2.0,959.0,
2015-02,monthly,Vans,pxdata.stat.fi (StatFin 121d),8.0,0.0,,11.0,895.0,,0.0,914.0,
2015-03,monthly,Vans,pxdata.stat.fi (StatFin 121d),3.0,0.0,,9.0,1059.0,,1.0,1072.0,
2015-04,monthly,Vans,pxdata.stat.fi (StatFin 121d),2.0,0.0,,7.0,952.0,,0.0,961.0,
2015-05,monthly,Vans,pxdata.stat.fi (StatFin 121d),3.0,0.0,,15.0,908.0,,2.0,928.0,
2015-06,monthly,Vans,pxdata.stat.fi (StatFin 121d),9.0,0.0,,7.0,977.0,,3.0,996.0,
2015-07,monthly,Vans,pxdata.stat.fi (StatFin 121d),1.0,0.0,,4.0,738.0,,1.0,744.0,
2015-08,monthly,Vans,pxdata.stat.fi (StatFin 121d),6.0,0.0,,3.0,945.0,,0.0,954.0,
2015-09,monthly,Vans,pxdata.stat.fi (StatFin 121d),1.0,0.0,,19.0,936.0,,1.0,957.0,
2015-10,monthly,Vans,pxdata.stat.fi (StatFin 121d),0.0,0.0,,5.0,953.0,,2.0,960.0,
2015-11,monthly,Vans,pxdata.stat.fi (StatFin 121d),1.0,0.0,,11.0,948.0,,3.0,963.0,
2015-12,monthly,Vans,pxdata.stat.fi (StatFin 121d),4.0,0.0,,7.0,1008.0,,3.0,1022.0,
2016-01,monthly,Vans,pxdata.stat.fi (StatFin 121d),4.0,0.0,,19.0,1124.0,,2.0,1149.0,
2016-02,monthly,Vans,pxdata.stat.fi (StatFin 121d),3.0,0.0,,4.0,977.0,,2.0,986.0,
2016-03,monthly,Vans,pxdata.stat.fi (StatFin 121d),10.0,0.0,,15.0,1072.0,,1.0,1098.0,
2016-04,monthly,Vans,pxdata.stat.fi (StatFin 121d),3.0,1.0,,18.0,1166.0,,1.0,1189.0,
2016-05,monthly,Vans,pxdata.stat.fi (StatFin 121d),1.0,0.0,,6.0,1062.0,,2.0,1071.0,
2016-06,monthly,Vans,pxdata.stat.fi (StatFin 121d),8.0,0.0,,31.0,1154.0,,2.0,1195.0,
2016-07,monthly,Vans,pxdata.stat.fi (StatFin 121d),3.0,0.0,,0.0,777.0,,0.0,780.0,
2016-08,monthly,Vans,pxdata.stat.fi (StatFin 121d),12.0,0.0,,12.0,1285.0,,2.0,1311.0,
2016-09,monthly,Vans,pxdata.stat.fi (StatFin 121d),3.0,0.0,,7.0,1158.0,,1.0,1169.0,
2016-10,monthly,Vans,pxdata.stat.fi (StatFin 121d),8.0,0.0,,6.0,1024.0,,4.0,1042.0,
2016-11,monthly,Vans,pxdata.stat.fi (StatFin 121d),3.0,1.0,,6.0,1170.0,,4.0,1184.0,
2016-12,monthly,Vans,pxdata.stat.fi (StatFin 121d),1.0,1.0,,9.0,1337.0,,3.0,1351.0,
2017-01,monthly,Vans,pxdata.stat.fi (StatFin 121d),8.0,0.0,,17.0,1413.0,,2.0,1440.0,
2017-02,monthly,Vans,pxdata.stat.fi (StatFin 121d),2.0,0.0,,7.0,1213.0,,5.0,1227.0,
2017-03,monthly,Vans,pxdata.stat.fi (StatFin 121d),4.0,0.0,,13.0,1506.0,,2.0,1525.0,
2017-04,monthly,Vans,pxdata.stat.fi (StatFin 121d),3.0,2.0,,6.0,1285.0,,1.0,1297.0,
2017-05,monthly,Vans,pxdata.stat.fi (StatFin 121d),3.0,1.0,,6.0,1455.0,,2.0,1467.0,
2017-06,monthly,Vans,pxdata.stat.fi (StatFin 121d),3.0,0.0,,14.0,1390.0,,1.0,1408.0,
2017-07,monthly,Vans,pxdata.stat.fi (StatFin 121d),0.0,0.0,,8.0,887.0,,0.0,895.0,
2017-08,monthly,Vans,pxdata.stat.fi (StatFin 121d),7.0,0.0,,10.0,1242.0,,2.0,1261.0,
2017-09,monthly,Vans,pxdata.stat.fi (StatFin 121d),7.0,1.0,,13.0,1378.0,,25.0,1424.0,
2017-10,monthly,Vans,pxdata.stat.fi (StatFin 121d),1.0,0.0,,12.0,1070.0,,3.0,1086.0,
2017-11,monthly,Vans,pxdata.stat.fi (StatFin 121d),2.0,1.0,,11.0,1373.0,,2.0,1389.0,
2017-12,monthly,Vans,pxdata.stat.fi (StatFin 121d),4.0,1.0,,8.0,1091.0,,2.0,1106.0,
2018-01,monthly,Vans,pxdata.stat.fi (StatFin 121d),1.0,3.0,,17.0,1485.0,,2.0,1508.0,
2018-02,monthly,Vans,pxdata.stat.fi (StatFin 121d),0.0,0.0,,10.0,1188.0,,6.0,1204.0,
2018-03,monthly,Vans,pxdata.stat.fi (StatFin 121d),0.0,0.0,,15.0,1480.0,,3.0,1498.0,
2018-04,monthly,Vans,pxdata.stat.fi (StatFin 121d),0.0,0.0,,7.0,1431.0,,2.0,1440.0,
2018-05,monthly,Vans,pxdata.stat.fi (StatFin 121d),2.0,0.0,,8.0,1578.0,,2.0,1590.0,
2018-06,monthly,Vans,pxdata.stat.fi (StatFin 121d),8.0,1.0,,20.0,1381.0,,2.0,1412.0,
2018-07,monthly,Vans,pxdata.stat.fi (StatFin 121d),11.0,2.0,,12.0,842.0,,3.0,870.0,
2018-08,monthly,Vans,pxdata.stat.fi (StatFin 121d),8.0,0.0,,31.0,1017.0,,7.0,1063.0,
2018-09,monthly,Vans,pxdata.stat.fi (StatFin 121d),2.0,3.0,,4.0,1204.0,,1.0,1214.0,
2018-10,monthly,Vans,pxdata.stat.fi (StatFin 121d),4.0,0.0,,8.0,1334.0,,6.0,1352.0,
2018-11,monthly,Vans,pxdata.stat.fi (StatFin 121d),7.0,0.0,,25.0,1223.0,,5.0,1260.0,
2018-12,monthly,Vans,pxdata.stat.fi (StatFin 121d),3.0,0.0,,20.0,1079.0,,2.0,1104.0,
2019-01,monthly,Vans,pxdata.stat.fi (StatFin 121d),7.0,0.0,,18.0,1464.0,,4.0,1493.0,
2019-02,monthly,Vans,pxdata.stat.fi (StatFin 121d),5.0,0.0,,9.0,1040.0,,2.0,1056.0,
2019-03,monthly,Vans,pxdata.stat.fi (StatFin 121d),11.0,1.0,,17.0,1348.0,,3.0,1380.0,
2019-04,monthly,Vans,pxdata.stat.fi (StatFin 121d),2.0,0.0,,18.0,1330.0,,19.0,1369.0,
2019-05,monthly,Vans,pxdata.stat.fi (StatFin 121d),3.0,0.0,,15.0,1303.0,,6.0,1327.0,
2019-06,monthly,Vans,pxdata.stat.fi (StatFin 121d),9.0,0.0,,15.0,1317.0,,3.0,1344.0,
2019-07,monthly,Vans,pxdata.stat.fi (StatFin 121d),5.0,0.0,,15.0,888.0,,1.0,909.0,
2019-08,monthly,Vans,pxdata.stat.fi (StatFin 121d),4.0,0.0,,21.0,1590.0,,2.0,1617.0,
2019-09,monthly,Vans,pxdata.stat.fi (StatFin 121d),4.0,0.0,,8.0,922.0,,2.0,936.0,
2019-10,monthly,Vans,pxdata.stat.fi (StatFin 121d),4.0,0.0,,20.0,1096.0,,4.0,1124.0,
2019-11,monthly,Vans,pxdata.stat.fi (StatFin 121d),2.0,0.0,,15.0,1005.0,,8.0,1030.0,
2019-12,monthly,Vans,pxdata.stat.fi (StatFin 121d),2.0,1.0,,18.0,1094.0,,4.0,1119.0,
2020-01,monthly,Vans,pxdata.stat.fi (StatFin 121d),3.0,1.0,,23.0,1242.0,,5.0,1274.0,
2020-02,monthly,Vans,pxdata.stat.fi (StatFin 121d),5.0,0.0,,17.0,991.0,,5.0,1018.0,
2020-03,monthly,Vans,pxdata.stat.fi (StatFin 121d),5.0,3.0,,18.0,1192.0,,3.0,1221.0,
2020-04,monthly,Vans,pxdata.stat.fi (StatFin 121d),6.0,1.0,,11.0,942.0,,10.0,970.0,
2020-05,monthly,Vans,pxdata.stat.fi (StatFin 121d),2.0,3.0,,10.0,896.0,,1.0,912.0,
2020-06,monthly,Vans,pxdata.stat.fi (StatFin 121d),11.0,1.0,,15.0,840.0,,4.0,871.0,
2020-07,monthly,Vans,pxdata.stat.fi (StatFin 121d),3.0,9.0,,10.0,731.0,,1.0,754.0,
2020-08,monthly,Vans,pxdata.stat.fi (StatFin 121d),15.0,6.0,,27.0,981.0,,9.0,1038.0,
2020-09,monthly,Vans,pxdata.stat.fi (StatFin 121d),12.0,5.0,,13.0,1127.0,,1.0,1158.0,
2020-10,monthly,Vans,pxdata.stat.fi (StatFin 121d),11.0,1.0,,13.0,1182.0,,7.0,1214.0,
2020-11,monthly,Vans,pxdata.stat.fi (StatFin 121d),15.0,3.0,,26.0,1020.0,,8.0,1072.0,
2020-12,monthly,Vans,pxdata.stat.fi (StatFin 121d),41.0,6.0,,14.0,1271.0,,8.0,1340.0,
2021-01,monthly,Vans,pxdata.stat.fi (StatFin 121d),15.0,3.0,,20.0,1262.0,,3.0,1303.0,
2021-02,monthly,Vans,pxdata.stat.fi (StatFin 121d),20.0,1.0,,18.0,951.0,,0.0,990.0,
2021-03,monthly,Vans,pxdata.stat.fi (StatFin 121d),34.0,4.0,,19.0,1389.0,,0.0,1446.0,
2021-04,monthly,Vans,pxdata.stat.fi (StatFin 121d),33.0,7.0,,13.0,1041.0,,1.0,1095.0,
2021-05,monthly,Vans,pxdata.stat.fi (StatFin 121d),33.0,4.0,,21.0,1107.0,,1.0,1166.0,
2021-06,monthly,Vans,pxdata.stat.fi (StatFin 121d),24.0,3.0,,40.0,1231.0,,2.0,1300.0,
2021-07,monthly,Vans,pxdata.stat.fi (StatFin 121d),22.0,2.0,,18.0,685.0,,0.0,727.0,
2021-08,monthly,Vans,pxdata.stat.fi (StatFin 121d),21.0,5.0,,13.0,969.0,,0.0,1008.0,
2021-09,monthly,Vans,pxdata.stat.fi (StatFin 121d),6.0,2.0,,17.0,1030.0,,4.0,1059.0,
2021-10,monthly,Vans,pxdata.stat.fi (StatFin 121d),48.0,2.0,,12.0,881.0,,0.0,943.0,
2021-11,monthly,Vans,pxdata.stat.fi (StatFin 121d),46.0,3.0,,17.0,838.0,,4.0,908.0,
2021-12,monthly,Vans,pxdata.stat.fi (StatFin 121d),38.0,2.0,,14.0,892.0,,3.0,949.0,
2022-01,monthly,Vans,pxdata.stat.fi (StatFin 121d),29.0,0.0,,12.0,966.0,,1.0,1008.0,
2022-02,monthly,Vans,pxdata.stat.fi (StatFin 121d),25.0,3.0,,10.0,894.0,,2.0,934.0,
2022-03,monthly,Vans,pxdata.stat.fi (StatFin 121d),43.0,8.0,,12.0,980.0,,3.0,1046.0,
2022-04,monthly,Vans,pxdata.stat.fi (StatFin 121d),33.0,2.0,,16.0,735.0,,2.0,788.0,
2022-05,monthly,Vans,pxdata.stat.fi (StatFin 121d),39.0,4.0,,15.0,796.0,,2.0,856.0,
2022-06,monthly,Vans,pxdata.stat.fi (StatFin 121d),46.0,1.0,,6.0,854.0,,0.0,907.0,
2022-07,monthly,Vans,pxdata.stat.fi (StatFin 121d),55.0,2.0,,8.0,533.0,,0.0,598.0,
2022-08,monthly,Vans,pxdata.stat.fi (StatFin 121d),44.0,1.0,,18.0,986.0,,0.0,1049.0,
2022-09,monthly,Vans,pxdata.stat.fi (StatFin 121d),92.0,1.0,,13.0,961.0,,0.0,1067.0,
2022-10,monthly,Vans,pxdata.stat.fi (StatFin 121d),84.0,3.0,,20.0,827.0,,0.0,934.0,
2022-11,monthly,Vans,pxdata.stat.fi (StatFin 121d),79.0,0.0,,11.0,855.0,,0.0,945.0,
2022-12,monthly,Vans,pxdata.stat.fi (StatFin 121d),115.0,2.0,,8.0,936.0,,0.0,1061.0,
2023-01,monthly,Vans,pxdata.stat.fi (StatFin 121d),125.0,0.0,,7.0,723.0,,0.0,855.0,
2023-02,monthly,Vans,pxdata.stat.fi (StatFin 121d),161.0,0.0,,11.0,607.0,,3.0,782.0,
2023-03,monthly,Vans,pxdata.stat.fi (StatFin 121d),148.0,1.0,,13.0,745.0,,2.0,909.0,
2023-04,monthly,Vans,pxdata.stat.fi (StatFin 121d),101.0,1.0,,11.0,692.0,,0.0,805.0,
2023-05,monthly,Vans,pxdata.stat.fi (StatFin 121d),140.0,0.0,,15.0,1008.0,,6.0,1169.0,
2023-06,monthly,Vans,pxdata.stat.fi (StatFin 121d),168.0,3.0,,5.0,1002.0,,0.0,1178.0,
2023-07,monthly,Vans,pxdata.stat.fi (StatFin 121d),99.0,1.0,,15.0,552.0,,0.0,667.0,
2023-08,monthly,Vans,pxdata.stat.fi (StatFin 121d),140.0,0.0,,8.0,825.0,,0.0,973.0,
2023-09,monthly,Vans,pxdata.stat.fi (StatFin 121d),160.0,1.0,,12.0,965.0,,1.0,1139.0,
2023-10,monthly,Vans,pxdata.stat.fi (StatFin 121d),95.0,1.0,,10.0,708.0,,2.0,816.0,
2023-11,monthly,Vans,pxdata.stat.fi (StatFin 121d),119.0,3.0,,3.0,745.0,,0.0,870.0,
2023-12,monthly,Vans,pxdata.stat.fi (StatFin 121d),133.0,3.0,,3.0,720.0,,1.0,860.0,
2024-01,monthly,Vans,pxdata.stat.fi (StatFin 121d),104.0,2.0,,8.0,671.0,,0.0,785.0,
2024-02,monthly,Vans,pxdata.stat.fi (StatFin 121d),69.0,3.0,,13.0,674.0,,5.0,764.0,
2024-03,monthly,Vans,pxdata.stat.fi (StatFin 121d),104.0,0.0,,6.0,804.0,,0.0,914.0,
2024-04,monthly,Vans,pxdata.stat.fi (StatFin 121d),74.0,1.0,,9.0,805.0,,0.0,889.0,
2024-05,monthly,Vans,pxdata.stat.fi (StatFin 121d),74.0,2.0,,6.0,805.0,,2.0,889.0,
2024-06,monthly,Vans,pxdata.stat.fi (StatFin 121d),99.0,0.0,,9.0,912.0,,3.0,1023.0,
2024-07,monthly,Vans,pxdata.stat.fi (StatFin 121d),53.0,1.0,,6.0,529.0,,0.0,589.0,
2024-08,monthly,Vans,pxdata.stat.fi (StatFin 121d),83.0,3.0,,16.0,863.0,,0.0,965.0,
2024-09,monthly,Vans,pxdata.stat.fi (StatFin 121d),96.0,3.0,,9.0,580.0,,0.0,688.0,
2024-10,monthly,Vans,pxdata.stat.fi (StatFin 121d),172.0,5.0,,11.0,568.0,,0.0,756.0,
2024-11,monthly,Vans,pxdata.stat.fi (StatFin 121d),138.0,23.0,,7.0,527.0,,0.0,695.0,
2024-12,monthly,Vans,pxdata.stat.fi (StatFin 121d),169.0,27.0,,11.0,573.0,,0.0,780.0,
2025-01,monthly,Vans,pxdata.stat.fi (StatFin 121d),146.0,46.0,,9.0,750.0,,0.0,951.0,
2025-02,monthly,Vans,pxdata.stat.fi (StatFin 121d),93.0,18.0,,7.0,651.0,,0.0,769.0,
2025-03,monthly,Vans,pxdata.stat.fi (StatFin 121d),130.0,24.0,,20.0,824.0,,0.0,998.0,
2025-04,monthly,Vans,pxdata.stat.fi (StatFin 121d),192.0,15.0,,7.0,713.0,,0.0,927.0,
2025-05,monthly,Vans,pxdata.stat.fi (StatFin 121d),211.0,21.0,,4.0,722.0,,0.0,958.0,
2025-06,monthly,Vans,pxdata.stat.fi (StatFin 121d),182.0,37.0,,17.0,798.0,,1.0,1035.0,
2025-07,monthly,Vans,pxdata.stat.fi (StatFin 121d),103.0,43.0,,3.0,480.0,,0.0,629.0,
2025-08,monthly,Vans,pxdata.stat.fi (StatFin 121d),110.0,33.0,,8.0,651.0,,0.0,802.0,
2025-09,monthly,Vans,pxdata.stat.fi (StatFin 121d),173.0,44.0,,7.0,694.0,,0.0,918.0,
2025-10,monthly,Vans,pxdata.stat.fi (StatFin 121d),143.0,55.0,,8.0,557.0,,0.0,763.0,
2025-11,monthly,Vans,pxdata.stat.fi (StatFin 121d),160.0,46.0,,11.0,568.0,,0.0,785.0,
2025-12,monthly,Vans,pxdata.stat.fi (StatFin 121d),270.0,56.0,,8.0,566.0,,0.0,900.0,
2026-01,monthly,Vans,pxdata.stat.fi (StatFin 121d),77.0,44.0,,5.0,582.0,,0.0,708.0,
2026-02,monthly,Vans,pxdata.stat.fi (StatFin 121d),90.0,30.0,,12.0,597.0,,0.0,729.0,
2026-03,monthly,Vans,pxdata.stat.fi (StatFin 121d),135.0,30.0,,8.0,683.0,,0.0,856.0,
2026-04,monthly,Vans,pxdata.stat.fi (StatFin 121d),106.0,33.0,,8.0,727.0,,0.0,874.0,
