period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2015-01,quarterly,Whole,ACEA,1371.4002624958196,843.196850050163,,,,,159766.6667,
2015-02,quarterly,Whole,ACEA,1369.7715802279388,862.7410372647373,,,,,159766.6667,
2015-03,quarterly,Whole,ACEA,1368.083778593517,882.9946568777976,,,,,159766.6667,
2015-04,quarterly,Whole,ACEA,1366.1423435665108,906.291877201872,,,,,159766.6667,
2015-05,quarterly,Whole,ACEA,1364.1368025519998,930.3583693760011,,,,,159766.6667,
2015-06,quarterly,Whole,ACEA,1363.4106647567985,939.0720229184196,,,,,159766.6667,
2015-07,quarterly,Whole,ACEA,1361.426652215951,962.8801734085877,,,,,159766.6667,
2015-08,quarterly,Whole,ACEA,1361.24947458959,965.0063049249201,,,,,159766.6667,
2015-09,quarterly,Whole,ACEA,1361.320502313257,964.1539722409152,,,,,159766.6667,
2015-10,quarterly,Whole,ACEA,1361.182756864965,965.8069176204197,,,,,159766.6667,
2015-11,quarterly,Whole,ACEA,1362.2927822192376,952.4866133691503,,,,,159766.6667,
2015-12,quarterly,Whole,ACEA,1340.5280350190344,1213.6635797715876,,,,,159766.6667,
2016-01,quarterly,Whole,ACEA,1715.2678518022094,1216.7857783734878,,,,,167933.3333,
2016-02,quarterly,Whole,ACEA,1715.1456038857377,1218.2527533711484,,,,,167933.3333,
2016-03,quarterly,Whole,ACEA,1715.9912206007946,1208.1053527904671,,,,,167933.3333,
2016-04,quarterly,Whole,ACEA,1715.5916230367231,1212.9005235593222,,,,,167933.3333,
2016-05,quarterly,Whole,ACEA,1715.377537801676,1215.4695463798903,,,,,167933.3333,
2016-06,quarterly,Whole,ACEA,1716.424318742316,1202.90817509221,,,,,167933.3333,
2016-07,quarterly,Whole,ACEA,1716.861954231148,1197.656549226225,,,,,167933.3333,
2016-08,quarterly,Whole,ACEA,1717.318431642612,1192.178820288655,,,,,167933.3333,
2016-09,quarterly,Whole,ACEA,1718.4119634671233,1179.05643839452,,,,,167933.3333,
2016-10,quarterly,Whole,ACEA,1718.467458180083,1178.3905018390037,,,,,167933.3333,
2016-11,quarterly,Whole,ACEA,1719.6594265001686,1164.0868819979771,,,,,167933.3333,
2016-12,quarterly,Whole,ACEA,1705.729504763476,1331.2459428382895,,,,,167933.3333,
2017-01,quarterly,Whole,ACEA,1963.9173991153575,1332.9912106157105,,,,,175891.6667,
2017-02,quarterly,Whole,ACEA,1964.6025397160872,1324.7695234069556,,,,,175891.6667,
2017-03,quarterly,Whole,ACEA,1965.8656129956908,1309.6126440517096,,,,,175891.6667,
2017-04,quarterly,Whole,ACEA,1965.966215340222,1308.4054159173343,,,,,175891.6667,
2017-05,quarterly,Whole,ACEA,1966.5038428311193,1301.953886026569,,,,,175891.6667,
2017-06,quarterly,Whole,ACEA,1967.4865217177257,1290.16173938729,,,,,175891.6667,
2017-07,quarterly,Whole,ACEA,1966.9524040467686,1296.5711514387758,,,,,175891.6667,
2017-08,quarterly,Whole,ACEA,1967.6701254280358,1287.9584948635713,,,,,175891.6667,
2017-09,quarterly,Whole,ACEA,1968.5181154842492,1277.7826141890107,,,,,175891.6667,
2017-10,quarterly,Whole,ACEA,1968.8972656261003,1273.2328124867954,,,,,175891.6667,
2017-11,quarterly,Whole,ACEA,1968.1478705361058,1282.225553566733,,,,,175891.6667,
2017-12,quarterly,Whole,ACEA,2002.500917908468,869.9889850983865,,,,,175891.6667,
2018-01,monthly,Whole,ACEA,1375.0,956.0,,99131.0,75349.0,229.0,156846.0,
2018-02,monthly,Whole,ACEA,2071.0,1067.0,,99131.0,75349.0,229.0,168893.0,
2018-03,monthly,Whole,ACEA,4214.0,1197.0,,99131.0,75349.0,229.0,231103.0,
2018-04,monthly,Whole,ACEA,1990.0,843.0,,114327.0,84384.0,322.0,187390.0,
2018-05,monthly,Whole,ACEA,2104.0,994.0,,114327.0,84384.0,322.0,191702.0,
2018-06,monthly,Whole,ACEA,3244.0,1428.0,,114327.0,84384.0,322.0,252216.0,
2018-07,monthly,Whole,ACEA,1691.0,660.0,,87012.0,60919.0,196.0,175392.0,
2018-08,monthly,Whole,ACEA,1611.0,1834.0,,87012.0,60919.0,196.0,150390.0,
2018-09,monthly,Whole,ACEA,2778.0,1023.0,,87012.0,60919.0,196.0,148750.0,
2018-10,monthly,Whole,ACEA,2952.0,936.0,,95586.0,60956.0,266.0,173798.0,
2018-11,monthly,Whole,ACEA,3690.0,1299.0,,95586.0,60956.0,266.0,171611.0,
2018-12,monthly,Whole,ACEA,4489.0,1152.0,,95586.0,60956.0,266.0,165390.0,
2019-01,monthly,Whole,ACEA,3059.0,1125.0,,107959.0,63653.0,337.0,155079.0,
2019-02,monthly,Whole,ACEA,2896.0,1261.0,,107959.0,63653.0,337.0,172438.0,
2019-03,monthly,Whole,ACEA,4619.0,1506.0,,107959.0,63653.0,337.0,225818.0,
2019-04,monthly,Whole,ACEA,3222.0,1304.0,,120738.0,69560.0,265.0,188195.0,
2019-05,monthly,Whole,ACEA,2736.0,1305.0,,120738.0,69560.0,265.0,193948.0,
2019-06,monthly,Whole,ACEA,4508.0,1338.0,,120738.0,69560.0,265.0,230964.0,
2019-07,monthly,Whole,ACEA,3147.0,1170.0,,91195.0,53213.0,963.0,172225.0,
2019-08,monthly,Whole,ACEA,2134.0,1389.0,,91195.0,53213.0,963.0,129257.0,
2019-09,monthly,Whole,ACEA,4211.0,1343.0,,91195.0,53213.0,963.0,173443.0,
2019-10,monthly,Whole,ACEA,4388.0,2037.0,,107372.0,65433.0,1335.0,188987.0,
2019-11,monthly,Whole,ACEA,3201.0,2333.0,,107372.0,65433.0,1335.0,172731.0,
2019-12,monthly,Whole,ACEA,4812.0,2438.0,,107372.0,65433.0,1335.0,211194.0,
2020-01,monthly,Whole,ACEA,10952.0,3813.0,,59193.0,40339.0,194.0,134229.0,
2020-02,monthly,Whole,ACEA,9454.0,3899.0,,59193.0,40339.0,194.0,167782.0,
2020-03,monthly,Whole,ACEA,5511.0,1807.0,,59193.0,40339.0,194.0,62668.0,
2020-04,monthly,Whole,ACEA,1218.0,428.0,,61796.0,33986.0,1181.0,20997.0,
2020-05,monthly,Whole,ACEA,4111.0,3056.0,,61796.0,33986.0,1181.0,96308.0,
2020-06,monthly,Whole,ACEA,13728.0,7308.0,,61796.0,33986.0,1181.0,233814.0,
2020-07,monthly,Whole,ACEA,9944.0,6949.0,,69981.0,46385.0,918.25,178980.0,
2020-08,monthly,Whole,ACEA,5594.0,5002.0,,69981.0,46385.0,914.5208333,103631.0,
2020-09,monthly,Whole,ACEA,10015.0,7501.0,,69981.0,46385.0,910.4809028,168289.0,
2020-10,monthly,Whole,ACEA,10045.0,10014.0,,67156.0,47348.0,906.1043113,171050.0,
2020-11,monthly,Whole,ACEA,9601.0,9144.0,,67156.0,47348.0,870.363004,126047.0,
2020-12,monthly,Whole,ACEA,20736.0,15666.0,,67156.0,47348.0,831.6432543,186323.0,
2021-01,monthly,Whole,ACEA,6473.0,8216.0,8589.0,64090.33333,35870.33333,3141.333333,126380.0,
2021-02,monthly,Whole,ACEA,8423.0,9098.0,12014.0,64090.33333,35870.33333,3141.333333,132637.0,
2021-03,monthly,Whole,ACEA,15592.0,14145.0,49935.0,64090.33333,35870.33333,3141.333333,182774.0,
2021-04,monthly,Whole,ACEA,9560.0,11272.0,14250.0,66149.0,34932.0,4263.0,140426.0,
2021-05,monthly,Whole,ACEA,11563.0,12953.0,11180.0,66149.0,34932.0,4263.0,141040.0,
2021-06,monthly,Whole,ACEA,20899.0,16569.0,56696.0,66149.0,34932.0,4263.0,199508.0,
2021-07,monthly,Whole,ACEA,7545.0,10803.0,29880.96981,43842.0,21345.0,2297.030192,115713.0,
2021-08,monthly,Whole,ACEA,9912.0,7510.0,3044.071459,43842.0,21345.0,2411.928541,88065.0,
2021-09,monthly,Whole,ACEA,16989.0,11853.0,37264.28748,43842.0,21345.0,2536.712517,133830.0,
2021-10,monthly,Whole,ACEA,15561.0,11250.0,14559.0,48419.0,24345.0,4387.0,118521.0,
2021-11,monthly,Whole,ACEA,16420.0,12211.0,16212.0,48419.0,24345.0,4387.0,121994.0,
2021-12,monthly,Whole,ACEA,23168.0,15559.0,42239.0,48419.0,24345.0,4387.0,158117.0,
2022-01,monthly,Whole,ACEA,10218.0,7983.0,23089.0,4007.0,38746.0,18856.0,102899.0,
2022-02,monthly,Whole,ACEA,13453.0,9754.0,23325.0,43763.0,20271.0,4817.0,115383.0,
2022-03,monthly,Whole,ACEA,19835.0,11595.0,29373.0,57478.0,21069.0,7728.0,147078.0,
2022-04,monthly,Whole,ACEA,12692.0,10216.0,24096.0,40731.0,17150.0,3839.0,108724.0,
2022-05,monthly,Whole,ACEA,15245.0,11267.0,28179.0,45857.0,22270.0,3991.0,126809.0,
2022-06,monthly,Whole,ACEA,21888.0,11923.0,36090.0,63031.0,30381.0,7774.0,171087.0,
2022-07,monthly,Whole,ACEA,12736.0,7340.0,24773.0,41558.0,17687.0,3453.0,107547.0,
2022-08,monthly,Whole,ACEA,12302.0,6769.0,19598.0,35172.0,14309.0,3253.0,91403.0,
2022-09,monthly,Whole,ACEA,22481.0,11618.0,29531.0,52176.0,20314.0,5017.0,141137.0,
2022-10,monthly,Whole,ACEA,16861.0,11108.0,28913.0,46060.0,16847.0,5192.0,124981.0,
2022-11,monthly,Whole,ACEA,20274.0,12340.0,29498.0,48499.0,18440.0,4909.0,133960.0,
2022-12,monthly,Whole,ACEA,24944.0,14544.0,36294.0,55810.0,21511.0,4924.0,158027.0,
2023-01,monthly,Whole,ACEA,14629.0,10301.0,26030.0,43340.0,12552.0,5087.0,111939.0,
2023-02,monthly,Whole,ACEA,19595.0,10493.0,29142.0,47121.0,14714.0,5171.0,126236.0,
2023-03,monthly,Whole,ACEA,30635.0,15722.0,38515.0,71501.0,19866.0,6473.0,182712.0,
2023-04,monthly,Whole,ACEA,17113.0,10882.0,30933.0,53478.0,13885.0,6215.0,132506.0,
2023-05,monthly,Whole,ACEA,22667.0,12657.0,34395.0,54267.0,15168.0,6382.0,145536.0,
2023-06,monthly,Whole,ACEA,33280.0,17935.0,46098.0,68275.0,17708.0,7551.0,190847.0,
2023-07,monthly,Whole,ACEA,16867.0,13230.0,32877.0,48370.0,12493.0,5109.0,128946.0,
2023-08,monthly,Whole,ACEA,19657.0,9527.0,27166.0,42743.0,10216.0,4290.0,113599.0,
2023-09,monthly,Whole,ACEA,30173.0,15699.0,38461.0,52915.0,13270.0,5785.0,156303.0,
2023-10,monthly,Whole,ACEA,25473.0,14906.0,40494.0,54067.0,11888.0,5555.0,152383.0,
2023-11,monthly,Whole,ACEA,30775.0,14540.0,40050.0,48805.0,13229.0,5312.0,152711.0,
2023-12,monthly,Whole,ACEA,37355.0,17058.0,48138.0,56700.0,16739.0,5014.0,181004.0,
2024-01,monthly,Whole,ACEA,20017.0,10549.0,33810.0,41728.0,9620.0,6561.0,122285.0,
2024-02,monthly,Whole,ACEA,25825.0,11732.0,41227.0,48095.0,10221.0,5495.0,142595.0,
2024-03,monthly,Whole,ACEA,33981.0,16294.0,49908.0,58861.0,13497.0,7482.0,180023.0,
2024-04,monthly,Whole,ACEA,24850.0,10867.0,45798.0,47245.0,11378.0,6839.0,146977.0,
2024-05,monthly,Whole,ACEA,23892.0,10204.0,47571.0,43275.0,11410.0,4946.0,141298.0,
2024-06,monthly,Whole,ACEA,29837.0,14045.0,62205.0,54480.0,16231.0,4913.0,181711.0,
2024-07,monthly,Whole,ACEA,17030.0,9171.0,48457.0,37441.0,9508.0,4430.0,126037.0,
2024-08,monthly,Whole,ACEA,13143.0,6165.0,30558.0,27093.0,5870.0,3149.0,85978.0,
2024-09,monthly,Whole,ACEA,28266.0,10079.0,53167.0,36047.0,8062.0,3381.0,139002.0,
2024-10,monthly,Whole,ACEA,20899.0,10892.0,54789.0,36397.0,8761.0,3791.0,135529.0,
2024-11,monthly,Whole,ACEA,23255.0,11683.0,52462.0,33411.0,8820.0,3688.0,133319.0,
2024-12,monthly,Whole,ACEA,29619.0,24717.0,68939.0,43683.0,11574.0,5130.0,183662.0,
2025-01,monthly,Whole,ACEA,19923.0,4852.0,51447.0,29974.0,4956.0,3521.0,114673.0,
2025-02,monthly,Whole,ACEA,25335.0,6451.0,62146.0,35110.0,6707.0,5821.0,141570.0,
2025-03,monthly,Whole,ACEA,29261.0,8289.0,70674.0,32867.0,6463.0,6288.0,153842.0,
2025-04,monthly,Whole,ACEA,25542.0,9593.0,63060.0,28932.0,6700.0,4869.0,138696.0,
2025-05,monthly,Whole,ACEA,19414.0,8180.0,54552.0,30217.0,6926.0,4629.0,123918.0,
2025-06,monthly,Whole,ACEA,28857.0,11784.0,74340.0,37747.0,9738.0,7039.0,169505.0,
2025-07,monthly,Whole,ACEA,19547.0,8415.0,53187.0,24919.0,6816.0,3493.0,116377.0,
2025-08,monthly,Whole,ACEA,16992.0,5855.0,39732.0,18322.0,4289.0,2659.0,87849.0,
2025-09,monthly,Whole,ACEA,31439.0,9118.0,62292.0,26935.0,6311.0,4259.0,140354.0,
2025-10,monthly,Whole,ACEA,34108.0,9323.0,59182.0,4353.0,26741.0,5807.0,139514.0,
2025-11,monthly,Whole,ACEA,34293.0,9495.0,55012.0,23358.0,7059.0,3710.0,132927.0,
2025-12,monthly,Whole,ACEA,42211.0,17272.0,70530.0,30111.0,7625.0,5178.0,172927.0,
2026-01,monthly,Whole,ACEA,30307.0,4821.0,51523.0,15326.0,2521.0,2659.0,107157.0,
2026-02,monthly,Whole,ACEA,32370.0,6655.0,57670.0,18206.0,3098.0,2765.0,120764.0,
2026-03,monthly,Whole,ACEA,49406.0,8108.0,80708.0,24908.0,4447.0,6057.0,173634.0,
