period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2022-07,yearly,HDV,ACEA,,,,,,,44567.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2021-07,yearly,HDV,ACEA,,,,,,,45030.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2023-02,quarterly,HDV,ACEA,403.0,,0.0,0.0,11086.0,809.0,12298.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2024.pdf
2022-02,quarterly,HDV,ACEA,15.0,,0.0,0.0,11210.0,639.0,11864.0,https://www.acea.auto/files/20230407_PRCV_Q1-2023_FINAL.pdf
2023-05,quarterly,HDV,ACEA,-208.0,,0.0,0.0,13573.0,995.0,14360.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_H1-2024.pdf
2022-05,quarterly,HDV,ACEA,70.0,,0.0,0.0,11753.0,706.0,12529.0,https://www.acea.auto/files/20230727_PRCV_Q1-Q2_2023.pdf
2024-02,quarterly,HDV,ACEA,122.0,,0.0,0.0,11194.0,946.0,12262.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2024.pdf
2024-05,quarterly,HDV,ACEA,164.0,,0.0,4.0,14342.0,1352.0,15862.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_H1-2024.pdf
2024-08,quarterly,HDV,ACEA,571.0,,0.0,0.0,8683.0,994.0,10248.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q3_2024.pdf
2023-08,quarterly,HDV,ACEA,1865.0,,1.0,5.0,10804.0,758.0,13433.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q3_2024.pdf
