period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2022-07,yearly,Vans,ACEA,,,,,,,347069.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2021-07,yearly,Vans,ACEA,,,,,,,431385.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2023-02,quarterly,Vans,ACEA,5824.0,,2624.0,7673.0,70725.0,997.0,87843.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2024.pdf
2022-02,quarterly,Vans,ACEA,3360.0,,1873.0,6126.0,78558.0,618.0,90535.0,https://www.acea.auto/files/20230407_PRCV_Q1-2023_FINAL.pdf
2023-05,quarterly,Vans,ACEA,8644.0,,2431.0,11313.0,78461.0,1257.0,102106.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_H1-2024.pdf
2022-05,quarterly,Vans,ACEA,3250.0,,1884.0,5859.0,81267.0,477.0,92737.0,https://www.acea.auto/files/20230727_PRCV_Q1-Q2_2023.pdf
2024-02,quarterly,Vans,ACEA,6846.0,,2184.0,11075.0,74123.0,1266.0,95494.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2024.pdf
2024-05,quarterly,Vans,ACEA,8022.0,,3152.0,11683.0,89245.0,2270.0,114372.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_H1-2024.pdf
2024-08,quarterly,Vans,ACEA,5295.0,,2779.0,8429.0,61340.0,495.0,78338.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q3_2024.pdf
2023-08,quarterly,Vans,ACEA,5728.0,,2221.0,10673.0,64980.0,691.0,84293.0,https://www.acea.auto/files/Press_release_commercial_vehicles_Q1-Q3_2023.pdf
2022-08,quarterly,Vans,ACEA,3376.0,,1482.0,4600.0,63488.0,652.0,73598.0,https://www.acea.auto/files/Press_release_commercial_vehicles_Q1-Q3_2023.pdf
2023-11,quarterly,Vans,ACEA,10081.0,,2263.0,12911.0,77242.0,1301.0,103798.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2023.pdf
2022-11,quarterly,Vans,ACEA,7145.0,,1856.0,7239.0,72823.0,1136.0,90199.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2023.pdf
