period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2012-01,quarterly,Whole,KBA,244.2021021574774,735.1434090428598,1051.3565909571403,,,,210195.0,
2012-02,quarterly,Whole,KBA,244.2021021574774,735.1434090428598,1051.3565909571403,,,,224318.0,
2012-03,quarterly,Whole,KBA,244.2021021574774,735.1434090428598,1051.3565909571403,,,,339123.0,
2012-04,quarterly,Whole,KBA,244.2021021574774,735.1434090428598,1051.3565909571403,,,,274066.0,
2012-05,quarterly,Whole,KBA,244.2021021574774,735.1434090428598,1051.3565909571403,,,,289977.0,
2012-06,quarterly,Whole,KBA,244.2021021574774,735.1434090428598,1051.3565909571403,,,,296722.0,
2012-07,quarterly,Whole,KBA,244.2021021574774,735.1434090428598,1051.3565909571403,,,,543321.0,
2012-08,quarterly,Whole,KBA,244.2021021574774,735.1434090428598,1051.3565909571403,,,,226455.0,
2012-09,quarterly,Whole,KBA,269.7768762677485,735.1434090428598,1051.3565909571403,,,,250082.0,
2012-10,quarterly,Whole,KBA,244.2021021574774,735.1434090428598,1051.3565909571403,,,,259529.0,
2012-11,quarterly,Whole,KBA,244.2021021574774,735.1434090428598,1051.3565909571403,,,,259846.0,
2012-12,quarterly,Whole,KBA,244.2021021574774,735.1434090428598,1051.3565909571403,,,,204331.0,
2013-01,quarterly,Whole,KBA,362.0,727.5306729290659,1040.4693270709342,,,,192090.0,
2013-02,quarterly,Whole,KBA,362.0,727.5306729290659,1040.4693270709342,,,,200683.0,
2013-03,quarterly,Whole,KBA,308.0,1027.102126488093,1468.897873511907,,,,281184.0,
2013-04,quarterly,Whole,KBA,362.0,1226.2192062834902,1753.66279371651,,,,284444.0,
2013-05,quarterly,Whole,KBA,362.0,1075.514807429704,1538.134692570296,,,,261316.0,
2013-06,quarterly,Whole,KBA,362.0,988.7678851626464,1414.0746148373535,,,,282913.0,
2013-07,quarterly,Whole,KBA,515.0,903.2408524204183,1291.7591475795816,,,,253146.0,
2013-08,quarterly,Whole,KBA,435.0,813.8037538104459,1163.8517461895542,,,,214044.0,
2013-09,quarterly,Whole,KBA,532.0,779.174343102108,1114.3269068978914,,,,247199.0,
2013-10,quarterly,Whole,KBA,978.0,905.6966799408033,1295.2713200591968,,,,265441.0,
2013-11,quarterly,Whole,KBA,757.0,888.4268794422246,1270.5731205577754,,,,254651.0,
2013-12,quarterly,Whole,KBA,716.0,779.174343102108,1114.3269068978914,,,,215320.0,
2014-01,quarterly,Whole,KBA,689.8787878787879,862.5677983110409,1233.5910636571189,,,,205996.0,
2014-02,quarterly,Whole,KBA,689.8787878787879,862.5677983110409,1233.5910636571189,,,,209349.0,
2014-03,quarterly,Whole,KBA,689.8787878787879,862.5677983110409,1233.5910636571189,,,,296408.0,
2014-04,quarterly,Whole,KBA,689.8787878787879,950.195151756253,1358.9102795536512,,,,274097.0,
2014-05,quarterly,Whole,KBA,933.3333333333334,862.5677983110409,1233.5910636571189,,,,274804.0,
2014-06,quarterly,Whole,KBA,689.8787878787879,862.5677983110409,1233.5910636571189,,,,277614.0,
2014-07,quarterly,Whole,KBA,689.8787878787879,862.5677983110409,1233.5910636571189,,,,270249.0,
2014-08,quarterly,Whole,KBA,689.8787878787879,862.5677983110409,1233.5910636571189,,,,213092.0,
2014-09,quarterly,Whole,KBA,689.8787878787879,1713.6087722650823,2450.6971767434165,,,,260062.0,
2014-10,quarterly,Whole,KBA,689.8787878787879,862.5677983110409,1233.5910636571189,,,,275320.0,
2014-11,quarterly,Whole,KBA,689.8787878787879,862.5677983110409,1233.5910636571189,,,,250082.0,
2014-12,quarterly,Whole,KBA,689.8787878787879,862.5677983110409,1233.5910636571189,,,,229700.0,
2015-01,monthly,Whole,KBA,659.0,1095.6853347204708,1566.9813319461955,,,,211337.0,
2015-02,monthly,Whole,KBA,436.0,848.0999530015864,1212.9000469984137,,,,223254.0,
2015-03,monthly,Whole,KBA,1278.0,1095.6853347204708,1566.9813319461955,,,,323039.0,
2015-04,monthly,Whole,KBA,684.0,1189.6443299988289,1701.3556700011711,,,,291395.0,
2015-05,monthly,Whole,KBA,574.0,1264.5371933885856,1808.4628066114144,,,,256385.0,
2015-06,monthly,Whole,KBA,1032.0,1095.6853347204708,1566.9813319461955,,,,313539.0,
2015-07,monthly,Whole,KBA,962.0,1176.4763540182123,1682.5236459817877,,,,290196.0,
2015-08,monthly,Whole,KBA,831.0,768.5479082951373,1099.1296377184929,,,,226314.0,
2015-09,monthly,Whole,KBA,929.0,1209.807793219148,1730.192206780852,,,,272479.0,
2015-10,monthly,Whole,KBA,1686.0,1092.0108326617776,1561.7262865899127,,,,278372.0,
2015-11,monthly,Whole,KBA,1372.0,1516.3747340178777,2168.6252659821225,,,,272377.0,
2015-12,monthly,Whole,KBA,1920.0,1486.1646543666664,2125.4206803680117,,,,247355.0,
2016-01,monthly,Whole,KBA,477.0,1157.9588877954702,1656.0411122045298,,,,218365.0,
2016-02,monthly,Whole,KBA,751.0,1452.5923503617662,2077.407649638234,,,,250146.0,
2016-03,monthly,Whole,KBA,1104.0,1664.5144637998142,2380.485536200186,,,,322913.0,
2016-04,monthly,Whole,KBA,604.0,1533.2462032430426,2192.7537967569574,,,,315921.0,
2016-05,monthly,Whole,KBA,587.7760000000001,1203.8394081059334,1721.6565918940664,,,,286931.0,
2016-06,monthly,Whole,KBA,833.2240000000002,1479.1356979446944,2115.3683020553062,,,,339563.0,
2016-07,monthly,Whole,KBA,785.0,1491.6847790542215,2133.3152209457785,,,,278866.0,
2016-08,monthly,Whole,KBA,895.0,1615.9575523712906,2311.0424476287094,,,,245076.0,
2016-09,monthly,Whole,KBA,1641.0,2023.3418092716158,2893.658190728384,,,,298002.0,
2016-10,monthly,Whole,KBA,1167.0,2062.022738714677,2948.977261285323,,,,262724.0,
2016-11,monthly,Whole,KBA,1231.0,1987.1298753249202,2841.8701246750798,,,,276567.0,
2016-12,monthly,Whole,KBA,1334.0,2078.894207939842,2973.105792060158,,,,256533.0,
2017-01,monthly,Whole,KBA,1323.0,1923.758990918203,2751.241009081797,126511.0,108890.0,0,241399.0,
2017-02,monthly,Whole,KBA,1546.0,2091.23918542167,2990.76081457833,131317.0,105657.0,0,243602.0,
2017-03,monthly,Whole,KBA,2191.0,3077.6028862197304,4401.397113780269,203932.0,146081.0,0,359683.0,
2017-04,monthly,Whole,KBA,1413.0,2631.9491991257382,3764.0508008742618,162913.0,119975.0,0,290697.0,
2017-05,monthly,Whole,KBA,1520.0,2815.889363604976,4027.110636395024,184652.0,130937.0,0,323952.0,
2017-06,monthly,Whole,KBA,2196.0,2899.0122119826183,4145.987788017382,191235.0,127217.0,0,327693.0,
2017-07,monthly,Whole,KBA,1820.0,3038.0989582778807,4344.901041722119,159101.0,114776.0,0,283080.0,
2017-08,monthly,Whole,KBA,2177.0,2850.4553005540947,4076.5446994459053,148967.0,95609.0,0,253680.0,
2017-09,monthly,Whole,KBA,2247.0,3569.3444892458806,5104.655510754119,172594.0,104520.0,0,288035.0,
2017-10,monthly,Whole,KBA,2180.0,3460.708687405794,4949.291312594206,166910.0,95355.0,0,272855.0,
2017-11,monthly,Whole,KBA,3031.0,3564.4064982531495,5097.59350174685,187971.0,102972.0,0,302636.0,
2017-12,monthly,Whole,KBA,3412.0,2921.2331714499087,4177.766828550091,158652.0,84787.0,0,253950.0,
2018-01,monthly,Whole,KBA,2764.0,3752.050155976936,5365.9498440230645,167787.0,89760.0,0,269429.0,
2018-02,monthly,Whole,KBA,2546.0,3410.9172782290875,4878.082721770912,165837.0,85077.0,0,261749.0,
2018-03,monthly,Whole,KBA,3792.0,4474.64283791327,6399.35716208673,223838.0,108929.0,0,347433.0,
2018-04,monthly,Whole,KBA,3171.0,4468.0588499229625,6389.9411500770375,195012.0,105014.0,0,314055.0,
2018-05,monthly,Whole,KBA,2310.0,4238.030769511566,6060.969230488434,197071.0,95377.0,0,305057.0,
2018-06,monthly,Whole,KBA,2651.0,4718.250393554677,6747.749606445323,220573.0,106618.0,0,341308.0,
2018-07,monthly,Whole,KBA,2526.0,5579.51832253688,7979.48167746312,199002.0,102761.0,0,317848.0,
2018-08,monthly,Whole,KBA,2457.0,5267.601891496025,7533.398108503975,198084.0,103063.0,0,316405.0,
2018-09,monthly,Whole,KBA,2357.0,4135.155957163,5913.844042837,129011.0,58717.0,0,200134.0,
2018-10,monthly,Whole,KBA,3390.0,4549.947200552421,6507.052799447579,157868.0,80313.0,0,252628.0,
2018-11,monthly,Whole,KBA,4262.0,4803.019238929896,6868.980761070104,164098.0,92642.0,0,272674.0,
2018-12,monthly,Whole,KBA,3836.0,4203.876331811842,6012.123668188158,140147.0,82859.0,0,237058.0,
2019-01,monthly,Whole,KBA,4648.0,6242.85511256044,8928.14488743956,154260.0,91623.0,0,265702.0,
2019-02,monthly,Whole,KBA,4637.0,6232.979130574978,8914.020869425023,161463.0,87620.0,0,268867.0,
2019-03,monthly,Whole,KBA,6616.0,7298.762186506132,10438.237813493868,209321.0,111849.0,0,345523.0,
2019-04,monthly,Whole,KBA,4768.0,6918.948379315222,9895.051620684777,185054.0,104079.0,0,310715.0,
2019-05,monthly,Whole,KBA,4630.0,7944.404508805738,11361.59549119426,198202.0,110824.0,0,332962.0,
2019-06,monthly,Whole,KBA,5760.0,7744.4158736001245,11075.584126399875,197893.0,102758.0,0,325231.0,
2019-07,monthly,Whole,KBA,5963.0,8871.923816940418,12688.076183059582,195320.0,109945.0,0,332788.0,
2019-08,monthly,Whole,KBA,5001.0,8169.083098975008,11682.916901024992,194256.0,94639.0,0,313748.0,
2019-09,monthly,Whole,KBA,5880.0,7795.853279774407,11149.146720225592,147278.0,72519.0,0,244622.0,
2019-10,monthly,Whole,KBA,4979.0,10856.173197519578,15525.826802480422,165190.0,88042.0,0,284593.0,
2019-11,monthly,Whole,KBA,4651.0,10674.702028536707,15266.297971463293,174122.0,94413.0,0,299127.0,
2019-12,monthly,Whole,KBA,5748.0,9701.094804469869,13873.905195530131,169635.0,84422.0,0,283380.0,
2020-01,monthly,Whole,KBA,7492.0,12676.234377590426,18128.765622409574,127746.0,80257.0,0,246300.0,
2020-02,monthly,Whole,KBA,8154.0,12344.97748182804,17655.022518171958,125937.0,75852.0,0,239943.0,
2020-03,monthly,Whole,KBA,10329.0,11824.430931344292,16910.56906865571,108118.0,67937.0,0,215119.0,
2020-04,monthly,Whole,KBA,4635.0,6819.777060211204,9753.222939788797,60795.99999999999,38836.0,0,120840.0,
2020-05,monthly,Whole,KBA,5578.0,9400.28885316266,13443.71114683734,86508.0,53218.0,0,168148.0,
2020-06,monthly,Whole,KBA,8119.0,12449.498291174184,17804.501708825814,114599.0,67300.0,0,220272.0,
2020-07,monthly,Whole,KBA,16798.0,21598.77260220634,30889.22739779366,156109.0,89543.0,0,314938.0,
2020-08,monthly,Whole,KBA,16076.0,19006.32733102245,27181.67266897755,119364.0,69416.0,0,251044.0,
2020-09,monthly,Whole,KBA,21188.0,22235.773440268666,31800.226559731334,122102.0,67901.0,0,265227.0,
2020-10,monthly,Whole,KBA,23158.0,25895.23626513189,37033.76373486811,116846.0,71370.0,0,274303.0,
2020-11,monthly,Whole,KBA,28965.0,29588.442028445446,42315.557971554554,118657.0,70624.0,0,290150.0,
2020-12,monthly,Whole,KBA,43671.0,33375.88111987029,47732.11888012971,118973.0,67642.0,0,311394.0,
2021-01,monthly,Whole,KBA,16315.0,20588.0,24861.0,63663.0,44327.0,0,169754.0,
2021-02,monthly,Whole,KBA,18278.0,21879.0,30825.0,74049.0,49318.0,0,194349.0,
2021-03,monthly,Whole,KBA,30101.0,35580.0,45640.0,116510.0,64518.0,0,292349.0,
2021-04,monthly,Whole,KBA,23816.0,26988.0,37106.0,91545.0,50195.0,0,229650.0,
2021-05,monthly,Whole,KBA,26786.0,27222.0,37145.0,88026.0,51456.0,0,230635.0,
2021-06,monthly,Whole,KBA,33420.0,31314.0,45250.0,109491.0,54677.0,0,274152.0,
2021-07,monthly,Whole,KBA,25464.0,30154.0,39641.0,94474.0,46660.0,0,236393.0,
2021-08,monthly,Whole,KBA,28860.0,24497.0,36223.0,69556.0,34171.0,0,193307.0,
2021-09,monthly,Whole,KBA,33655.0,22842.0,37317.0,71822.0,31336.0,0,196972.0,
2021-10,monthly,Whole,KBA,30560.0,23734.0,27593.0,65906.0,30890.0,0,178683.0,
2021-11,monthly,Whole,KBA,40270.0,27899.0,31352.0,67485.0,31252.0,0,198258.0,
2021-12,monthly,Whole,KBA,48436.0,32752.0,36186.0,74610.0,35646.0,0,227630.0,
2022-01,monthly,Whole,KBA,20892.0,18900.0,35226.0,69381.0,39713.0,0,184112.0,
2022-02,monthly,Whole,KBA,28306.0,21583.0,37890.0,71262.0,41471.0,0,200512.0,
2022-03,monthly,Whole,KBA,34474.0,27288.0,48425.0,86074.0,45069.0,0,241330.0,
2022-04,monthly,Whole,KBA,22175.0,21697.0,35089.0,66014.0,35289.0,0,180264.0,
2022-05,monthly,Whole,KBA,29182.0,23209.0,37450.0,75358.0,42000.0,0,207199.0,
2022-06,monthly,Whole,KBA,32234.0,26203.0,39160.0,84466.0,42495.0,0,224558.0,
2022-07,monthly,Whole,KBA,28815.0,23712.0,36250.0,75748.0,41386.0,0,205911.0,
2022-08,monthly,Whole,KBA,32006.0,24719.0,35116.0,71010.0,36332.0,0,199183.0,
2022-09,monthly,Whole,KBA,44389.0,28336.0,40097.0,73835.0,38159.0,0,224816.0,
2022-10,monthly,Whole,KBA,35781.0,32064.0,36469.0,67774.0,36554.0,0,208642.0,
2022-11,monthly,Whole,KBA,57980.0,44581.0,43697.0,74373.0,39881.0,0,260512.0,
2022-12,monthly,Whole,KBA,104325.0,69801.0,40359.0,65908.0,33925.0,0,314318.0,
2023-01,monthly,Whole,KBA,18136.0,8853.0,41919.0,71109.0,39230.0,0,179247.0,
2023-02,monthly,Whole,KBA,32475.0,11916.0,47064.0,76322.0,38433.0,0,206210.0,
2023-03,monthly,Whole,KBA,44125.0,16776.0,67253.0,104610.0,48597.0,0,281361.0,
2023-04,monthly,Whole,KBA,29740.0,11787.0,47681.0,77601.0,36138.0,0,202947.0,
2023-05,monthly,Whole,KBA,42780.0,13803.0,57842.0,89036.0,43505.0,0,246966.0,
2023-06,monthly,Whole,KBA,52988.0,15930.0,62319.0,102042.0,46860.0,0,280139.0,
2023-07,monthly,Whole,KBA,48682.0,14345.0,53138.0,84616.0,42496.0,0,243277.0,
2023-08,monthly,Whole,KBA,86649.0,14552.0,55844.0,76704.0,39668.0,0,273417.0,
2023-09,monthly,Whole,KBA,31714.0,15383.0,57795.0,79710.0,39900.0,0,224502.0,
2023-10,monthly,Whole,KBA,37334.0,16361.0,57575.0,72808.0,34881.0,0,218959.0,
2023-11,monthly,Whole,KBA,44942.0,18124.0,60463.0,82702.0,39470.0,0,245701.0,
2023-12,monthly,Whole,KBA,54654.0,17894.0,55687.0,76245.0,37403.0,0,241883.0,
2024-01,monthly,Whole,KBA,22474.0,14394.0,52102.0,83647.0,40936.0,0,213553.0,
2024-02,monthly,Whole,KBA,27479.0,14575.0,54792.0,78389.0,42153.0,0,217388.0,
2024-03,monthly,Whole,KBA,31384.0,16016.0,67033.0,101046.0,48365.0,0,263844.0,
2024-04,monthly,Whole,KBA,29668.0,15135.0,60047.0,91935.0,46317.0,0,243102.0,
2024-05,monthly,Whole,KBA,29708.0,14038.0,57413.0,90373.0,44893.0,0,236425.0,
2024-06,monthly,Whole,KBA,43412.0,15391.0,72579.0,113259.0,52688.0,0,297329.0,
2024-07,monthly,Whole,KBA,30762.0,14811.0,65059.0,84524.0,43107.0,0,238263.0,
2024-08,monthly,Whole,KBA,27024.0,13565.0,55779.0,70980.0,29974.0,0,197322.0,
2024-09,monthly,Whole,KBA,34479.0,14936.0,60497.0,67009.0,31115.0,812,208848.0,
2024-10,monthly,Whole,KBA,35491.0,19337.0,65672.0,74264.0,36172.0,1056,231992.0,
2024-11,monthly,Whole,KBA,35167.0,20604.0,73950.0,78312.0,36510.0,1,244544.0,
2024-12,monthly,Whole,KBA,33561.0,19103.0,70570.0,58210.0,31031.0,12246,224721.0,
2025-01,monthly,Whole,KBA,34498.0,17712.0,59252.0,62358.0,32956.0,864,207640.0,
2025-02,monthly,Whole,KBA,35949.0,19534.0,58153.0,56911.0,32116.0,771,203434.0,
2025-03,monthly,Whole,KBA,42587.496,26617.184999999998,74781.615,70472.16600000001,37771.053,1267.485,253497.0,
2025-04,monthly,Whole,KBA,45535.0,24317.0,67379.0,66814.0,37649.0,1034,242728.0,
2025-05,monthly,Whole,KBA,43060.0,25181.0,66990.0,67921.0,35106.0,1039,239297.0,
2025-06,monthly,Whole,KBA,47163.0,25608.0,73332.0,73015.00499999999,35610.827000000005,1464.168,256193.0,
2025-07,monthly,Whole,KBA,48614.0,27197.0,75172.0,72192.0,40529.0,1098,264802.0,
2025-08,monthly,Whole,KBA,39367.0,23973.0,58605.0,57253.0,27219.0,812,207229.0,
2025-09,monthly,Whole,KBA,45495.0,27685.0,69527.0,63047.0,28871.0,903,235528.0,
