period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2015-06,yearly,Whole,ACEA,35.0,22.0,985.0,,,,75805.0,
2016-02,quarterly,Whole,ACEA,7.0,11.0,242.0,,,,15326.0,
2016-05,quarterly,Whole,ACEA,2.0,9.0,439.0,,,,32087.0,
2016-08,quarterly,Whole,ACEA,2.0,6.0,470.0,,,,15803.0,
2016-11,quarterly,Whole,ACEA,1.0,5.0,394.0,,,,15657.0,
2017-02,quarterly,Whole,ACEA,4.0,33.0,489.0,,,,21097.0,
2017-05,quarterly,Whole,ACEA,8.0,37.0,509.0,,,,29259.0,
2017-08,quarterly,Whole,ACEA,9.0,39.0,613.0,,,,19502.0,
2017-11,quarterly,Whole,ACEA,17.0,52.0,737.0,,,,18225.0,
2018-01,quarterly,Whole,ACEA,5.0,16.0,283.0,5010.0,3500.0,90.0,8906.0,
2018-02,quarterly,Whole,ACEA,5.0,16.0,283.0,5010.0,3500.0,90.0,8906.0,
2018-03,quarterly,Whole,ACEA,5.0,16.0,283.0,5010.0,3500.0,90.0,8906.0,
2018-04,quarterly,Whole,ACEA,8.0,25.0,285.0,7657.0,3738.0,114.0,11829.0,
2018-05,quarterly,Whole,ACEA,8.0,25.0,285.0,7657.0,3738.0,114.0,11829.0,
2018-06,quarterly,Whole,ACEA,8.0,25.0,285.0,7657.0,3738.0,114.0,11829.0,
2018-07,quarterly,Whole,ACEA,4.0,16.0,272.0,4148.0,2721.0,71.0,7234.0,
2018-08,quarterly,Whole,ACEA,4.0,16.0,272.0,4148.0,2721.0,71.0,7234.0,
2018-09,quarterly,Whole,ACEA,4.0,16.0,272.0,4148.0,2721.0,71.0,7234.0,
2018-10,quarterly,Whole,ACEA,10.0,17.0,371.0,3624.0,2334.0,66.0,6424.0,
2018-11,quarterly,Whole,ACEA,10.0,17.0,371.0,3624.0,2334.0,66.0,6424.0,
2018-12,quarterly,Whole,ACEA,10.0,17.0,371.0,3624.0,2334.0,66.0,6424.0,
2019-01,quarterly,Whole,ACEA,12.0,14.0,390.0,5629.0,2611.0,104.0,8763.0,
2019-02,quarterly,Whole,ACEA,12.0,14.0,390.0,5629.0,2611.0,104.0,8763.0,
2019-03,quarterly,Whole,ACEA,12.0,14.0,390.0,5629.0,2611.0,104.0,8763.0,
2019-04,quarterly,Whole,ACEA,22.0,22.0,562.0,9387.0,2888.0,207.0,13089.0,
2019-05,quarterly,Whole,ACEA,22.0,22.0,562.0,9387.0,2888.0,207.0,13089.0,
2019-06,quarterly,Whole,ACEA,22.0,22.0,562.0,9387.0,2888.0,207.0,13089.0,
2019-07,quarterly,Whole,ACEA,16.0,17.0,634.0,5401.0,2736.0,266.0,9071.0,
2019-08,quarterly,Whole,ACEA,16.0,17.0,634.0,5401.0,2736.0,266.0,9071.0,
2019-09,quarterly,Whole,ACEA,16.0,17.0,634.0,5401.0,2736.0,266.0,9071.0,
2019-10,quarterly,Whole,ACEA,12.0,33.0,622.0,4362.0,1883.0,198.0,7112.0,
2019-11,quarterly,Whole,ACEA,12.0,33.0,622.0,4362.0,1883.0,198.0,7112.0,
2019-12,quarterly,Whole,ACEA,12.0,33.0,622.0,4362.0,1883.0,198.0,7112.0,
2020-01,quarterly,Whole,ACEA,23.0,29.0,863.0,4158.0,1930.0,125.0,7130.0,
