period,time_interval,variant,source,BEV,PHEV,EREV,PETROL,DIESEL,OTHERS,TOTAL,notes
2019-11,monthly,Whole,Transport Department (data.gov.hk),424.0,0.0,0.0,2000.0,0.0,0.0,2424.0,
2019-12,monthly,Whole,Transport Department (data.gov.hk),389.0,0.0,0.0,2190.0,0.0,0.0,2579.0,
2020-01,monthly,Whole,Transport Department (data.gov.hk),115.0,1.0,0.0,1528.0,0.0,0.0,1644.0,
2020-02,monthly,Whole,Transport Department (data.gov.hk),192.0,0.0,0.0,1348.0,0.0,0.0,1540.0,
2020-03,monthly,Whole,Transport Department (data.gov.hk),589.0,4.0,0.0,1699.0,0.0,0.0,2292.0,
2020-04,monthly,Whole,Transport Department (data.gov.hk),178.0,1.0,0.0,1577.0,0.0,0.0,1756.0,
2020-05,monthly,Whole,Transport Department (data.gov.hk),156.0,5.0,0.0,2033.0,0.0,0.0,2194.0,
2020-06,monthly,Whole,Transport Department (data.gov.hk),144.0,6.0,0.0,1782.0,0.0,0.0,1932.0,
2020-07,monthly,Whole,Transport Department (data.gov.hk),102.0,5.0,0.0,2014.0,0.0,0.0,2121.0,
2020-08,monthly,Whole,Transport Department (data.gov.hk),987.0,5.0,0.0,1692.0,0.0,0.0,2684.0,
2020-09,monthly,Whole,Transport Department (data.gov.hk),446.0,7.0,0.0,2496.0,0.0,0.0,2949.0,
2020-10,monthly,Whole,Transport Department (data.gov.hk),93.0,0.0,0.0,2595.0,0.0,0.0,2688.0,
2020-11,monthly,Whole,Transport Department (data.gov.hk),776.0,1.0,0.0,2431.0,0.0,0.0,3208.0,
2020-12,monthly,Whole,Transport Department (data.gov.hk),817.0,5.0,0.0,2350.0,0.0,0.0,3172.0,
2021-01,monthly,Whole,Transport Department (data.gov.hk),221.0,1.0,0.0,1626.0,0.0,0.0,1848.0,
2021-02,monthly,Whole,Transport Department (data.gov.hk),479.0,0.0,0.0,1389.0,0.0,0.0,1868.0,
2021-03,monthly,Whole,Transport Department (data.gov.hk),545.0,1.0,0.0,2186.0,0.0,0.0,2732.0,
2021-04,monthly,Whole,Transport Department (data.gov.hk),622.0,0.0,0.0,1774.0,0.0,0.0,2396.0,
2021-05,monthly,Whole,Transport Department (data.gov.hk),954.0,2.0,0.0,2010.0,0.0,0.0,2966.0,
2021-06,monthly,Whole,Transport Department (data.gov.hk),581.0,3.0,0.0,2515.0,0.0,0.0,3099.0,
2021-07,monthly,Whole,Transport Department (data.gov.hk),885.0,3.0,0.0,2054.0,0.0,0.0,2942.0,
2021-08,monthly,Whole,Transport Department (data.gov.hk),687.0,0.0,0.0,1735.0,0.0,0.0,2422.0,
2021-09,monthly,Whole,Transport Department (data.gov.hk),994.0,5.0,0.0,1945.0,0.0,0.0,2944.0,
2021-10,monthly,Whole,Transport Department (data.gov.hk),830.0,1.0,0.0,1375.0,0.0,0.0,2206.0,
2021-11,monthly,Whole,Transport Department (data.gov.hk),1655.0,5.0,0.0,1628.0,0.0,0.0,3288.0,
2021-12,monthly,Whole,Transport Department (data.gov.hk),1128.0,3.0,0.0,1665.0,0.0,0.0,2796.0,
2022-01,monthly,Whole,Transport Department (data.gov.hk),511.0,1.0,0.0,1062.0,0.0,0.0,1574.0,
2022-02,monthly,Whole,Transport Department (data.gov.hk),894.0,1.0,0.0,812.0,0.0,0.0,1707.0,
2022-03,monthly,Whole,Transport Department (data.gov.hk),1829.0,0.0,0.0,858.0,0.0,0.0,2687.0,
2022-04,monthly,Whole,Transport Department (data.gov.hk),406.0,0.0,0.0,1070.0,0.0,0.0,1476.0,
2022-05,monthly,Whole,Transport Department (data.gov.hk),354.0,2.0,0.0,1311.0,0.0,0.0,1667.0,
2022-06,monthly,Whole,Transport Department (data.gov.hk),1321.0,5.0,0.0,1177.0,0.0,0.0,2503.0,
2022-07,monthly,Whole,Transport Department (data.gov.hk),986.0,2.0,0.0,1143.0,0.0,0.0,2131.0,
2022-08,monthly,Whole,Transport Department (data.gov.hk),2265.0,0.0,0.0,1202.0,0.0,0.0,3467.0,
2022-09,monthly,Whole,Transport Department (data.gov.hk),2778.0,1.0,0.0,1206.0,0.0,0.0,3985.0,
2022-10,monthly,Whole,Transport Department (data.gov.hk),2948.0,0.0,0.0,1076.0,0.0,0.0,4024.0,
2022-11,monthly,Whole,Transport Department (data.gov.hk),2810.0,2.0,0.0,1079.0,0.0,0.0,3891.0,
2022-12,monthly,Whole,Transport Department (data.gov.hk),2639.0,4.0,0.0,903.0,0.0,0.0,3546.0,
2023-01,monthly,Whole,Transport Department (data.gov.hk),1509.0,2.0,0.0,729.0,0.0,0.0,2240.0,
2023-02,monthly,Whole,Transport Department (data.gov.hk),2609.0,3.0,0.0,965.0,0.0,0.0,3577.0,
2023-03,monthly,Whole,Transport Department (data.gov.hk),2235.0,7.0,0.0,961.0,0.0,0.0,3203.0,
2023-04,monthly,Whole,Transport Department (data.gov.hk),1694.0,5.0,0.0,720.0,0.0,0.0,2419.0,
2023-05,monthly,Whole,Transport Department (data.gov.hk),2670.0,2.0,0.0,795.0,0.0,0.0,3467.0,
2023-06,monthly,Whole,Transport Department (data.gov.hk),2528.0,9.0,0.0,811.0,0.0,0.0,3348.0,
2023-07,monthly,Whole,Transport Department (data.gov.hk),2266.0,1.0,0.0,713.0,0.0,0.0,2980.0,
2023-08,monthly,Whole,Transport Department (data.gov.hk),2733.0,7.0,0.0,778.0,0.0,0.0,3518.0,
2023-09,monthly,Whole,Transport Department (data.gov.hk),2238.0,3.0,0.0,770.0,0.0,0.0,3011.0,
2023-10,monthly,Whole,Transport Department (data.gov.hk),2379.0,1.0,0.0,905.0,0.0,0.0,3285.0,
2023-11,monthly,Whole,Transport Department (data.gov.hk),2531.0,1.0,0.0,1057.0,0.0,0.0,3589.0,
2023-12,monthly,Whole,Transport Department (data.gov.hk),3013.0,7.0,0.0,885.0,0.0,0.0,3905.0,
2024-01,monthly,Whole,Transport Department (data.gov.hk),3126.0,3.0,0.0,755.0,0.0,0.0,3884.0,
2024-02,monthly,Whole,Transport Department (data.gov.hk),3459.0,2.0,0.0,631.0,0.0,0.0,4092.0,
2024-03,monthly,Whole,Transport Department (data.gov.hk),4879.0,5.0,0.0,538.0,0.0,0.0,5422.0,
2024-04,monthly,Whole,Transport Department (data.gov.hk),5381.0,4.0,0.0,533.0,0.0,0.0,5918.0,
2024-05,monthly,Whole,Transport Department (data.gov.hk),1646.0,2.0,0.0,631.0,0.0,0.0,2279.0,
2024-06,monthly,Whole,Transport Department (data.gov.hk),1509.0,4.0,0.0,608.0,0.0,0.0,2121.0,
2024-07,monthly,Whole,Transport Department (data.gov.hk),1677.0,2.0,0.0,740.0,0.0,0.0,2419.0,
2024-08,monthly,Whole,Transport Department (data.gov.hk),2065.0,2.0,0.0,599.0,0.0,0.0,2666.0,
2024-09,monthly,Whole,Transport Department (data.gov.hk),1815.0,2.0,0.0,637.0,0.0,0.0,2454.0,
2024-10,monthly,Whole,Transport Department (data.gov.hk),2616.0,4.0,0.0,688.0,0.0,0.0,3308.0,
2024-11,monthly,Whole,Transport Department (data.gov.hk),2476.0,5.0,0.0,615.0,0.0,0.0,3096.0,
2024-12,monthly,Whole,Transport Department (data.gov.hk),2473.0,30.0,0.0,587.0,0.0,0.0,3090.0,
2025-01,monthly,Whole,Transport Department (data.gov.hk),1912.0,50.0,0.0,440.0,0.0,0.0,2402.0,
2025-02,monthly,Whole,Transport Department (data.gov.hk),2433.0,42.0,0.0,436.0,0.0,0.0,2911.0,
2025-03,monthly,Whole,Transport Department (data.gov.hk),2462.0,31.0,0.0,536.0,0.0,0.0,3029.0,
2025-04,monthly,Whole,Transport Department (data.gov.hk),2086.0,19.0,0.0,457.0,0.0,0.0,2562.0,
2025-05,monthly,Whole,Transport Department (data.gov.hk),3271.0,22.0,0.0,435.0,0.0,0.0,3728.0,
2025-06,monthly,Whole,Transport Department (data.gov.hk),3218.0,27.0,0.0,495.0,0.0,0.0,3740.0,
2025-07,monthly,Whole,Transport Department (data.gov.hk),2676.0,28.0,0.0,477.0,0.0,0.0,3181.0,
2025-08,monthly,Whole,Transport Department (data.gov.hk),2897.0,38.0,0.0,483.0,0.0,0.0,3418.0,
2025-09,monthly,Whole,Transport Department (data.gov.hk),3539.0,11.0,0.0,430.0,0.0,0.0,3980.0,
2025-10,monthly,Whole,Transport Department (data.gov.hk),3969.0,13.0,0.0,491.0,0.0,0.0,4473.0,
2025-11,monthly,Whole,Transport Department (data.gov.hk),3799.0,19.0,0.0,443.0,0.0,0.0,4261.0,
2025-12,monthly,Whole,Transport Department (data.gov.hk),5156.0,11.0,0.0,483.0,0.0,0.0,5650.0,
2026-01,monthly,Whole,Transport Department (data.gov.hk),3695.0,18.0,0.0,437.0,0.0,0.0,4150.0,
2026-02,monthly,Whole,Transport Department (data.gov.hk),3874.0,10.0,0.0,292.0,0.0,0.0,4176.0,
2026-03,monthly,Whole,Transport Department (data.gov.hk),9136.0,58.0,0.0,430.0,0.0,0.0,9624.0,
2026-04,monthly,Whole,Transport Department (data.gov.hk),8071.0,98.0,0.0,366.0,0.0,0.0,8535.0,
2026-05,monthly,Whole,Transport Department (data.gov.hk),4307.0,56.0,0.0,467.0,0.0,0.0,4830.0,
2026-06,monthly,Whole,Transport Department (data.gov.hk),1402.0,69.0,1.0,438.0,0.0,0.0,1910.0,
2026-07,monthly,Whole,Transport Department (data.gov.hk),1963.0,115.0,7.0,455.0,0.0,0.0,2540.0,
