period,time_interval,variant,source,BEV,PHEV,EREV,PETROL,DIESEL,OTHERS,TOTAL,notes
2019-11,monthly,Used,Transport Department (data.gov.hk),0.0,0.0,0.0,657.0,0.0,0.0,657.0,
2019-12,monthly,Used,Transport Department (data.gov.hk),0.0,0.0,0.0,697.0,0.0,0.0,697.0,
2020-01,monthly,Used,Transport Department (data.gov.hk),0.0,0.0,0.0,663.0,0.0,0.0,663.0,
2020-02,monthly,Used,Transport Department (data.gov.hk),0.0,0.0,0.0,385.0,0.0,0.0,385.0,
2020-03,monthly,Used,Transport Department (data.gov.hk),0.0,0.0,0.0,585.0,0.0,0.0,585.0,
2020-04,monthly,Used,Transport Department (data.gov.hk),0.0,0.0,0.0,528.0,0.0,0.0,528.0,
2020-05,monthly,Used,Transport Department (data.gov.hk),0.0,0.0,0.0,633.0,0.0,0.0,633.0,
2020-06,monthly,Used,Transport Department (data.gov.hk),0.0,0.0,0.0,777.0,0.0,0.0,777.0,
2020-07,monthly,Used,Transport Department (data.gov.hk),0.0,0.0,0.0,943.0,0.0,0.0,943.0,
2020-08,monthly,Used,Transport Department (data.gov.hk),0.0,0.0,0.0,856.0,0.0,0.0,856.0,
2020-09,monthly,Used,Transport Department (data.gov.hk),0.0,0.0,0.0,864.0,0.0,0.0,864.0,
2020-10,monthly,Used,Transport Department (data.gov.hk),0.0,0.0,0.0,760.0,0.0,0.0,760.0,
2020-11,monthly,Used,Transport Department (data.gov.hk),0.0,0.0,0.0,937.0,0.0,0.0,937.0,
2020-12,monthly,Used,Transport Department (data.gov.hk),0.0,0.0,0.0,776.0,0.0,0.0,776.0,
2021-01,monthly,Used,Transport Department (data.gov.hk),0.0,0.0,0.0,764.0,0.0,0.0,764.0,
2021-02,monthly,Used,Transport Department (data.gov.hk),0.0,0.0,0.0,633.0,0.0,0.0,633.0,
2021-03,monthly,Used,Transport Department (data.gov.hk),0.0,0.0,0.0,773.0,0.0,0.0,773.0,
2021-04,monthly,Used,Transport Department (data.gov.hk),0.0,0.0,0.0,670.0,0.0,0.0,670.0,
2021-05,monthly,Used,Transport Department (data.gov.hk),0.0,0.0,0.0,643.0,0.0,0.0,643.0,
2021-06,monthly,Used,Transport Department (data.gov.hk),0.0,0.0,0.0,677.0,0.0,0.0,677.0,
2021-07,monthly,Used,Transport Department (data.gov.hk),0.0,0.0,0.0,602.0,0.0,0.0,602.0,
2021-08,monthly,Used,Transport Department (data.gov.hk),0.0,0.0,0.0,629.0,0.0,0.0,629.0,
2021-09,monthly,Used,Transport Department (data.gov.hk),0.0,0.0,0.0,595.0,2.0,0.0,597.0,
2021-10,monthly,Used,Transport Department (data.gov.hk),0.0,0.0,0.0,514.0,0.0,0.0,514.0,
2021-11,monthly,Used,Transport Department (data.gov.hk),1.0,0.0,0.0,622.0,0.0,0.0,623.0,
2021-12,monthly,Used,Transport Department (data.gov.hk),1.0,0.0,0.0,517.0,0.0,0.0,518.0,
2022-01,monthly,Used,Transport Department (data.gov.hk),0.0,0.0,0.0,482.0,0.0,0.0,482.0,
2022-02,monthly,Used,Transport Department (data.gov.hk),0.0,0.0,0.0,231.0,0.0,0.0,231.0,
2022-03,monthly,Used,Transport Department (data.gov.hk),0.0,0.0,0.0,296.0,0.0,0.0,296.0,
2022-04,monthly,Used,Transport Department (data.gov.hk),1.0,0.0,0.0,445.0,0.0,0.0,446.0,
2022-05,monthly,Used,Transport Department (data.gov.hk),3.0,0.0,0.0,474.0,0.0,0.0,477.0,
2022-06,monthly,Used,Transport Department (data.gov.hk),7.0,0.0,0.0,490.0,0.0,0.0,497.0,
2022-07,monthly,Used,Transport Department (data.gov.hk),6.0,0.0,0.0,408.0,0.0,0.0,414.0,
2022-08,monthly,Used,Transport Department (data.gov.hk),3.0,0.0,0.0,417.0,0.0,0.0,420.0,
2022-09,monthly,Used,Transport Department (data.gov.hk),1.0,0.0,0.0,453.0,0.0,0.0,454.0,
2022-10,monthly,Used,Transport Department (data.gov.hk),7.0,0.0,0.0,361.0,0.0,0.0,368.0,
2022-11,monthly,Used,Transport Department (data.gov.hk),13.0,0.0,0.0,312.0,0.0,0.0,325.0,
2022-12,monthly,Used,Transport Department (data.gov.hk),13.0,0.0,0.0,286.0,0.0,0.0,299.0,
2023-01,monthly,Used,Transport Department (data.gov.hk),10.0,0.0,0.0,273.0,0.0,0.0,283.0,
2023-02,monthly,Used,Transport Department (data.gov.hk),4.0,0.0,0.0,300.0,0.0,0.0,304.0,
2023-03,monthly,Used,Transport Department (data.gov.hk),15.0,0.0,0.0,453.0,0.0,0.0,468.0,
