period,time_interval,variant,source,BEV,PHEV,EREV,PETROL,DIESEL,OTHERS,TOTAL,notes
2019-11,monthly,Vans,Transport Department (data.gov.hk),3.0,0.0,0.0,0.0,339.0,0.0,342.0,
2019-12,monthly,Vans,Transport Department (data.gov.hk),5.0,0.0,0.0,0.0,325.0,0.0,330.0,
2020-01,monthly,Vans,Transport Department (data.gov.hk),2.0,0.0,0.0,0.0,269.0,0.0,271.0,
2020-02,monthly,Vans,Transport Department (data.gov.hk),4.0,0.0,0.0,0.0,158.0,0.0,162.0,
2020-03,monthly,Vans,Transport Department (data.gov.hk),2.0,0.0,0.0,0.0,230.0,0.0,232.0,
2020-04,monthly,Vans,Transport Department (data.gov.hk),0.0,0.0,0.0,0.0,193.0,0.0,193.0,
2020-05,monthly,Vans,Transport Department (data.gov.hk),0.0,0.0,0.0,0.0,270.0,0.0,270.0,
2020-06,monthly,Vans,Transport Department (data.gov.hk),0.0,0.0,0.0,0.0,324.0,0.0,324.0,
2020-07,monthly,Vans,Transport Department (data.gov.hk),2.0,0.0,0.0,0.0,433.0,0.0,435.0,
2020-08,monthly,Vans,Transport Department (data.gov.hk),5.0,0.0,0.0,1.0,520.0,0.0,526.0,
2020-09,monthly,Vans,Transport Department (data.gov.hk),3.0,0.0,0.0,0.0,125.0,0.0,128.0,
2020-10,monthly,Vans,Transport Department (data.gov.hk),0.0,0.0,0.0,0.0,184.0,0.0,184.0,
2020-11,monthly,Vans,Transport Department (data.gov.hk),1.0,0.0,0.0,0.0,266.0,0.0,267.0,
2020-12,monthly,Vans,Transport Department (data.gov.hk),6.0,0.0,0.0,0.0,305.0,0.0,311.0,
2021-01,monthly,Vans,Transport Department (data.gov.hk),3.0,0.0,0.0,0.0,243.0,0.0,246.0,
2021-02,monthly,Vans,Transport Department (data.gov.hk),2.0,0.0,0.0,0.0,238.0,0.0,240.0,
2021-03,monthly,Vans,Transport Department (data.gov.hk),2.0,0.0,0.0,0.0,395.0,0.0,397.0,
2021-04,monthly,Vans,Transport Department (data.gov.hk),0.0,0.0,0.0,0.0,342.0,0.0,342.0,
