period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2018-01,monthly,Whole,Hungary,39.0,47.0,374.0,7511.0,2486.0,4.0,10461.0,
2018-02,monthly,Whole,Hungary,70.0,61.0,374.0,7511.0,2486.0,4.0,10506.0,
2018-03,monthly,Whole,Hungary,202.0,62.0,374.0,7511.0,2486.0,4.0,10639.0,
2018-04,monthly,Whole,Hungary,113.0,70.0,480.0,9321.0,3053.0,4.0,13041.0,
2018-05,monthly,Whole,Hungary,134.0,70.0,480.0,9321.0,3053.0,4.0,13062.0,
2018-06,monthly,Whole,Hungary,53.0,63.0,480.0,9321.0,3053.0,4.0,12974.0,
2018-07,monthly,Whole,Hungary,70.0,62.0,526.0,7766.0,2846.0,2.0,11272.0,
2018-08,monthly,Whole,Hungary,107.0,68.0,526.0,7766.0,2846.0,2.0,11315.0,
2018-09,monthly,Whole,Hungary,83.0,48.0,526.0,7766.0,2846.0,2.0,11271.0,
2018-10,monthly,Whole,Hungary,158.0,36.0,499.0,7558.0,2392.0,5.0,10648.0,
2018-11,monthly,Whole,Hungary,201.0,47.0,499.0,7558.0,2392.0,5.0,10702.0,
2018-12,monthly,Whole,Hungary,57.0,46.0,499.0,7558.0,2392.0,5.0,10557.0,
2019-01,monthly,Whole,Hungary,103.0,70.0,568.0,8185.0,2484.0,2.0,11412.0,
2019-02,monthly,Whole,Hungary,170.0,75.0,568.0,8185.0,2484.0,2.0,11484.0,
2019-03,monthly,Whole,Hungary,108.0,85.0,568.0,8185.0,2484.0,2.0,11432.0,
2019-04,monthly,Whole,Hungary,117.0,67.0,704.0,9663.0,2814.0,2.0,13367.0,
2019-05,monthly,Whole,Hungary,121.0,77.0,704.0,9663.0,2814.0,2.0,13381.0,
2019-06,monthly,Whole,Hungary,182.0,49.0,704.0,9663.0,2814.0,2.0,13414.0,
2019-07,monthly,Whole,Hungary,171.0,72.0,783.0,10235.0,2223.0,0.0,13484.0,
2019-08,monthly,Whole,Hungary,124.0,54.0,783.0,10235.0,2223.0,0.0,13419.0,
2019-09,monthly,Whole,Hungary,256.0,98.0,783.0,10235.0,2223.0,0.0,13595.0,
2019-10,monthly,Whole,Hungary,110.0,124.0,1001.0,10135.0,2831.0,0.0,14201.0,
2019-11,monthly,Whole,Hungary,201.0,154.0,1001.0,10135.0,2831.0,0.0,14322.0,
2019-12,monthly,Whole,Hungary,170.0,107.0,1001.0,10135.0,2831.0,0.0,14244.0,
2020-01,monthly,Whole,Hungary,190.0,154.0,1892.0,6344.0,2318.0,0.0,10898.0,
2020-02,monthly,Whole,Hungary,144.0,120.0,1892.0,6344.0,2318.0,0.0,10818.0,
2020-03,monthly,Whole,Hungary,162.0,213.0,1892.0,6344.0,2318.0,0.0,10929.0,
2020-04,monthly,Whole,Hungary,84.0,77.0,1725.0,4026.0,1609.0,4.0,7525.0,
2020-05,monthly,Whole,Hungary,131.0,130.0,1725.0,4026.0,1609.0,4.0,7625.0,
2020-06,monthly,Whole,Hungary,262.0,211.0,1725.0,4026.0,1609.0,4.0,7837.0,
2020-07,monthly,Whole,Hungary,231.0,286.0,3045.0,5277.0,2557.0,56.0,11452.0,
2020-08,monthly,Whole,Hungary,191.0,226.0,3045.0,5277.0,2557.0,56.0,11352.0,
2020-09,monthly,Whole,Hungary,343.0,322.0,3045.0,5277.0,2557.0,56.0,11600.0,
2020-10,monthly,Whole,Hungary,291.0,261.0,3928.0,5105.0,2723.0,42.0,12350.0,
2020-11,monthly,Whole,Hungary,349.0,324.0,3928.0,5105.0,2723.0,42.0,12471.0,
2020-12,monthly,Whole,Hungary,597.0,658.0,3928.0,5105.0,2723.0,42.0,13053.0,
2021-01,monthly,Whole,Hungary,179.0,254.0,0.0,0.0,0.0,0.0,433.0,
2021-02,monthly,Whole,Hungary,157.0,245.0,0.0,0.0,0.0,0.0,402.0,
2021-03,monthly,Whole,Hungary,263.0,354.0,0.0,0.0,0.0,0.0,617.0,
2021-04,monthly,Whole,Hungary,193.0,316.0,4213.0,4182.0,1854.0,18.0,10776.0,
2021-05,monthly,Whole,Hungary,214.0,337.0,4213.0,4182.0,1854.0,18.0,10818.0,
2021-06,monthly,Whole,Hungary,275.0,435.0,4213.0,4182.0,1854.0,18.0,10977.0,
2021-07,monthly,Whole,Hungary,262.0,319.0,3871.0,3801.0,1415.0,0.0,9668.0,
2021-08,monthly,Whole,Hungary,271.0,327.0,3871.0,3801.0,1415.0,0.0,9685.0,
2021-09,monthly,Whole,Hungary,566.0,476.0,3871.0,3801.0,1415.0,0.0,10129.0,
2021-10,monthly,Whole,Hungary,485.0,297.0,3656.0,3315.0,1065.0,79.0,8897.0,
2021-11,monthly,Whole,Hungary,484.0,344.0,3656.0,3315.0,1065.0,79.0,8943.0,
2021-12,monthly,Whole,Hungary,963.0,478.0,3656.0,3315.0,1065.0,79.0,9556.0,
2022-01,monthly,Whole,Hungary,323.0,372.0,3283.0,3205.0,874.0,34.0,8091.0,
2022-02,monthly,Whole,Hungary,338.0,419.0,3946.0,3472.0,1157.0,116.0,9448.0,
2022-03,monthly,Whole,Hungary,611.0,478.0,4392.0,4351.0,1235.0,82.0,11149.0,
2022-04,monthly,Whole,Hungary,279.0,407.0,3775.0,3385.0,1183.0,61.0,9090.0,
2022-05,monthly,Whole,Hungary,350.0,464.0,3609.0,4193.0,1437.0,85.0,10138.0,
2022-06,monthly,Whole,Hungary,364.0,309.0,2579.0,4625.0,1458.0,156.0,9491.0,
2022-07,monthly,Whole,Hungary,348.0,351.0,2670.0,4206.0,1296.0,82.0,8953.0,
2022-08,monthly,Whole,Hungary,415.0,387.0,3163.0,4780.0,1193.0,48.0,9986.0,
2022-09,monthly,Whole,Hungary,408.0,397.0,3383.0,3888.0,1302.0,41.0,9419.0,
2022-10,monthly,Whole,Hungary,328.0,422.0,3106.0,3158.0,1200.0,44.0,8258.0,
2022-11,monthly,Whole,Hungary,567.0,485.0,4174.0,3176.0,1052.0,45.0,9499.0,
2022-12,monthly,Whole,Hungary,424.0,435.0,3759.0,2849.0,1055.0,63.0,8586.0,
2023-01,monthly,Whole,Hungary,369.0,365.0,3600.0,3005.0,875.0,99.0,8313.0,
2023-02,monthly,Whole,Hungary,632.0,548.0,3800.0,3646.0,1035.0,67.0,9728.0,
2023-03,monthly,Whole,Hungary,650.0,488.0,4616.0,4451.0,1231.0,60.0,11496.0,
2023-04,monthly,Whole,Hungary,402.0,426.0,3375.0,3070.0,1233.0,65.0,8571.0,
2023-05,monthly,Whole,Hungary,479.0,432.0,3384.0,3504.0,1185.0,37.0,9021.0,
2023-06,monthly,Whole,Hungary,386.0,502.0,3340.0,3873.0,1314.0,50.0,9465.0,
2023-07,monthly,Whole,Hungary,355.0,536.0,3188.0,3025.0,1207.0,31.0,8342.0,
2023-08,monthly,Whole,Hungary,476.0,512.0,3813.0,3087.0,1041.0,26.0,8955.0,
2023-09,monthly,Whole,Hungary,448.0,448.0,4186.0,3019.0,992.0,29.0,9122.0,
2023-10,monthly,Whole,Hungary,648.0,434.0,3934.0,2440.0,945.0,27.0,8428.0,
2023-11,monthly,Whole,Hungary,530.0,431.0,3912.0,2437.0,949.0,34.0,8293.0,
2023-12,monthly,Whole,Hungary,424.0,420.0,3874.0,2195.0,1036.0,37.0,7986.0,
2024-01,monthly,Whole,Hungary,374.0,447.0,3761.0,2551.0,901.0,15.0,8049.0,
2024-02,monthly,Whole,Hungary,741.0,545.0,5058.0,3280.0,1110.0,7.0,10741.0,
2024-03,monthly,Whole,Hungary,1174.0,492.0,6597.0,3354.0,1263.0,10.0,12890.0,
2024-04,monthly,Whole,Hungary,719.0,488.0,4765.0,3135.0,1279.0,22.0,10408.0,
2024-05,monthly,Whole,Hungary,781.0,472.0,3871.0,3047.0,1343.0,18.0,9532.0,
2024-06,monthly,Whole,Hungary,864.0,430.0,4676.0,4143.0,1602.0,9.0,11724.0,
2024-07,monthly,Whole,Hungary,581.0,468.0,3798.0,2569.0,1096.0,11.0,8523.0,
2024-08,monthly,Whole,Hungary,518.0,737.0,3819.0,2064.0,955.0,18.0,8111.0,
2024-09,monthly,Whole,Hungary,776.0,219.0,3968.0,2774.0,1312.0,24.0,9073.0,
2024-10,monthly,Whole,Hungary,636.0,409.0,4622.0,3016.0,1300.0,51.0,10034.0,
