period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2018-01,monthly,Whole,ACEA,40.0,261.0,0.0,0.0,0.0,0.0,1623.0,
2018-02,monthly,Whole,ACEA,39.0,176.0,0.0,0.0,0.0,0.0,1159.0,
2018-03,monthly,Whole,ACEA,50.0,168.0,0.0,0.0,0.0,0.0,1834.0,
2018-04,monthly,Whole,ACEA,56.0,250.0,0.0,0.0,0.0,0.0,1812.0,
2018-05,monthly,Whole,ACEA,85.0,289.0,0.0,0.0,0.0,0.0,2858.0,
2018-06,monthly,Whole,ACEA,69.0,300.0,0.0,0.0,0.0,0.0,1597.0,
2018-07,monthly,Whole,ACEA,76.0,316.0,0.0,0.0,0.0,0.0,1689.0,
2018-08,monthly,Whole,ACEA,40.0,285.0,0.0,0.0,0.0,0.0,1464.0,
2018-09,monthly,Whole,ACEA,64.0,179.0,0.0,0.0,0.0,0.0,935.0,
2018-10,monthly,Whole,ACEA,95.0,172.0,0.0,0.0,0.0,0.0,804.0,
2018-11,monthly,Whole,ACEA,102.0,171.0,0.0,0.0,0.0,0.0,722.0,
2018-12,monthly,Whole,ACEA,52.0,102.0,0.0,0.0,0.0,0.0,481.0,
2019-01,monthly,Whole,ACEA,102.0,123.0,50.36824697,360.0396913,273.2943771,0.0,846.0,
2019-02,monthly,Whole,ACEA,47.0,124.0,47.6890849,340.8886439,258.7574421,0.0,801.0,
2019-03,monthly,Whole,ACEA,93.0,148.0,63.94266814,457.0716648,346.9481808,0.0,1074.0,
2019-04,monthly,Whole,ACEA,78.0,163.0,96.38464903,562.5501859,382.124426,0.0,1201.0,
2019-05,monthly,Whole,ACEA,108.0,167.0,161.5506232,942.8921933,640.4799913,0.0,2013.0,
2019-06,monthly,Whole,ACEA,79.0,134.0,109.0647277,636.5576208,432.3955828,0.0,1359.0,
2019-07,monthly,Whole,ACEA,133.0,139.0,91.48510467,324.2387279,221.439211,0.0,803.0,
2019-08,monthly,Whole,ACEA,148.0,151.0,114.8405797,407.0144928,277.9710145,0.0,1008.0,
2019-09,monthly,Whole,ACEA,92.0,167.0,81.45933977,288.7057166,197.1719002,0.0,715.0,
2019-10,monthly,Whole,ACEA,115.0,156.0,80.78888889,236.0714286,171.3703704,0.0,661.0,
2019-11,monthly,Whole,ACEA,94.0,145.0,78.46666667,229.2857143,166.4444444,0.0,642.0,
2019-12,monthly,Whole,ACEA,50.0,117.0,71.74444444,209.6428571,152.1851852,0.0,587.0,
2020-01,monthly,Whole,ACEA,228.6268116,105.3224638,84.77173913,154.986715,128.442029,6.850241546,709.0,
2020-02,monthly,Whole,ACEA,224.7572464,103.5398551,83.33695652,152.3635266,126.2681159,6.734299517,697.0,
2020-03,monthly,Whole,ACEA,347.615942,160.1376812,128.8913043,235.6497585,195.2898551,10.41545894,1078.0,
2020-04,monthly,Whole,ACEA,58.01635514,82.78738318,54.10514019,95.82476636,78.87616822,2.390186916,372.0,
2020-05,monthly,Whole,ACEA,80.47429907,114.8341121,75.04906542,132.9182243,109.4088785,3.315420561,516.0,
2020-06,monthly,Whole,ACEA,128.5093458,183.3785047,119.8457944,212.2570093,174.7149533,5.294392523,824.0,
2020-07,monthly,Whole,ACEA,329.2097561,231.0243902,193.4829268,388.4097561,330.6536585,7.219512195,1480.0,
2020-08,monthly,Whole,ACEA,129.2370732,90.69268293,75.95512195,152.4770732,129.8039024,2.834146341,581.0,
2020-09,monthly,Whole,ACEA,225.5531707,158.2829268,132.5619512,266.1131707,226.542439,4.946341463,1014.0,
2020-10,monthly,Whole,ACEA,212.3845788,219.7810566,78.19133746,122.5702047,105.6639695,1.408852927,740.0,
2020-11,monthly,Whole,ACEA,159.8624465,165.4297953,58.85483103,92.25892432,79.53355545,1.060447406,557.0,
2020-12,monthly,Whole,ACEA,230.7529748,238.789148,84.95383151,133.170871,114.802475,1.530699667,804.0,
2021-01,monthly,Whole,ACEA,178.6666667,180.6666667,110.3333333,115.6666667,110.6666667,1.0,697.0,
2021-02,monthly,Whole,ACEA,178.6666667,180.6666667,110.3333333,115.6666667,110.6666667,1.0,697.0,
2021-03,monthly,Whole,ACEA,178.6666667,180.6666667,110.3333333,115.6666667,110.6666667,1.0,697.0,
2021-04,monthly,Whole,ACEA,234.3333333,299.6666667,308.6666667,274.6666667,200.0,1.0,1318.333333,
2021-05,monthly,Whole,ACEA,234.3333333,299.6666667,308.6666667,274.6666667,200.0,1.0,1318.333333,
2021-06,monthly,Whole,ACEA,234.3333333,299.6666667,308.6666667,274.6666667,200.0,1.0,1318.333333,
2021-07,monthly,Whole,ACEA,373.0,295.3333333,237.6666667,225.3333333,122.0,1.0,1254.333333,
2021-08,monthly,Whole,ACEA,373.0,295.3333333,237.6666667,225.3333333,122.0,1.0,1254.333333,
2021-09,monthly,Whole,ACEA,373.0,295.3333333,237.6666667,225.3333333,122.0,1.0,1254.333333,
2021-10,monthly,Whole,ACEA,402.0,364.6666667,101.3333333,37.0,91.33333333,1.0,997.3333333,
2021-11,monthly,Whole,ACEA,402.0,364.6666667,101.3333333,37.0,91.33333333,1.0,997.3333333,
2021-12,monthly,Whole,ACEA,402.0,364.6666667,101.3333333,37.0,91.33333333,1.0,997.3333333,
2022-01,monthly,Whole,ACEA,329.0,290.0,117.0,67.0,81.0,0.0,884.0,
2022-02,monthly,Whole,ACEA,320.0,245.0,142.0,87.0,88.0,0.0,882.0,
2022-03,monthly,Whole,ACEA,685.0,252.0,199.0,134.0,181.0,0.0,1451.0,
2022-04,monthly,Whole,ACEA,279.0,470.0,345.0,193.0,116.0,0.0,1403.0,
2022-05,monthly,Whole,ACEA,403.0,630.0,489.0,369.0,328.0,0.0,2219.0,
2022-06,monthly,Whole,ACEA,389.0,570.0,580.0,397.0,552.0,0.0,2488.0,
2022-07,monthly,Whole,ACEA,319.0,350.0,383.0,231.0,342.0,0.0,1625.0,
2022-08,monthly,Whole,ACEA,272.0,200.0,154.0,105.0,246.0,0.0,977.0,
2022-09,monthly,Whole,ACEA,636.0,159.0,116.0,165.0,116.0,0.0,1192.0,
2022-10,monthly,Whole,ACEA,301.0,179.0,130.0,78.0,123.0,0.0,811.0,
2022-11,monthly,Whole,ACEA,717.0,191.0,171.0,99.0,115.0,0.0,1293.0,
2022-12,monthly,Whole,ACEA,916.0,216.0,161.0,60.0,97.0,0.0,1450.0,
2023-01,monthly,Whole,ACEA,196.0,112.0,149.0,123.0,149.0,1.0,730.0,
2023-02,monthly,Whole,ACEA,469.0,182.0,114.0,70.0,98.0,1.0,934.0,
2023-03,monthly,Whole,ACEA,935.0,169.0,317.0,208.0,201.0,0.0,1830.0,
2023-04,monthly,Whole,ACEA,475.0,200.0,453.0,233.0,268.0,0.0,1629.0,
2023-05,monthly,Whole,ACEA,942.0,211.0,648.0,326.0,450.0,0.0,2577.0,
2023-06,monthly,Whole,ACEA,904.0,227.0,488.0,308.0,641.0,0.0,2568.0,
2023-07,monthly,Whole,ACEA,441.0,119.0,282.0,187.0,239.0,0.0,1268.0,
2023-08,monthly,Whole,ACEA,700.0,121.0,130.0,81.0,133.0,0.0,1165.0,
2023-09,monthly,Whole,ACEA,751.0,166.0,113.0,45.0,58.0,1.0,1134.0,
2023-10,monthly,Whole,ACEA,667.0,94.0,74.0,81.0,45.0,0.0,961.0,
2023-11,monthly,Whole,ACEA,1054.0,95.0,75.0,27.0,45.0,0.0,1296.0,
2023-12,monthly,Whole,ACEA,1242.0,59.0,46.0,22.0,82.0,0.0,1451.0,
2024-01,monthly,Whole,ACEA,169.0,90.0,72.0,42.0,84.0,0.0,457.0,
2024-02,monthly,Whole,ACEA,97.0,96.0,95.0,26.0,83.0,0.0,397.0,
2024-03,monthly,Whole,ACEA,152.0,117.0,69.0,53.0,140.0,0.0,531.0,
2024-04,monthly,Whole,ACEA,178.0,246.0,277.0,265.0,443.0,0.0,1409.0,
2024-05,monthly,Whole,ACEA,364.0,405.0,399.0,223.0,155.0,0.0,1546.0,
2024-06,monthly,Whole,ACEA,213.0,275.0,384.0,437.0,289.0,0.0,1598.0,
2024-07,monthly,Whole,ACEA,250.0,190.0,196.0,62.0,138.0,0.0,836.0,
2024-08,monthly,Whole,ACEA,192.0,92.0,98.0,37.0,44.0,0.0,463.0,
2024-09,monthly,Whole,ACEA,299.0,96.0,93.0,22.0,49.0,1.0,560.0,
2024-10,monthly,Whole,ACEA,390.0,99.0,84.0,26.0,82.0,1.0,682.0,
2024-11,monthly,Whole,ACEA,268.0,76.0,52.0,15.0,95.0,0.0,506.0,
