period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2021-07,yearly,Buses,ACEA,,,,,,,30.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2022-07,yearly,Buses,ACEA,,,,,,,25.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2023-02,quarterly,Buses,ACEA,0.0,,0.0,0.0,18.0,0.0,18.0,https://www.acea.auto/files/20230407_PRCV_Q1-2023_FINAL.pdf
2022-02,quarterly,Buses,ACEA,0.0,,0.0,0.0,8.0,0.0,8.0,https://www.acea.auto/files/20230407_PRCV_Q1-2023_FINAL.pdf
2023-05,quarterly,Buses,ACEA,3.0,,0.0,0.0,45.0,0.0,48.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_H1-2024.pdf
2022-05,quarterly,Buses,ACEA,0.0,,0.0,0.0,8.0,0.0,8.0,https://www.acea.auto/files/20230727_PRCV_Q1-Q2_2023.pdf
2024-02,quarterly,Buses,ACEA,0.0,,0.0,0.0,32.0,0.0,32.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2024.pdf
2024-05,quarterly,Buses,ACEA,0.0,,0.0,0.0,54.0,0.0,54.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_H1-2024.pdf
2024-08,quarterly,Buses,ACEA,3.0,,0.0,0.0,70.0,0.0,73.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q3_2024.pdf
2023-08,quarterly,Buses,ACEA,10.0,,0.0,0.0,39.0,1.0,50.0,https://www.acea.auto/files/Press_release_commercial_vehicles_Q1-Q3_2023.pdf
2022-08,quarterly,Buses,ACEA,0.0,,0.0,0.0,11.0,0.0,11.0,https://www.acea.auto/files/Press_release_commercial_vehicles_Q1-Q3_2023.pdf
2023-11,quarterly,Buses,ACEA,2.0,,0.0,0.0,24.0,1.0,27.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2024.pdf
2022-11,quarterly,Buses,ACEA,0.0,,0.0,0.0,8.0,0.0,8.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2023.pdf
2024-11,quarterly,Buses,ACEA,3.0,,0.0,0.0,35.0,0.0,38.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2024.pdf
2025-02,quarterly,Buses,ACEA,6.0,,0.0,0.0,45.0,0.0,51.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2025-1.pdf
2025-05,quarterly,Buses,ACEA,0.0,,0.0,0.0,71.0,0.0,71.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q2_2025.pdf
2025-08,quarterly,Buses,ACEA,2.0,,0.0,0.0,34.0,0.0,36.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q3-2025.pdf
