period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,CNG,LPG,FLEXFUEL,OTHERS,TOTAL,notes
2017-07,yearly,Whole,"vahan.parivahan.gov.in (VAHAN4 dashboard, Fuel Wise Calendar Year; Vehicle Class = MOTOR CAR + MOTOR CAB + LUXURY CAB = EU M1)",1130.0,0.0,48486.0,1665975.0,1231930.0,228400.0,26801.0,1.0,5988.0,3208711.0,
2018-07,yearly,Whole,"vahan.parivahan.gov.in (VAHAN4 dashboard, Fuel Wise Calendar Year; Vehicle Class = MOTOR CAR + MOTOR CAB + LUXURY CAB = EU M1)",1704.0,0.0,71554.0,1730182.0,1198357.0,254352.0,23002.0,2.0,8016.0,3287169.0,
2019-07,yearly,Whole,"vahan.parivahan.gov.in (VAHAN4 dashboard, Fuel Wise Calendar Year; Vehicle Class = MOTOR CAR + MOTOR CAB + LUXURY CAB = EU M1)",2007.0,0.0,115856.0,1688802.0,1020561.0,246889.0,19267.0,0.0,5445.0,3098827.0,
2020-01,monthly,Whole,"vahan.parivahan.gov.in (VAHAN4 dashboard, Fuel x Month Wise; Vehicle Class = MOTOR CAR + MOTOR CAB + LUXURY CAB = EU M1)",318.0,0.0,7410.0,188680.0,99915.0,28369.0,1535.0,0.0,301.0,326528.0,
2020-02,monthly,Whole,"vahan.parivahan.gov.in (VAHAN4 dashboard, Fuel x Month Wise; Vehicle Class = MOTOR CAR + MOTOR CAB + LUXURY CAB = EU M1)",514.0,0.0,5979.0,149880.0,79710.0,19270.0,1418.0,0.0,161.0,256932.0,
2020-03,monthly,Whole,"vahan.parivahan.gov.in (VAHAN4 dashboard, Fuel x Month Wise; Vehicle Class = MOTOR CAR + MOTOR CAB + LUXURY CAB = EU M1)",462.0,0.0,8362.0,142966.0,77976.0,15875.0,1154.0,0.0,172.0,246967.0,
2020-04,monthly,Whole,"vahan.parivahan.gov.in (VAHAN4 dashboard, Fuel x Month Wise; Vehicle Class = MOTOR CAR + MOTOR CAB + LUXURY CAB = EU M1)",3.0,0.0,607.0,13397.0,9290.0,1005.0,115.0,0.0,4.0,24421.0,
2020-05,monthly,Whole,"vahan.parivahan.gov.in (VAHAN4 dashboard, Fuel x Month Wise; Vehicle Class = MOTOR CAR + MOTOR CAB + LUXURY CAB = EU M1)",86.0,0.0,1694.0,26340.0,4451.0,1676.0,194.0,0.0,1.0,34442.0,
2020-06,monthly,Whole,"vahan.parivahan.gov.in (VAHAN4 dashboard, Fuel x Month Wise; Vehicle Class = MOTOR CAR + MOTOR CAB + LUXURY CAB = EU M1)",313.0,0.0,6551.0,102875.0,20353.0,9878.0,668.0,0.0,10.0,140648.0,
2020-07,monthly,Whole,"vahan.parivahan.gov.in (VAHAN4 dashboard, Fuel x Month Wise; Vehicle Class = MOTOR CAR + MOTOR CAB + LUXURY CAB = EU M1)",373.0,0.0,6629.0,128412.0,28453.0,14327.0,974.0,0.0,9.0,179177.0,
2020-08,monthly,Whole,"vahan.parivahan.gov.in (VAHAN4 dashboard, Fuel x Month Wise; Vehicle Class = MOTOR CAR + MOTOR CAB + LUXURY CAB = EU M1)",396.0,0.0,8448.0,144610.0,32627.0,17824.0,914.0,0.0,17.0,204836.0,
2020-09,monthly,Whole,"vahan.parivahan.gov.in (VAHAN4 dashboard, Fuel x Month Wise; Vehicle Class = MOTOR CAR + MOTOR CAB + LUXURY CAB = EU M1)",363.0,0.0,9783.0,161467.0,38097.0,17544.0,1226.0,0.0,20.0,228500.0,
