period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2010-01,monthly,Whole,robbieandrew.github.io / gaikindo.io,0.0,0.0,0.0,35644.0,2922.0,0.0,38566.0,
2010-02,monthly,Whole,https://robbieandrew.github.io/carsales/,0.0,0.0,0.0,36591.0,2714.0,0.0,39305.0,
2010-03,monthly,Whole,robbieandrew.github.io / gaikindo.io,0.0,0.0,0.0,43436.0,2866.0,0.0,46302.0,
2010-04,monthly,Whole,robbieandrew.github.io / gaikindo.io,0.0,0.0,0.0,42684.0,2823.0,0.0,45507.0,
2010-05,monthly,Whole,robbieandrew.github.io / gaikindo.io,0.0,0.0,0.0,38710.0,2570.0,0.0,41280.0,
2010-06,monthly,Whole,robbieandrew.github.io / gaikindo.io,0.0,0.0,0.0,47497.0,2539.0,0.0,50036.0,
2010-07,monthly,Whole,robbieandrew.github.io / gaikindo.io,0.0,0.0,0.0,48667.0,2942.0,0.0,51609.0,
2010-08,monthly,Whole,robbieandrew.github.io / gaikindo.io,0.0,0.0,0.0,43065.0,2997.0,0.0,46062.0,
2010-09,monthly,Whole,robbieandrew.github.io / gaikindo.io,0.0,0.0,0.0,32623.0,2166.0,0.0,34789.0,
2010-10,monthly,Whole,robbieandrew.github.io / gaikindo.io,0.0,0.0,0.0,46757.0,2844.0,0.0,49601.0,
2010-11,monthly,Whole,robbieandrew.github.io / gaikindo.io,0.0,0.0,0.0,46066.0,2705.0,0.0,48771.0,
2010-12,monthly,Whole,robbieandrew.github.io / gaikindo.io,0.0,0.0,0.0,46826.0,2821.0,0.0,49647.0,
2011-01,monthly,Whole,robbieandrew.github.io / gaikindo.io,2.0,0.0,0.0,49883.0,2752.0,0.0,52637.0,
2011-02,monthly,Whole,robbieandrew.github.io / gaikindo.io,0.0,0.0,0.0,45415.0,2698.0,0.0,48113.0,
2011-03,monthly,Whole,robbieandrew.github.io / gaikindo.io,0.0,0.0,0.0,52244.0,3183.0,0.0,55427.0,
2011-04,monthly,Whole,robbieandrew.github.io / gaikindo.io,0.0,0.0,0.0,36661.0,2842.0,0.0,39503.0,
2011-05,monthly,Whole,robbieandrew.github.io / gaikindo.io,0.0,0.0,0.0,37336.0,2447.0,0.0,39783.0,
2011-06,monthly,Whole,robbieandrew.github.io / gaikindo.io,0.0,0.0,0.0,44752.0,3350.0,0.0,48102.0,
2011-07,monthly,Whole,robbieandrew.github.io / gaikindo.io,0.0,0.0,0.0,55741.0,3896.0,0.0,59637.0,
2011-08,monthly,Whole,robbieandrew.github.io / gaikindo.io,0.0,0.0,0.0,47591.0,3206.0,0.0,50797.0,
2011-09,monthly,Whole,robbieandrew.github.io / gaikindo.io,0.0,0.0,0.0,53504.0,2527.0,0.0,56031.0,
2011-10,monthly,Whole,robbieandrew.github.io / gaikindo.io,0.0,0.0,0.0,55920.0,2536.0,0.0,58456.0,
2011-11,monthly,Whole,robbieandrew.github.io / gaikindo.io,0.0,0.0,0.0,38580.0,2786.0,0.0,41366.0,
2011-12,monthly,Whole,robbieandrew.github.io / gaikindo.io,0.0,0.0,0.0,49736.0,2410.0,0.0,52146.0,
