period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,FLEXFUEL,OTHERS,TOTAL,notes
2008-01,monthly,Whole,stats.simi.ie,3.0,0.0,343.0,32647.0,14282.0,,0.0,47275.0,
2008-02,monthly,Whole,stats.simi.ie,1.0,0.0,159.0,16810.0,7017.0,,0.0,23987.0,
2008-03,monthly,Whole,stats.simi.ie,1.0,0.0,147.0,15056.0,6248.0,,0.0,21452.0,
2008-04,monthly,Whole,stats.simi.ie,0.0,0.0,115.0,9146.0,4000.0,,0.0,13261.0,
2008-05,monthly,Whole,stats.simi.ie,0.0,0.0,64.0,7520.0,2549.0,,0.0,10133.0,
2008-06,monthly,Whole,stats.simi.ie,1.0,0.0,64.0,6191.0,1628.0,,0.0,7884.0,
2008-07,monthly,Whole,stats.simi.ie,0.0,0.0,210.0,5994.0,10140.0,,0.0,16344.0,
2008-08,monthly,Whole,stats.simi.ie,0.0,0.0,52.0,2107.0,3081.0,,0.0,5240.0,
2008-09,monthly,Whole,stats.simi.ie,0.0,0.0,40.0,1366.0,2048.0,,0.0,3454.0,
2008-10,monthly,Whole,stats.simi.ie,0.0,0.0,22.0,751.0,974.0,,0.0,1747.0,
2008-11,monthly,Whole,stats.simi.ie,0.0,0.0,5.0,302.0,337.0,,0.0,644.0,
2008-12,monthly,Whole,stats.simi.ie,0.0,0.0,0.0,86.0,102.0,,0.0,188.0,
2009-01,monthly,Whole,stats.simi.ie,0.0,0.0,73.0,6534.0,9193.0,,0.0,15800.0,
2009-02,monthly,Whole,stats.simi.ie,5.0,0.0,19.0,3766.0,5093.0,,0.0,8883.0,
2009-03,monthly,Whole,stats.simi.ie,0.0,0.0,20.0,3379.0,4365.0,,0.0,7764.0,
2009-04,monthly,Whole,stats.simi.ie,0.0,0.0,25.0,1821.0,2527.0,,0.0,4373.0,
2009-05,monthly,Whole,stats.simi.ie,0.0,0.0,37.0,2387.0,2662.0,,0.0,5086.0,
2009-06,monthly,Whole,stats.simi.ie,0.0,0.0,21.0,2205.0,2583.0,,0.0,4809.0,
2009-07,monthly,Whole,stats.simi.ie,0.0,0.0,30.0,1662.0,2056.0,,0.0,3748.0,
2009-08,monthly,Whole,stats.simi.ie,0.0,0.0,22.0,1074.0,1308.0,,0.0,2404.0,
2009-09,monthly,Whole,stats.simi.ie,0.0,0.0,22.0,795.0,1433.0,,0.0,2250.0,
2009-10,monthly,Whole,stats.simi.ie,0.0,0.0,13.0,576.0,938.0,,0.0,1527.0,
2009-11,monthly,Whole,stats.simi.ie,0.0,0.0,9.0,194.0,315.0,,0.0,518.0,
2009-12,monthly,Whole,stats.simi.ie,0.0,0.0,1.0,97.0,206.0,,0.0,304.0,
2010-01,monthly,Whole,stats.simi.ie,0.0,0.0,129.0,6607.0,9651.0,,0.0,16387.0,
2010-02,monthly,Whole,stats.simi.ie,0.0,0.0,99.0,4858.0,7147.0,,0.0,12104.0,
2010-03,monthly,Whole,stats.simi.ie,1.0,0.0,124.0,4849.0,8679.0,,0.0,13653.0,
2010-04,monthly,Whole,stats.simi.ie,1.0,0.0,84.0,2557.0,5828.0,,0.0,8470.0,
2010-05,monthly,Whole,stats.simi.ie,6.0,0.0,72.0,2883.0,5725.0,,0.0,8686.0,
2010-06,monthly,Whole,stats.simi.ie,8.0,0.0,68.0,2555.0,5775.0,,0.0,8406.0,
2010-07,monthly,Whole,stats.simi.ie,0.0,0.0,50.0,1924.0,4337.0,,0.0,6311.0,
2010-08,monthly,Whole,stats.simi.ie,0.0,0.0,40.0,1476.0,3419.0,,0.0,4935.0,
2010-09,monthly,Whole,stats.simi.ie,0.0,0.0,28.0,1567.0,2693.0,,0.0,4288.0,
2010-10,monthly,Whole,stats.simi.ie,0.0,0.0,24.0,1103.0,2132.0,,0.0,3259.0,
2010-11,monthly,Whole,stats.simi.ie,2.0,0.0,12.0,660.0,847.0,,0.0,1521.0,
2010-12,monthly,Whole,stats.simi.ie,0.0,0.0,6.0,136.0,292.0,,0.0,434.0,
2011-01,monthly,Whole,stats.simi.ie,0.0,0.0,105.0,6082.0,14811.0,,0.0,20998.0,
2011-02,monthly,Whole,stats.simi.ie,0.0,0.0,46.0,3563.0,8960.0,,0.0,12569.0,
2011-03,monthly,Whole,stats.simi.ie,0.0,0.0,91.0,4111.0,10190.0,,0.0,14392.0,
2011-04,monthly,Whole,stats.simi.ie,18.0,0.0,76.0,2255.0,6331.0,,0.0,8680.0,
2011-05,monthly,Whole,stats.simi.ie,12.0,0.0,37.0,2469.0,6932.0,,0.0,9450.0,
2011-06,monthly,Whole,stats.simi.ie,5.0,0.0,56.0,3741.0,7205.0,,0.0,11007.0,
2011-07,monthly,Whole,stats.simi.ie,6.0,0.0,32.0,1013.0,3030.0,,0.0,4081.0,
2011-08,monthly,Whole,stats.simi.ie,2.0,0.0,19.0,741.0,2479.0,,0.0,3241.0,
2011-09,monthly,Whole,stats.simi.ie,1.0,0.0,35.0,628.0,2108.0,,0.0,2772.0,
2011-10,monthly,Whole,stats.simi.ie,0.0,0.0,43.0,403.0,1148.0,,0.0,1594.0,
2011-11,monthly,Whole,stats.simi.ie,1.0,0.0,9.0,239.0,530.0,,0.0,779.0,
2011-12,monthly,Whole,stats.simi.ie,1.0,0.0,4.0,73.0,293.0,,0.0,371.0,
2012-01,monthly,Whole,stats.simi.ie,9.0,0.0,211.0,5491.0,15598.0,,0.0,21309.0,
2012-02,monthly,Whole,stats.simi.ie,4.0,0.0,76.0,3154.0,8262.0,,0.0,11496.0,
2012-03,monthly,Whole,stats.simi.ie,11.0,0.0,68.0,3216.0,9759.0,,0.0,13054.0,
2012-04,monthly,Whole,stats.simi.ie,8.0,0.0,55.0,1692.0,5051.0,,0.0,6806.0,
2012-05,monthly,Whole,stats.simi.ie,14.0,0.0,39.0,1656.0,5992.0,,0.0,7701.0,
2012-06,monthly,Whole,stats.simi.ie,16.0,0.0,65.0,1583.0,4688.0,,0.0,6352.0,
2012-07,monthly,Whole,stats.simi.ie,60.0,0.0,40.0,1050.0,3274.0,,0.0,4424.0,
2012-08,monthly,Whole,stats.simi.ie,7.0,0.0,30.0,746.0,2309.0,,0.0,3092.0,
2012-09,monthly,Whole,stats.simi.ie,3.0,0.0,16.0,549.0,1915.0,,0.0,2483.0,
2012-10,monthly,Whole,stats.simi.ie,2.0,0.0,14.0,317.0,1325.0,,0.0,1658.0,
2012-11,monthly,Whole,stats.simi.ie,4.0,0.0,12.0,238.0,629.0,,0.0,883.0,
2012-12,monthly,Whole,stats.simi.ie,0.0,0.0,9.0,64.0,243.0,,0.0,316.0,
2013-01,monthly,Whole,stats.simi.ie,5.0,0.0,112.0,4363.0,12780.0,,0.0,17260.0,
2013-02,monthly,Whole,stats.simi.ie,8.0,0.0,63.0,2736.0,7776.0,,0.0,10583.0,
2013-03,monthly,Whole,stats.simi.ie,2.0,0.0,40.0,3634.0,7973.0,,0.0,11649.0,
2013-04,monthly,Whole,stats.simi.ie,6.0,0.0,36.0,1450.0,4659.0,,0.0,6151.0,
2013-05,monthly,Whole,stats.simi.ie,0.0,0.0,0.0,0.0,4269.0,,0.0,4269.0,
2013-06,monthly,Whole,stats.simi.ie,1.0,0.0,21.0,468.0,1182.0,,0.0,1672.0,
2013-07,monthly,Whole,stats.simi.ie,12.0,0.0,122.0,3165.0,8340.0,,0.0,11639.0,
2013-08,monthly,Whole,stats.simi.ie,5.0,0.0,50.0,880.0,2763.0,,0.0,3698.0,
2013-09,monthly,Whole,stats.simi.ie,4.0,0.0,48.0,781.0,2327.0,,0.0,3160.0,
2013-10,monthly,Whole,stats.simi.ie,5.0,0.0,20.0,402.0,1265.0,,0.0,1692.0,
2013-11,monthly,Whole,stats.simi.ie,1.0,0.0,11.0,215.0,474.0,,0.0,701.0,
2013-12,monthly,Whole,stats.simi.ie,0.0,0.0,1.0,75.0,136.0,,0.0,212.0,
2014-01,monthly,Whole,stats.simi.ie,52.0,1.0,285.0,5453.0,17088.0,,0.0,22879.0,
2014-02,monthly,Whole,stats.simi.ie,18.0,0.0,125.0,3316.0,9252.0,,0.0,12711.0,
2014-03,monthly,Whole,stats.simi.ie,31.0,0.0,131.0,3618.0,10517.0,,0.0,14297.0,
2014-04,monthly,Whole,stats.simi.ie,10.0,0.0,89.0,1969.0,5754.0,,0.0,7822.0,
2014-05,monthly,Whole,stats.simi.ie,9.0,0.0,71.0,1755.0,4437.0,,0.0,6272.0,
2014-06,monthly,Whole,stats.simi.ie,5.0,8.0,21.0,569.0,1081.0,,0.0,1684.0,
2014-07,monthly,Whole,stats.simi.ie,39.0,5.0,123.0,4889.0,13655.0,,0.0,18711.0,
2014-08,monthly,Whole,stats.simi.ie,28.0,9.0,69.0,1036.0,3723.0,,0.0,4865.0,
2014-09,monthly,Whole,stats.simi.ie,14.0,8.0,48.0,885.0,2945.0,,0.0,3900.0,
2014-10,monthly,Whole,stats.simi.ie,10.0,1.0,32.0,533.0,1437.0,,0.0,2013.0,
2014-11,monthly,Whole,stats.simi.ie,5.0,3.0,7.0,202.0,554.0,,0.0,771.0,
2014-12,monthly,Whole,stats.simi.ie,0.0,0.0,0.0,39.0,308.0,,0.0,347.0,
2015-01,monthly,Whole,stats.simi.ie,115.0,21.0,394.0,7874.0,21377.0,,0.0,29781.0,
2015-02,monthly,Whole,stats.simi.ie,49.0,5.0,147.0,4176.0,11384.0,,0.0,15761.0,
2015-03,monthly,Whole,stats.simi.ie,85.0,11.0,165.0,5760.0,12887.0,,0.0,18908.0,
2015-04,monthly,Whole,stats.simi.ie,37.0,12.0,99.0,2461.0,6829.0,,0.0,9438.0,
2015-05,monthly,Whole,stats.simi.ie,24.0,8.0,65.0,1808.0,4999.0,,0.0,6904.0,
2015-06,monthly,Whole,stats.simi.ie,3.0,1.0,27.0,336.0,1072.0,,0.0,1439.0,
2015-07,monthly,Whole,stats.simi.ie,85.0,21.0,366.0,7726.0,19362.0,,0.0,27560.0,
2015-08,monthly,Whole,stats.simi.ie,37.0,8.0,115.0,1580.0,4660.0,,0.0,6400.0,
2015-09,monthly,Whole,stats.simi.ie,14.0,6.0,72.0,1246.0,3426.0,,0.0,4764.0,
2015-10,monthly,Whole,stats.simi.ie,8.0,10.0,35.0,573.0,1933.0,,0.0,2559.0,
2015-11,monthly,Whole,stats.simi.ie,8.0,13.0,8.0,241.0,670.0,,0.0,940.0,
2015-12,monthly,Whole,stats.simi.ie,1.0,1.0,6.0,122.0,214.0,,0.0,344.0,
2016-01,monthly,Whole,stats.simi.ie,49.0,45.0,619.0,11488.0,27521.0,,0.0,39722.0,
2016-02,monthly,Whole,stats.simi.ie,126.0,24.0,277.0,5670.0,15476.0,,0.0,21573.0,
2016-03,monthly,Whole,stats.simi.ie,84.0,32.0,391.0,6011.0,15011.0,,0.0,21529.0,
2016-04,monthly,Whole,stats.simi.ie,14.0,28.0,186.0,2611.0,7542.0,,0.0,10381.0,
2016-05,monthly,Whole,stats.simi.ie,10.0,23.0,101.0,1635.0,4730.0,,0.0,6499.0,
2016-06,monthly,Whole,stats.simi.ie,3.0,3.0,42.0,458.0,1117.0,,0.0,1623.0,
2016-07,monthly,Whole,stats.simi.ie,55.0,67.0,625.0,8676.0,20451.0,,0.0,29874.0,
2016-08,monthly,Whole,stats.simi.ie,20.0,27.0,161.0,1900.0,5189.0,,0.0,7297.0,
2016-09,monthly,Whole,stats.simi.ie,10.0,32.0,57.0,1164.0,3444.0,,0.0,4707.0,
2016-10,monthly,Whole,stats.simi.ie,10.0,15.0,33.0,545.0,1654.0,,0.0,2257.0,
2016-11,monthly,Whole,stats.simi.ie,11.0,2.0,70.0,230.0,441.0,,0.0,754.0,
2016-12,monthly,Whole,stats.simi.ie,0.0,0.0,8.0,255.0,172.0,,0.0,435.0,
2017-01,monthly,Whole,stats.simi.ie,168.0,47.0,1343.0,11888.0,25557.0,,0.0,39003.0,
2017-02,monthly,Whole,stats.simi.ie,61.0,47.0,586.0,4758.0,11637.0,,0.0,17089.0,
2017-03,monthly,Whole,stats.simi.ie,69.0,43.0,434.0,5824.0,13520.0,,0.0,19890.0,
2017-04,monthly,Whole,stats.simi.ie,42.0,10.0,280.0,2600.0,4909.0,,0.0,7841.0,
2017-05,monthly,Whole,stats.simi.ie,30.0,8.0,190.0,2132.0,3632.0,,0.0,5992.0,
