period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,FLEXFUEL,OTHERS,TOTAL,notes
2010-01,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0,
2010-02,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,
2010-03,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0,
2010-04,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,
2010-05,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,
2010-06,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,
2010-07,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,
2010-09,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,
2010-10,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,
2011-01,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,21.0,0.0,0.0,21.0,
2011-02,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,
2011-03,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0,
2011-04,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,
2011-05,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,
2011-06,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,
2011-07,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,
2011-08,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,
2011-09,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,
2011-10,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,
2012-01,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,55.0,0.0,0.0,55.0,
2012-02,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,36.0,0.0,0.0,36.0,
2012-03,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,19.0,0.0,0.0,19.0,
2012-04,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,19.0,0.0,0.0,19.0,
2012-05,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,
2012-06,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,
2012-07,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,
2012-08,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,22.0,0.0,0.0,22.0,
2012-09,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,27.0,0.0,0.0,27.0,
2012-10,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,
2013-01,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0,
2013-02,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,
2013-03,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,
2013-04,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0,
2013-05,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,17.0,0.0,0.0,17.0,
2013-06,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,
2013-07,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,
2013-08,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,
2013-09,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,
2013-10,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,21.0,0.0,0.0,21.0,
2014-01,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,28.0,0.0,0.0,28.0,
2014-02,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,
2014-03,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,
2014-04,monthly,Buses,stats.simi.ie,0.0,0.0,1.0,0.0,17.0,0.0,0.0,18.0,
2014-05,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0,
2014-06,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,
2014-07,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,
2014-08,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,23.0,0.0,0.0,23.0,
2014-09,monthly,Buses,stats.simi.ie,0.0,0.0,0.0,0.0,32.0,0.0,0.0,32.0,
