period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,FLEXFUEL,OTHERS,TOTAL,notes
2010-01,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,135.0,0.0,0.0,135.0,
2010-02,monthly,HDV,stats.simi.ie,2.0,0.0,0.0,0.0,107.0,0.0,0.0,109.0,
2010-03,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,1.0,127.0,1.0,0.0,129.0,
2010-04,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,79.0,0.0,0.0,79.0,
2010-05,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,93.0,0.0,0.0,93.0,
2010-06,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,1.0,89.0,0.0,0.0,90.0,
2010-07,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,102.0,0.0,0.0,102.0,
2010-08,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,54.0,0.0,0.0,54.0,
2010-09,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,2.0,123.0,0.0,0.0,125.0,
2010-10,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,45.0,0.0,0.0,45.0,
2010-11,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,33.0,0.0,0.0,33.0,
2010-12,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,34.0,0.0,0.0,34.0,
2011-01,monthly,HDV,stats.simi.ie,0.0,0.0,1.0,0.0,127.0,0.0,0.0,128.0,
2011-02,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,105.0,0.0,0.0,105.0,
2011-03,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,131.0,0.0,0.0,131.0,
2011-04,monthly,HDV,stats.simi.ie,1.0,0.0,0.0,0.0,133.0,0.0,0.0,134.0,
2011-05,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,64.0,0.0,0.0,64.0,
2011-06,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,109.0,0.0,0.0,109.0,
2011-07,monthly,HDV,stats.simi.ie,0.0,0.0,9.0,0.0,85.0,0.0,0.0,94.0,
2011-08,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,102.0,0.0,0.0,102.0,
2011-09,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,112.0,0.0,0.0,112.0,
2011-10,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,68.0,0.0,0.0,68.0,
2011-11,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,54.0,0.0,0.0,54.0,
2011-12,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,
2012-01,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,203.0,0.0,0.0,203.0,
2012-02,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,96.0,0.0,0.0,96.0,
2012-03,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,109.0,0.0,0.0,109.0,
2012-04,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,142.0,0.0,0.0,142.0,
2012-05,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,91.0,0.0,0.0,91.0,
2012-06,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,103.0,0.0,0.0,103.0,
2012-07,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,94.0,0.0,0.0,94.0,
2012-08,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,92.0,0.0,0.0,92.0,
2012-09,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,87.0,0.0,0.0,87.0,
2012-10,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,59.0,0.0,0.0,59.0,
2012-11,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,35.0,0.0,0.0,35.0,
2012-12,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,
2013-01,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,220.0,0.0,0.0,220.0,
2013-02,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,143.0,0.0,0.0,143.0,
2013-03,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,169.0,0.0,0.0,169.0,
2013-04,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,111.0,0.0,0.0,111.0,
2013-05,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,91.0,0.0,0.0,91.0,
2013-06,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,56.0,0.0,0.0,56.0,
2013-07,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,143.0,0.0,0.0,143.0,
2013-08,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,166.0,0.0,0.0,166.0,
2013-09,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,155.0,0.0,0.0,155.0,
2013-10,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,178.0,0.0,0.0,178.0,
2013-11,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,75.0,0.0,0.0,75.0,
2013-12,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,53.0,0.0,0.0,53.0,
2014-01,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,277.0,0.0,0.0,277.0,
2014-02,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,230.0,0.0,0.0,230.0,
2014-03,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,202.0,0.0,1.0,203.0,
2014-04,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,169.0,0.0,0.0,169.0,
2014-05,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,147.0,0.0,0.0,147.0,
2014-06,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,80.0,0.0,0.0,80.0,
2014-07,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,201.0,0.0,0.0,201.0,
2014-08,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,113.0,0.0,0.0,113.0,
2014-09,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,120.0,0.0,0.0,120.0,
2014-10,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,200.0,0.0,0.0,200.0,
2014-11,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,31.0,0.0,0.0,31.0,
2014-12,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,
2015-01,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,170.0,0.0,0.0,170.0,
2015-02,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,177.0,0.0,0.0,177.0,
2015-03,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,204.0,0.0,0.0,204.0,
2015-04,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,199.0,0.0,0.0,199.0,
2015-05,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,202.0,0.0,0.0,202.0,
2015-06,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,132.0,0.0,0.0,132.0,
2015-07,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,246.0,0.0,0.0,246.0,
2015-08,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,152.0,0.0,0.0,152.0,
2015-09,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,162.0,0.0,0.0,162.0,
2015-10,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,138.0,0.0,0.0,138.0,
2015-11,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,78.0,0.0,0.0,78.0,
2015-12,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0,
2016-01,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,421.0,0.0,0.0,421.0,
2016-02,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,236.0,0.0,0.0,236.0,
2016-03,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,279.0,0.0,0.0,279.0,
2016-04,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,250.0,0.0,0.0,250.0,
2016-05,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,254.0,0.0,0.0,254.0,
2016-06,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,80.0,0.0,0.0,80.0,
2016-07,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,378.0,0.0,0.0,378.0,
2016-08,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,218.0,0.0,0.0,218.0,
2016-09,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,188.0,0.0,0.0,188.0,
2016-10,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,117.0,0.0,0.0,117.0,
2016-11,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,61.0,0.0,0.0,61.0,
2016-12,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,29.0,0.0,0.0,29.0,
2017-01,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,418.0,0.0,0.0,418.0,
2017-02,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,249.0,0.0,0.0,249.0,
2017-03,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,268.0,0.0,2.0,270.0,
2017-04,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,194.0,0.0,0.0,194.0,
2017-05,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,191.0,0.0,0.0,191.0,
2017-06,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,79.0,0.0,0.0,79.0,
2017-07,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,291.0,0.0,0.0,291.0,
2017-08,monthly,HDV,stats.simi.ie,0.0,0.0,0.0,0.0,160.0,0.0,0.0,160.0,
