period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,FLEXFUEL,OTHERS,TOTAL,notes
2010-01,monthly,Vans,stats.simi.ie,3.0,0.0,0.0,2.0,2053.0,0.0,1.0,2059.0,
2010-02,monthly,Vans,stats.simi.ie,1.0,0.0,0.0,1.0,1489.0,0.0,0.0,1491.0,
2010-03,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,5.0,1430.0,0.0,0.0,1435.0,
2010-04,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,1.0,797.0,0.0,0.0,798.0,
2010-05,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,2.0,711.0,0.0,0.0,713.0,
2010-06,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,4.0,708.0,0.0,0.0,712.0,
2010-07,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,1.0,672.0,0.0,0.0,673.0,
2010-08,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,1.0,872.0,0.0,0.0,873.0,
2010-09,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,3.0,657.0,0.0,0.0,660.0,
2010-10,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,1.0,600.0,0.0,0.0,601.0,
2010-11,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,0.0,283.0,0.0,0.0,283.0,
2010-12,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,0.0,133.0,0.0,0.0,133.0,
2011-01,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,0.0,1927.0,0.0,0.0,1927.0,
2011-02,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,1.0,1459.0,0.0,0.0,1460.0,
2011-03,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,4.0,1548.0,0.0,0.0,1552.0,
2011-04,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,10.0,1095.0,0.0,0.0,1105.0,
2011-05,monthly,Vans,stats.simi.ie,1.0,0.0,0.0,2.0,1266.0,0.0,0.0,1269.0,
2011-06,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,1.0,828.0,0.0,0.0,829.0,
2011-07,monthly,Vans,stats.simi.ie,1.0,0.0,0.0,0.0,688.0,0.0,0.0,689.0,
2011-08,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,0.0,701.0,0.0,0.0,701.0,
2011-09,monthly,Vans,stats.simi.ie,2.0,0.0,0.0,0.0,698.0,0.0,0.0,700.0,
2011-10,monthly,Vans,stats.simi.ie,7.0,0.0,0.0,1.0,593.0,0.0,0.0,601.0,
2011-11,monthly,Vans,stats.simi.ie,1.0,0.0,0.0,0.0,306.0,0.0,0.0,307.0,
2011-12,monthly,Vans,stats.simi.ie,5.0,0.0,4.0,0.0,185.0,0.0,0.0,194.0,
2012-01,monthly,Vans,stats.simi.ie,3.0,0.0,0.0,1.0,2207.0,0.0,0.0,2211.0,
2012-02,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,0.0,1391.0,0.0,0.0,1391.0,
2012-03,monthly,Vans,stats.simi.ie,7.0,0.0,0.0,0.0,1403.0,0.0,0.0,1410.0,
2012-04,monthly,Vans,stats.simi.ie,3.0,0.0,0.0,0.0,896.0,0.0,0.0,899.0,
2012-05,monthly,Vans,stats.simi.ie,7.0,0.0,0.0,0.0,938.0,0.0,0.0,945.0,
2012-06,monthly,Vans,stats.simi.ie,4.0,0.0,0.0,0.0,852.0,0.0,0.0,856.0,
2012-07,monthly,Vans,stats.simi.ie,14.0,0.0,0.0,0.0,808.0,0.0,0.0,822.0,
2012-08,monthly,Vans,stats.simi.ie,3.0,0.0,0.0,0.0,704.0,0.0,0.0,707.0,
2012-09,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,0.0,674.0,0.0,0.0,674.0,
2012-10,monthly,Vans,stats.simi.ie,3.0,0.0,0.0,0.0,529.0,0.0,0.0,532.0,
2012-11,monthly,Vans,stats.simi.ie,8.0,0.0,0.0,0.0,276.0,0.0,0.0,284.0,
2012-12,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,0.0,65.0,0.0,0.0,65.0,
2013-01,monthly,Vans,stats.simi.ie,1.0,0.0,0.0,0.0,1978.0,0.0,0.0,1979.0,
2013-02,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,0.0,1144.0,0.0,0.0,1144.0,
2013-03,monthly,Vans,stats.simi.ie,2.0,0.0,0.0,0.0,1258.0,0.0,0.0,1260.0,
2013-04,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,0.0,983.0,0.0,0.0,983.0,
2013-05,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,0.0,1064.0,0.0,0.0,1064.0,
2013-06,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,0.0,441.0,0.0,0.0,441.0,
2013-07,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,3.0,1288.0,0.0,1.0,1292.0,
2013-08,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,1.0,813.0,0.0,1.0,815.0,
2013-09,monthly,Vans,stats.simi.ie,1.0,0.0,0.0,0.0,815.0,0.0,0.0,816.0,
2013-10,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,3.0,763.0,0.0,0.0,766.0,
2013-11,monthly,Vans,stats.simi.ie,3.0,0.0,0.0,0.0,381.0,0.0,0.0,384.0,
2013-12,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,0.0,67.0,0.0,0.0,67.0,
2014-01,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,1.0,2839.0,0.0,2.0,2842.0,
2014-02,monthly,Vans,stats.simi.ie,3.0,0.0,0.0,0.0,1604.0,0.0,0.0,1607.0,
2014-03,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,1.0,1854.0,0.0,0.0,1855.0,
2014-04,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,0.0,1317.0,0.0,0.0,1317.0,
2014-05,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,0.0,1265.0,0.0,0.0,1265.0,
2014-06,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,0.0,528.0,0.0,0.0,528.0,
2014-07,monthly,Vans,stats.simi.ie,2.0,0.0,0.0,1.0,2532.0,0.0,0.0,2535.0,
2014-08,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,1.0,1246.0,0.0,0.0,1247.0,
2014-09,monthly,Vans,stats.simi.ie,1.0,1.0,0.0,0.0,1363.0,0.0,0.0,1365.0,
2014-10,monthly,Vans,stats.simi.ie,1.0,0.0,0.0,0.0,1389.0,0.0,0.0,1390.0,
2014-11,monthly,Vans,stats.simi.ie,4.0,0.0,0.0,0.0,608.0,0.0,0.0,612.0,
2014-12,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,0.0,157.0,0.0,0.0,157.0,
2015-01,monthly,Vans,stats.simi.ie,3.0,1.0,0.0,2.0,4929.0,0.0,0.0,4935.0,
2015-02,monthly,Vans,stats.simi.ie,1.0,0.0,0.0,1.0,2342.0,0.0,0.0,2344.0,
2015-03,monthly,Vans,stats.simi.ie,1.0,0.0,0.0,0.0,2856.0,0.0,0.0,2857.0,
2015-04,monthly,Vans,stats.simi.ie,2.0,0.0,0.0,0.0,2089.0,0.0,0.0,2091.0,
2015-05,monthly,Vans,stats.simi.ie,2.0,0.0,0.0,1.0,1717.0,0.0,0.0,1720.0,
2015-06,monthly,Vans,stats.simi.ie,2.0,0.0,0.0,1.0,805.0,0.0,0.0,808.0,
2015-07,monthly,Vans,stats.simi.ie,7.0,0.0,0.0,0.0,3782.0,0.0,0.0,3789.0,
2015-08,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,1.0,1642.0,0.0,0.0,1643.0,
2015-09,monthly,Vans,stats.simi.ie,2.0,0.0,0.0,0.0,1580.0,0.0,0.0,1582.0,
2015-10,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,0.0,1204.0,0.0,0.0,1204.0,
2015-11,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,0.0,620.0,0.0,0.0,620.0,
2015-12,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,1.0,235.0,0.0,0.0,236.0,
2016-01,monthly,Vans,stats.simi.ie,1.0,0.0,0.0,0.0,6554.0,0.0,0.0,6555.0,
2016-02,monthly,Vans,stats.simi.ie,2.0,0.0,0.0,0.0,3455.0,0.0,0.0,3457.0,
2016-03,monthly,Vans,stats.simi.ie,1.0,0.0,0.0,3.0,3399.0,0.0,0.0,3403.0,
2016-04,monthly,Vans,stats.simi.ie,3.0,0.0,0.0,0.0,2299.0,0.0,0.0,2302.0,
2016-05,monthly,Vans,stats.simi.ie,1.0,0.0,0.0,0.0,1818.0,0.0,0.0,1819.0,
2016-06,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,0.0,866.0,0.0,0.0,866.0,
2016-07,monthly,Vans,stats.simi.ie,2.0,0.0,0.0,1.0,4333.0,0.0,0.0,4336.0,
2016-08,monthly,Vans,stats.simi.ie,2.0,2.0,0.0,0.0,1793.0,0.0,0.0,1797.0,
2016-09,monthly,Vans,stats.simi.ie,0.0,0.0,0.0,0.0,1609.0,0.0,0.0,1609.0,
