period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2017-01,monthly,Whole,data.gov.il (Ministry of Transport registry),1.0,136.0,2559.0,34744.0,3178.0,113.0,40731.0,
2017-02,monthly,Whole,data.gov.il (Ministry of Transport registry),3.0,17.0,1778.0,18118.0,1570.0,70.0,21556.0,
2017-03,monthly,Whole,data.gov.il (Ministry of Transport registry),5.0,70.0,2238.0,20035.0,1719.0,70.0,24137.0,
2017-04,monthly,Whole,data.gov.il (Ministry of Transport registry),2.0,96.0,1643.0,13904.0,1268.0,54.0,16967.0,
2017-05,monthly,Whole,data.gov.il (Ministry of Transport registry),5.0,134.0,2786.0,16807.0,1574.0,67.0,21373.0,
2017-06,monthly,Whole,data.gov.il (Ministry of Transport registry),5.0,162.0,2127.0,17135.0,2106.0,63.0,21598.0,
2017-07,monthly,Whole,data.gov.il (Ministry of Transport registry),2.0,193.0,2538.0,18421.0,2043.0,60.0,23257.0,
2017-08,monthly,Whole,data.gov.il (Ministry of Transport registry),5.0,155.0,2404.0,16638.0,2026.0,65.0,21293.0,
2017-09,monthly,Whole,data.gov.il (Ministry of Transport registry),4.0,126.0,1954.0,14045.0,1581.0,46.0,17756.0,
2017-10,monthly,Whole,data.gov.il (Ministry of Transport registry),37.0,179.0,1723.0,14111.0,1497.0,42.0,17589.0,
2017-11,monthly,Whole,data.gov.il (Ministry of Transport registry),32.0,116.0,1608.0,11947.0,1659.0,47.0,15409.0,
2017-12,monthly,Whole,data.gov.il (Ministry of Transport registry),0.0,16.0,349.0,2944.0,534.0,11.0,3854.0,
2018-01,monthly,Whole,data.gov.il (Ministry of Transport registry),16.0,735.0,4608.0,28886.0,3544.0,74.0,37863.0,
2018-02,monthly,Whole,data.gov.il (Ministry of Transport registry),1.0,249.0,2567.0,17078.0,1909.0,48.0,21852.0,
2018-03,monthly,Whole,data.gov.il (Ministry of Transport registry),0.0,418.0,4245.0,19009.0,2333.0,70.0,26075.0,
2018-04,monthly,Whole,data.gov.il (Ministry of Transport registry),0.0,246.0,2371.0,13121.0,1695.0,26.0,17459.0,
2018-05,monthly,Whole,data.gov.il (Ministry of Transport registry),1.0,318.0,3477.0,16574.0,2308.0,44.0,22722.0,
2018-06,monthly,Whole,data.gov.il (Ministry of Transport registry),0.0,378.0,2931.0,15787.0,2470.0,37.0,21603.0,
2018-07,monthly,Whole,data.gov.il (Ministry of Transport registry),4.0,267.0,3594.0,16680.0,2225.0,43.0,22813.0,
2018-08,monthly,Whole,data.gov.il (Ministry of Transport registry),15.0,192.0,2578.0,15704.0,2317.0,31.0,20837.0,
2018-09,monthly,Whole,data.gov.il (Ministry of Transport registry),61.0,179.0,1877.0,8303.0,1102.0,20.0,11542.0,
2018-10,monthly,Whole,data.gov.il (Ministry of Transport registry),5.0,266.0,2680.0,13846.0,2705.0,24.0,19526.0,
2018-11,monthly,Whole,data.gov.il (Ministry of Transport registry),7.0,151.0,2338.0,9196.0,2225.0,28.0,13945.0,
2018-12,monthly,Whole,data.gov.il (Ministry of Transport registry),18.0,31.0,483.0,2189.0,602.0,6.0,3329.0,
2019-01,monthly,Whole,data.gov.il (Ministry of Transport registry),39.0,572.0,6324.0,25692.0,4201.0,48.0,36876.0,
2019-02,monthly,Whole,data.gov.il (Ministry of Transport registry),14.0,231.0,4181.0,15687.0,1973.0,18.0,22104.0,
2019-03,monthly,Whole,data.gov.il (Ministry of Transport registry),26.0,296.0,5478.0,18281.0,2421.0,21.0,26523.0,
2019-04,monthly,Whole,data.gov.il (Ministry of Transport registry),8.0,304.0,3867.0,13622.0,2406.0,26.0,20233.0,
2019-05,monthly,Whole,data.gov.il (Ministry of Transport registry),25.0,314.0,5324.0,11646.0,2067.0,23.0,19399.0,
2019-06,monthly,Whole,data.gov.il (Ministry of Transport registry),66.0,324.0,4327.0,13401.0,2260.0,27.0,20405.0,
2019-07,monthly,Whole,data.gov.il (Ministry of Transport registry),139.0,338.0,4370.0,14542.0,2609.0,26.0,22024.0,
2019-08,monthly,Whole,data.gov.il (Ministry of Transport registry),90.0,234.0,3075.0,11950.0,1750.0,16.0,17115.0,
2019-09,monthly,Whole,data.gov.il (Ministry of Transport registry),49.0,327.0,3014.0,11411.0,1748.0,25.0,16574.0,
2019-10,monthly,Whole,data.gov.il (Ministry of Transport registry),21.0,343.0,3167.0,8591.0,1636.0,15.0,13773.0,
2019-11,monthly,Whole,data.gov.il (Ministry of Transport registry),65.0,317.0,3791.0,8636.0,1543.0,23.0,14375.0,
2019-12,monthly,Whole,data.gov.il (Ministry of Transport registry),14.0,118.0,950.0,2155.0,500.0,7.0,3744.0,
2020-01,monthly,Whole,data.gov.il (Ministry of Transport registry),402.0,1471.0,8798.0,26731.0,3991.0,37.0,41430.0,
2020-02,monthly,Whole,data.gov.il (Ministry of Transport registry),119.0,391.0,4962.0,14634.0,2096.0,23.0,22225.0,
2020-03,monthly,Whole,data.gov.il (Ministry of Transport registry),106.0,202.0,2955.0,11726.0,1760.0,12.0,16761.0,
2020-04,monthly,Whole,data.gov.il (Ministry of Transport registry),18.0,38.0,506.0,969.0,188.0,0.0,1719.0,
2020-05,monthly,Whole,data.gov.il (Ministry of Transport registry),49.0,174.0,2389.0,7000.0,733.0,13.0,10358.0,
2020-06,monthly,Whole,data.gov.il (Ministry of Transport registry),112.0,357.0,3471.0,14893.0,1749.0,13.0,20595.0,
2020-07,monthly,Whole,data.gov.il (Ministry of Transport registry),166.0,444.0,3597.0,15174.0,1692.0,12.0,21085.0,
2020-08,monthly,Whole,data.gov.il (Ministry of Transport registry),110.0,485.0,2666.0,13838.0,1582.0,12.0,18693.0,
2020-09,monthly,Whole,data.gov.il (Ministry of Transport registry),128.0,739.0,3116.0,12440.0,1573.0,10.0,18006.0,
2020-10,monthly,Whole,data.gov.il (Ministry of Transport registry),82.0,401.0,3404.0,8213.0,916.0,4.0,13020.0,
2020-11,monthly,Whole,data.gov.il (Ministry of Transport registry),91.0,449.0,4371.0,7576.0,1120.0,8.0,13615.0,
2020-12,monthly,Whole,data.gov.il (Ministry of Transport registry),43.0,112.0,838.0,1900.0,363.0,2.0,3258.0,
2021-01,monthly,Whole,data.gov.il (Ministry of Transport registry),439.0,2141.0,9758.0,30841.0,4252.0,29.0,47460.0,
2021-02,monthly,Whole,data.gov.il (Ministry of Transport registry),128.0,890.0,4595.0,15354.0,2233.0,15.0,23215.0,
2021-03,monthly,Whole,data.gov.il (Ministry of Transport registry),429.0,1097.0,4649.0,17545.0,1896.0,11.0,25627.0,
2021-04,monthly,Whole,data.gov.il (Ministry of Transport registry),223.0,764.0,5109.0,16116.0,1813.0,8.0,24033.0,
2021-05,monthly,Whole,data.gov.il (Ministry of Transport registry),1506.0,861.0,4991.0,17497.0,2064.0,8.0,26927.0,
2021-06,monthly,Whole,data.gov.il (Ministry of Transport registry),1861.0,1817.0,6464.0,17789.0,2363.0,13.0,30307.0,
