period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2017-01,monthly,Vans,data.gov.il (Ministry of Transport registry),0.0,0.0,0.0,17.0,1123.0,1.0,1141.0,
2017-02,monthly,Vans,data.gov.il (Ministry of Transport registry),0.0,0.0,0.0,10.0,775.0,0.0,785.0,
2017-03,monthly,Vans,data.gov.il (Ministry of Transport registry),0.0,0.0,0.0,5.0,962.0,0.0,967.0,
2017-04,monthly,Vans,data.gov.il (Ministry of Transport registry),0.0,0.0,0.0,7.0,491.0,1.0,499.0,
2017-05,monthly,Vans,data.gov.il (Ministry of Transport registry),0.0,0.0,0.0,8.0,580.0,2.0,590.0,
2017-06,monthly,Vans,data.gov.il (Ministry of Transport registry),0.0,0.0,0.0,7.0,862.0,0.0,869.0,
2017-07,monthly,Vans,data.gov.il (Ministry of Transport registry),0.0,0.0,0.0,8.0,562.0,1.0,571.0,
2017-08,monthly,Vans,data.gov.il (Ministry of Transport registry),0.0,0.0,0.0,7.0,645.0,0.0,652.0,
2017-09,monthly,Vans,data.gov.il (Ministry of Transport registry),0.0,0.0,0.0,2.0,526.0,0.0,528.0,
2017-10,monthly,Vans,data.gov.il (Ministry of Transport registry),0.0,0.0,0.0,5.0,550.0,0.0,555.0,
2017-11,monthly,Vans,data.gov.il (Ministry of Transport registry),0.0,0.0,0.0,9.0,479.0,0.0,488.0,
2017-12,monthly,Vans,data.gov.il (Ministry of Transport registry),0.0,0.0,0.0,1.0,424.0,0.0,425.0,
2018-01,monthly,Vans,data.gov.il (Ministry of Transport registry),0.0,1.0,0.0,9.0,843.0,0.0,853.0,
2018-02,monthly,Vans,data.gov.il (Ministry of Transport registry),0.0,0.0,1.0,4.0,808.0,0.0,813.0,
2018-03,monthly,Vans,data.gov.il (Ministry of Transport registry),0.0,0.0,0.0,1.0,749.0,0.0,750.0,
2018-04,monthly,Vans,data.gov.il (Ministry of Transport registry),0.0,0.0,0.0,3.0,573.0,0.0,576.0,
2018-05,monthly,Vans,data.gov.il (Ministry of Transport registry),0.0,0.0,0.0,2.0,605.0,0.0,607.0,
