period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2015-01,quarterly,Whole,unrae.it,143.0,1877.524297,290.4757028,,,,132506.0,
2015-02,quarterly,Whole,https://unrae.it/dati-statistici/immatricolazioni,115.0,1650.627911,255.3720892,,,,135559.0,
2015-03,quarterly,Whole,unrae.it,327.0,2114.812885,327.1871154,,,,162369.0,
2015-04,quarterly,Whole,unrae.it,91.0,1744.157719,269.8422811,,,,149054.0,
2015-05,quarterly,Whole,unrae.it,92.0,1871.46218,289.53782,,,,147087.0,
2015-06,quarterly,Whole,unrae.it,151.0,2003.962742,310.0372584,,,,147029.0,
2015-07,quarterly,Whole,unrae.it,90.0,1444.515926,223.4840739,,,,132255.0,
2015-08,quarterly,Whole,unrae.it,43.0,722.2579631,111.7420369,,,,59556.0,
2015-09,quarterly,Whole,unrae.it,80.0,2275.891999,352.1080013,,,,131052.0,
2015-10,quarterly,Whole,unrae.it,90.0,2098.358567,324.6414335,,,,134008.0,
2015-11,quarterly,Whole,unrae.it,88.0,2120.875002,328.1249982,,,,135258.0,
2015-12,quarterly,Whole,unrae.it,115.0,2052.459679,317.5403208,,,,112068.0,
2016-01,quarterly,Whole,unrae.it,115.0,2866.515417,443.4845831,,,,157594.0,
2016-02,quarterly,Whole,unrae.it,93.0,3104.670021,480.329979,,,,174778.0,
2016-03,quarterly,Whole,unrae.it,199.0,2902.88812,449.1118799,,,,192940.0,
2016-04,quarterly,Whole,unrae.it,96.0,2632.690897,407.3091035,,,,169897.0,
2016-05,quarterly,Whole,unrae.it,93.0,3161.827126,489.172874,,,,190008.0,
2016-06,quarterly,Whole,unrae.it,84.0,2714.962487,420.037513,,,,167209.0,
2016-07,quarterly,Whole,unrae.it,71.0,2352.967489,364.0325113,,,,138627.0,
2016-08,quarterly,Whole,unrae.it,48.0,1345.790017,208.2099825,,,,72686.0,
2016-09,quarterly,Whole,unrae.it,144.0,3468.397053,536.6029472,,,,156214.0,
2016-10,quarterly,Whole,unrae.it,146.0,3022.398431,467.6015695,,,,149426.0,
2016-11,quarterly,Whole,unrae.it,108.0,3073.493418,475.5065817,,,,149658.0,
2016-12,quarterly,Whole,unrae.it,196.0,3070.895368,475.1046319,,,,128961.0,
2017-01,monthly,Whole,unrae.it,188.0,4100.589275,634.4107253,,,,173232.0,
2017-02,monthly,Whole,unrae.it,120.0,148.0,5270.0,61809.0,104091.0,14293.0,185731.0,
2017-03,monthly,Whole,unrae.it,229.0,174.0,5676.0,75864.0,128530.0,17402.0,227875.0,
2017-04,monthly,Whole,unrae.it,124.0,160.0,4559.0,50780.0,94436.0,11723.0,161782.0,
2017-05,monthly,Whole,unrae.it,149.0,222.0,6687.0,68409.0,115027.0,15484.0,205978.0,
2017-06,monthly,Whole,unrae.it,195.0,408.0,5947.0,56148.0,111752.0,15467.0,189917.0,
2017-07,monthly,Whole,unrae.it,145.0,268.0,5114.0,45660.0,82624.0,13467.0,147278.0,
2017-08,monthly,Whole,unrae.it,98.0,153.0,2814.0,24987.0,48809.0,7663.0,84524.0,
2017-09,monthly,Whole,unrae.it,182.0,344.0,5692.0,52021.0,97842.0,13006.0,169087.0,
2017-10,monthly,Whole,unrae.it,235.0,301.0,6433.0,50295.0,89143.0,14111.0,160518.0,
2017-11,monthly,Whole,unrae.it,154.0,251.0,6612.0,47582.0,89744.0,14537.0,158880.0,
2017-12,monthly,Whole,unrae.it,197.0,228.0,4756.0,37101.0,71783.0,10906.0,124971.0,
2018-01,monthly,Whole,unrae.it,258.0,311.0,6922.0,58453.0,99365.0,14463.0,179772.0,
2018-02,monthly,Whole,unrae.it,246.0,245.0,6249.0,58459.0,103117.0,14831.0,183147.0,
2018-03,monthly,Whole,unrae.it,416.0,361.0,7155.0,72876.0,116994.0,16972.0,214774.0,
2018-04,monthly,Whole,unrae.it,243.0,186.0,7032.0,59017.0,90901.0,14802.0,172181.0,
2018-05,monthly,Whole,unrae.it,594.0,307.0,7449.0,70508.0,103427.0,17872.0,200157.0,
2018-06,monthly,Whole,unrae.it,440.0,695.0,7234.0,58099.0,92763.0,16554.0,175785.0,
2018-07,monthly,Whole,unrae.it,641.0,645.0,7266.0,50810.0,78303.0,15782.0,153447.0,
2018-08,monthly,Whole,unrae.it,190.0,377.0,3745.0,26907.0,51842.0,9284.0,92345.0,
2018-09,monthly,Whole,unrae.it,489.0,329.0,7407.0,48769.0,60375.0,8594.0,125963.0,
2018-10,monthly,Whole,unrae.it,587.0,548.0,8189.0,61630.0,65055.0,11744.0,147753.0,
2018-11,monthly,Whole,unrae.it,462.0,383.0,7646.0,60265.0,66771.0,12497.0,148024.0,
