period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2019-06,monthly,NonRental,unrae.it,1044,290,7428,60900,44233,14293,128188,
2019-07,monthly,NonRental,unrae.it,582,212,6698,61892,40512,16563,126459,
2019-08,monthly,NonRental,unrae.it,352,152,3246,35184,25983,10524,75441,
2019-09,monthly,NonRental,unrae.it,708,355,8683,57942,36099,13510,117297,
2019-10,monthly,NonRental,unrae.it,461,464,9899,65928,38092,14254,129098,
2019-11,monthly,NonRental,unrae.it,503,603,8453,60931,34153,12455,117098,
2019-12,monthly,NonRental,unrae.it,596,458,7379,60559,34178,11383,114553,
2020-01,monthly,NonRental,unrae.it,1394,818,11442,57040,33086,12637,116417,
2020-02,monthly,NonRental,unrae.it,1496,626,12661,52765,30656,11806,110010,
2020-03,monthly,NonRental,unrae.it,683,200,2828,9097,5942,2786,21536,
2020-05,monthly,NonRental,unrae.it,1063,642,9543,38119,24155,7827,81349,
2020-06,monthly,NonRental,unrae.it,1567,913,13108,45642,32943,11354,105527,
2020-07,monthly,NonRental,unrae.it,898,1135,13378,46121,34442,10713,106687,
2020-08,monthly,NonRental,unrae.it,1316,1092,11603,29803,23287,8144,75245,
2020-09,monthly,NonRental,unrae.it,2834,1694,28588,46261,35689,14768,129834,
2020-10,monthly,NonRental,unrae.it,1813,2365,33931,45275,33303,13307,129994,
2020-11,monthly,NonRental,unrae.it,3404,3038,27044,38760,25855,13290,111391,
2020-12,monthly,NonRental,unrae.it,3896,4284,21991,36088,21894,9578,97731,
2021-01,monthly,NonRental,unrae.it,1763,2240,27946,44663,24519,10847,111978,
2021-02,monthly,NonRental,unrae.it,2210,2591,32932,41657,23927,10670,113987,
2021-03,monthly,NonRental,unrae.it,4942,4066,36999,43647,26573,13962,130189,
2021-04,monthly,NonRental,unrae.it,3012,3392,31652,35249,20699,13327,107331,
2021-05,monthly,NonRental,unrae.it,3870,3989,30184,35500,18830,11731,104104,
2021-06,monthly,NonRental,unrae.it,4786,3780,31056,34321,19703,15631,109277,
2021-07,monthly,NonRental,unrae.it,3697,3512,25901,19635,10356,23263,86364,
