period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2012-01,quarterly,Whole,JADA /JAMA,916.6666667,1083.3333333333333,,,,237107.0,239107.0,
2012-02,quarterly,Whole,https://www.jada.or.jp/pages/342/,916.6666667,1083.3333333333333,,,,299791.0,301791.0,
2012-03,quarterly,Whole,https://jamaserv.jama.or.jp/newdb/eng/index.html,916.6666667,1083.3333333333333,,,,441727.0,443727.0,
2012-04,quarterly,Whole,JADA /JAMA,916.6666667,1083.3333333333333,,,,185036.0,187036.0,
2012-05,quarterly,Whole,JADA /JAMA,916.6666667,1083.3333333333333,,,,208818.0,210818.0,
2012-06,quarterly,Whole,JADA /JAMA,916.6666667,1083.3333333333333,,,,280804.0,282804.0,
2012-07,quarterly,Whole,JADA /JAMA,916.6666667,1083.3333333333333,,,,293581.0,295581.0,
2012-08,quarterly,Whole,JADA /JAMA,916.6666667,1083.3333333333333,,,,203012.0,205012.0,
2012-09,quarterly,Whole,JADA /JAMA,916.6666667,1083.3333333333333,,,,250187.0,252187.0,
2012-10,quarterly,Whole,JADA /JAMA,916.6666667,1083.3333333333333,,,,194466.0,196466.0,
2012-11,quarterly,Whole,JADA /JAMA,916.6666667,1083.3333333333333,,,,211762.0,213762.0,
2012-12,quarterly,Whole,JADA /JAMA,916.6666667,1083.3333333333333,,,,184360.0,186360.0,
2013-01,quarterly,Whole,JADA /JAMA,1250.0,1166.6666666666667,,,,204128.3333,206545.0,
2013-02,quarterly,Whole,JADA /JAMA,1250.0,1166.6666666666667,,,,259202.3333,261619.0,
2013-03,quarterly,Whole,JADA /JAMA,1250.0,1166.6666666666667,,,,367286.3333,369703.0,
2013-04,quarterly,Whole,JADA /JAMA,1250.0,1166.6666666666667,,,,185202.3333,187619.0,
2013-05,quarterly,Whole,JADA /JAMA,1250.0,1166.6666666666667,,,,189559.3333,191976.0,
2013-06,quarterly,Whole,JADA /JAMA,1250.0,1166.6666666666667,,,,230759.3333,233176.0,
2013-07,quarterly,Whole,JADA /JAMA,1250.0,1166.6666666666667,,,,247482.3333,249899.0,
2013-08,quarterly,Whole,JADA /JAMA,1250.0,1166.6666666666667,,,,186450.3333,188867.0,
2013-09,quarterly,Whole,JADA /JAMA,1250.0,1166.6666666666667,,,,281692.3333,284109.0,
2013-10,quarterly,Whole,JADA /JAMA,1250.0,1166.6666666666667,,,,230505.3333,232922.0,
2013-11,quarterly,Whole,JADA /JAMA,1250.0,1166.6666666666667,,,,240080.3333,242497.0,
2013-12,quarterly,Whole,JADA /JAMA,1250.0,1166.6666666666667,,,,220762.3333,223179.0,
2014-01,quarterly,Whole,JADA /JAMA,1333.333333,1333.3333333333333,,,,261611.3333,264278.0,
2014-02,quarterly,Whole,JADA /JAMA,1333.333333,1333.3333333333333,,,,297340.3333,300007.0,
2014-03,quarterly,Whole,JADA /JAMA,1333.333333,1333.3333333333333,,,,414469.3333,417136.0,
2014-04,quarterly,Whole,JADA /JAMA,1333.333333,1333.3333333333333,,,,162819.3333,165486.0,
2014-05,quarterly,Whole,JADA /JAMA,1333.333333,1333.3333333333333,,,,175986.3333,178653.0,
2014-06,quarterly,Whole,JADA /JAMA,1333.333333,1333.3333333333333,,,,226370.3333,229037.0,
2014-07,quarterly,Whole,JADA /JAMA,1333.333333,1333.3333333333333,,,,248022.3333,250689.0,
2014-08,quarterly,Whole,JADA /JAMA,1333.333333,1333.3333333333333,,,,175082.3333,177749.0,
2014-09,quarterly,Whole,JADA /JAMA,1333.333333,1333.3333333333333,,,,265878.3333,268545.0,
2014-10,quarterly,Whole,JADA /JAMA,1333.333333,1333.3333333333333,,,,204016.3333,206683.0,
2014-11,quarterly,Whole,JADA /JAMA,1333.333333,1333.3333333333333,,,,201244.3333,203911.0,
2014-12,quarterly,Whole,JADA /JAMA,1333.333333,1333.3333333333333,,,,195741.3333,198408.0,
2015-01,quarterly,Whole,JADA /JAMA,833.3333333,1166.6666666666667,,,,205635.0,207635.0,
2015-02,quarterly,Whole,JADA /JAMA,833.3333333,1166.6666666666667,,,,247565.0,249565.0,
2015-03,quarterly,Whole,JADA /JAMA,833.3333333,1166.6666666666667,,,,354412.0,356412.0,
2015-04,quarterly,Whole,JADA /JAMA,833.3333333,1166.6666666666667,,,,168240.0,170240.0,
2015-05,quarterly,Whole,JADA /JAMA,833.3333333,1166.6666666666667,,,,178759.0,180759.0,
2015-06,quarterly,Whole,JADA /JAMA,833.3333333,1166.6666666666667,,,,237582.0,239582.0,
2015-07,quarterly,Whole,JADA /JAMA,833.3333333,1166.6666666666667,,,,243680.0,245680.0,
2015-08,quarterly,Whole,JADA /JAMA,833.3333333,1166.6666666666667,,,,178850.0,180850.0,
