period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2015-01,monthly,Whole,ACEA,2.0,1.0,,387.0,734.0,15.0,1139.0,
2015-02,monthly,Whole,ACEA,0.0,0.0,,407.0,393.0,25.0,825.0,
2015-03,monthly,Whole,ACEA,0.0,0.0,,601.0,618.0,11.0,1230.0,
2015-04,monthly,Whole,ACEA,1.0,0.0,,678.0,547.0,9.0,1235.0,
2015-05,monthly,Whole,ACEA,1.0,0.0,,653.0,494.0,15.0,1163.0,
2015-06,monthly,Whole,ACEA,3.0,1.0,,663.0,563.0,12.0,1242.0,
2015-07,monthly,Whole,ACEA,4.0,3.0,,667.0,529.0,21.0,1224.0,
2015-08,monthly,Whole,ACEA,0.0,1.0,,506.0,478.0,13.0,998.0,
2015-09,monthly,Whole,ACEA,3.0,1.0,,602.0,569.0,6.0,1181.0,
2015-10,monthly,Whole,ACEA,1.0,0.0,,683.0,584.0,19.0,1287.0,
2015-11,monthly,Whole,ACEA,1.0,1.0,,625.0,485.0,10.0,1122.0,
2015-12,monthly,Whole,ACEA,1.0,0.0,,537.0,500.0,17.0,1055.0,
2016-01,monthly,Whole,ACEA,1.0,0.0,,518.0,548.0,18.0,1085.0,
2016-02,monthly,Whole,ACEA,0.0,2.0,,652.0,584.0,6.0,1244.0,
2016-03,monthly,Whole,ACEA,4.0,3.0,,893.0,638.0,7.0,1545.0,
2016-04,monthly,Whole,ACEA,3.0,1.0,,925.0,527.0,5.0,1461.0,
2016-05,monthly,Whole,ACEA,2.0,1.0,,820.0,582.0,3.0,1408.0,
2016-06,monthly,Whole,ACEA,0.0,3.0,,861.0,1063.0,6.0,1933.0,
2016-07,monthly,Whole,ACEA,1.0,1.0,,695.0,550.0,5.0,1252.0,
2016-08,monthly,Whole,ACEA,0.0,0.0,,647.0,499.0,21.0,1167.0,
2016-09,monthly,Whole,ACEA,1.0,2.0,,963.0,558.0,2.0,1526.0,
2016-10,monthly,Whole,ACEA,2.0,3.0,,794.0,474.0,12.0,1285.0,
2016-11,monthly,Whole,ACEA,3.0,0.0,,739.0,525.0,7.0,1274.0,
2016-12,monthly,Whole,ACEA,0.0,0.0,,676.0,456.0,5.0,1139.0,
2017-01,monthly,Whole,ACEA,6.0,3.0,,759.0,648.0,19.0,1436.0,
2017-02,monthly,Whole,ACEA,1.0,1.0,,635.0,513.0,22.0,1172.0,
